community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
East St. Paul,MB,9372,Census subdivision,49.9808,-97.0295,297,2015,1113.9
North Saanich,BC,11249,Census subdivision,48.6197,-123.4169,298,2013,1200.9
Peterborough County (Otonabee-South Monaghan),ON,6670,Census subdivision,44.2716,-78.1564,298,2015,1113.9
Vallee-du-Richelieu Region,QC,124420,Census division,45.5963,-73.2001,298,2010,1493.7
Cumberland County,NS,30005,Census division,45.8006,-63.8594,299,2008,1357.159959
Dufferin (Mono),ON,61735,Census division,44.0034,-80.0535,299,2009,1450
Central Saanich,BC,16814,Census subdivision,48.5704,-123.3998,300,2012,1310.8
Outlook,SK,2279,,51.4874,-107.0578,300,2008,1357.159959
Vallee-du-Richelieu Region,QC,124420,Census division,45.5963,-73.2001,300,2009,1450
Amherstburg,ON,21936,Census subdivision,42.1014,-83.1087,302,2015,1113.9
Northumberland (Brighton),ON,5861,Census subdivision,44.0423,-77.7369,305,2014,1088.4
Peterborough County (Selwyn),ON,17060,Census subdivision,44.4228,-78.3541,305,2013,1200.9
Saltspring Island,BC,10557,Census subdivision,48.8167,-123.5089,306,2014,1088.4
Etchemins Region,QC,16536,Census division,46.2986,-70.4137,307,2015,1113.9
Perth County,ON,76796,Census division,43.5187,-81.0755,309,2010,1493.7
Russell,ON,16520,Census subdivision,45.2593,-75.3576,309,2010,1493.7
Strathroy-Caradoc,ON,20867,Census subdivision,42.9575,-81.61667,309,2015,1113.9
Vallee-du-Richelieu Region,QC,124420,Census division,45.5963,-73.2001,310,2014,1088.4
Lanark County (Beckwith),ON,7644,Census subdivision,45.0869,-76.0686,312,2012,1310.8
North Saanich,BC,11249,Census subdivision,48.6197,-123.4169,312,2014,1088.4
Sidney,BC,11672,Census subdivision,48.6502,-123.399,312,2015,1113.9
Amherstburg,ON,21936,Census subdivision,42.1014,-83.1087,313,2012,1310.8
Caledon,ON,66502,Census subdivision,43.8363,-79.8745,313,2014,1088.4
Peterborough County (Municipality of Trent Lakes),ON,5397,Census subdivision,44.6725,-78.4181,313,2015,1113.9
Frontenac,ON,150475,Census division,44.5797,-76.5654,314,2011,1346.6
Essex County (Tecumseh),ON,23229,Census subdivision,42.3118,-82.8858,315,2013,1200.9
Peterborough County (Douro/Dummer),ON,6709,Census subdivision,44.4909,-78.1114,315,2011,1346.6
Dufferin (Mono),ON,61735,Census division,44.0034,-80.0535,317,2011,1346.6
Kativik Region,QC,,,58.602778,-70.96547,317,2011,1346.6
Peterborough County (Municipality of Trent Lakes),ON,5397,Census subdivision,44.6725,-78.4181,318,2011,1346.6
Qualicum Beach,BC,8943,Census subdivision,49.3482,-124.4428,318,2011,1346.6
Russell,ON,16520,Census subdivision,45.2593,-75.3576,318,2013,1200.9
Summerland,BC,11615,Census subdivision,49.6073,-119.6769,318,2015,1113.9
Halton Region (Oakville/Burlington),ON,548435,Census division,43.5325,-79.8745,320,2014,1088.4
Headingley,MB,3579,Census subdivision,49.887,-97.3772,320,2015,1113.9
Northumberland (Cramahe),ON,6355,Census subdivision,44.0928,-77.8825,320,2014,1088.4
Perth County,ON,76796,Census division,43.5187,-81.0755,320,2009,1450
Perth County,ON,76796,Census division,43.5187,-81.0755,320,2014,1088.4
Essex County (Lakeshore),ON,36611,Census subdivision,42.25,-82.6833,321,2015,1113.9
Kennebecasis Region,NB,,,45.401,-65.942,321,2013,1200.9
Ferryland,NL,414,Census subdivision,47.0339,-52.8827,322,2014,1088.4
Halton Region (Oakville/Burlington),ON,548435,Census division,43.5325,-79.8745,323,2015,1113.9
Carman Area,MB,3164,Census subdivision,49.5086,-98.0017,324,2012,1310.8
Carman Area,MB,3164,Census subdivision,49.5086,-98.0017,325,2015,1113.9
Grey County (Georgian Bluffs),ON,10479,Census subdivision,44.684,-81.0198,325,2008,1357.159959
Coldstream,BC,10648,Census subdivision,50.2241,-119.1683,326,2012,1310.8
Halton Region (Oakville/Burlington),ON,548435,Census division,43.5325,-79.8745,327,2013,1200.9
Vallee-du-Richelieu Region,QC,124420,Census division,45.5963,-73.2001,327,2008,1357.159959
Comox,BC,14028,Census subdivision,49.6735,-124.9283,329,2013,1200.9
Peterborough County (Otonabee-South Monaghan),ON,6670,Census subdivision,44.2716,-78.1564,329,2009,1450
Russell,ON,16520,Census subdivision,45.2593,-75.3576,329,2009,1450
Chenaux Region,QC,,,46.5,-72.41667,330,2013,1200.9
Northumberland (Hamilton),ON,10942,Census subdivision,44.0563,-78.2476,331,2015,1113.9
Killarney,MB,3429,Census subdivision,49.1817,-99.665,332,2011,1346.6
Peterborough County (Selwyn),ON,17060,Census subdivision,44.4228,-78.3541,332,2008,1357.159959
Sidney,BC,11672,Census subdivision,48.6502,-123.399,332,2014,1088.4
Ste. Marie,QC,,,46.439,-71.0213,332,2013,1200.9
Peterborough County (Selwyn),ON,17060,Census subdivision,44.4228,-78.3541,333,2010,1493.7
East St. Paul,MB,9372,Census subdivision,49.9808,-97.0295,334,2014,1088.4
Stratford,PEI,,,46.2159,-63.0886,336,2014,1088.4
Lanark County (Tay Valley Township),ON,5665,Census subdivision,44.889,-76.3172,338,2014,1088.4
Mount Forest (Southgate),ON,7354,Census subdivision,43.9811,-80.7359,339,2009,1450
Northumberland (Alnwick/Haldimand),ON,6869,Census subdivision,43.9523,-77.9739,339,2009,1450
Grey County (Chatsworth),ON,6630,Census subdivision,44.4562,-80.8975,340,2013,1200.9
North Saanich,BC,11249,Census subdivision,48.6197,-123.4169,341,2008,1357.159959
Peterborough County (Douro/Dummer),ON,6709,Census subdivision,44.4909,-78.1114,342,2009,1450
Essex County (Kingsville),ON,21552,Census subdivision,42.0363,-82.739,344,2015,1113.9
Ferryland,NL,414,Census subdivision,47.0339,-52.8827,344,2015,1113.9
North Vancouver District,BC,85935,Census subdivision,49.348,-123.025,344,2013,1200.9
Repentigny,QC,84285,Census subdivision,45.7533,-73.4401,344,2011,1346.6
Port Moody,BC,33551,Census subdivision,49.2849,-122.8678,347,2013,1200.9
Perth County (West Perth),ON,8865,Census subdivision,43.4908,-81.2078,348,2014,1088.4
Beauce-Sartigan Region,QC,52406,Census division,46.0551,-70.2328,349,2008,1357.159959
Essex County (Lakeshore),ON,36611,Census subdivision,42.25,-82.6833,350,2014,1088.4
Lanark County (Tay Valley Township),ON,5665,Census subdivision,44.889,-76.3172,350,2008,1357.159959
Stirling,ON,4882,Census subdivision,44.3603,-77.5921,350,2011,1346.6
Stratford,PEI,,,46.2159,-63.0886,350,2011,1346.6
Killarney,MB,3429,Census subdivision,49.1817,-99.665,351,2008,1357.159959
Meteghan (Clare),NS,8018,Census subdivision,44.1875,-66.1623,352,2012,1310.8
Stratford,PEI,,,46.2159,-63.0886,352,2015,1113.9
Brant County,ON,36707,Census subdivision,43.1527,-80.1716,353,2013,1200.9
Qualicum Beach,BC,8943,Census subdivision,49.3482,-124.4428,353,2012,1310.8
Essex County (Tecumseh),ON,23229,Census subdivision,42.3118,-82.8858,354,2014,1088.4
Summerland,BC,11615,Census subdivision,49.6073,-119.6769,355,2013,1200.9
Jacques-Cartier Region,QC,43485,Census division,47.033333,-71.58333,356,2010,1493.7
Nouvelle-Beauce Region,QC,1659,Census subdivision,46.5222,-71.0094,356,2008,1357.159959
Peterborough County (Municipality of Trent Lakes),ON,5397,Census subdivision,44.6725,-78.4181,356,2010,1493.7
Caledon,ON,66502,Census subdivision,43.8363,-79.8745,357,2015,1113.9
Devon,AB,6578,Census subdivision,53.3614,-113.7264,357,2014,1088.4
Peterborough County (Otonabee-South Monaghan),ON,6670,Census subdivision,44.2716,-78.1564,357,2008,1357.159959
Perth County,ON,76796,Census division,43.5187,-81.0755,358,2012,1310.8
Northumberland (Alnwick/Haldimand),ON,6869,Census subdivision,43.9523,-77.9739,359,2014,1088.4
Perth County,ON,76796,Census division,43.5187,-81.0755,359,2011,1346.6
West Vancouver,BC,42473,Census subdivision,49.3349,-123.1668,359,2014,1088.4
Beiseker,AB,819,Census subdivision,51.385,-113.5353,360,2008,1357.159959
Halton Region (Oakville/Burlington),ON,548435,Census division,43.5325,-79.8745,360,2012,1310.8
Ile-d'Orleans Region,QC,93674,Federal electoral district,46.916667,-70.9,360,2010,1493.7
Peterborough County (Selwyn),ON,17060,Census subdivision,44.4228,-78.3541,360,2012,1310.8
Caledon,ON,66502,Census subdivision,43.8363,-79.8745,361,2012,1310.8
Baie Verte,NL,1313,Census subdivision,49.9393,-56.1907,362,2015,1113.9
Coldstream,BC,10648,Census subdivision,50.2241,-119.1683,364,2014,1088.4
Essex County (Tecumseh),ON,23229,Census subdivision,42.3118,-82.8858,364,2012,1310.8
Middlesex,ON,455526,Census division,42.931,-81.4279,364,2009,1450
Oakbank,MB,,,49.9391,-96.8426,364,2014,1088.4
Repentigny,QC,84285,Census subdivision,45.7533,-73.4401,364,2008,1357.159959
Central Saanich,BC,16814,Census subdivision,48.5704,-123.3998,366,2014,1088.4
Nouvelle-Beauce Region,QC,1659,Census subdivision,46.5222,-71.0094,366,2015,1113.9
Parksville,BC,12514,,49.3193,-124.3136,366,2014,1088.4
Jacques-Cartier Region,QC,43485,Census division,47.033333,-71.58333,367,2011,1346.6
Killarney,MB,3429,Census subdivision,49.1817,-99.665,367,2015,1113.9
Northumberland (Alnwick/Haldimand),ON,6869,Census subdivision,43.9523,-77.9739,369,2008,1357.159959
Grey County (Chatsworth),ON,6630,Census subdivision,44.4562,-80.8975,370,2008,1357.159959
Oceanside,BC,,,49.328,-124.397,370,2013,1200.9
Grenville County (Prescott/Augusta),ON,11575,Census subdivision,44.7093,-75.519,371,2008,1357.159959
Kennebecasis Region,NB,,,45.401,-65.942,372,2010,1493.7
Etchemins Region,QC,16536,Census division,46.2986,-70.4137,373,2013,1200.9
North Saanich,BC,11249,Census subdivision,48.6197,-123.4169,375,2009,1450
Wellington County,ON,222726,Census division,43.7803,-80.5438,375,2015,1113.9
Charlevoix Region,QC,12997,Census division,47.6304,-70.6482,376,2010,1493.7
Devon,AB,6578,Census subdivision,53.3614,-113.7264,376,2008,1357.159959
Lanark County (Tay Valley Township),ON,5665,Census subdivision,44.889,-76.3172,376,2013,1200.9
Oceanside,BC,,,49.328,-124.397,376,2015,1113.9
Bellechasse Region,QC,37233,Census division,46.6919,-70.8339,378,2008,1357.159959
Beauce-Sartigan Region,QC,52406,Census division,46.0551,-70.2328,379,2012,1310.8
Frontenac,ON,150475,Census division,44.5797,-76.5654,379,2009,1450
Ile-d'Orleans Region,QC,93674,Federal electoral district,46.916667,-70.9,379,2014,1088.4
Carman Area,MB,3164,Census subdivision,49.5086,-98.0017,380,2010,1493.7
Comox,BC,14028,Census subdivision,49.6735,-124.9283,380,2010,1493.7
Caledon,ON,66502,Census subdivision,43.8363,-79.8745,381,2010,1493.7
Headingley,MB,3579,Census subdivision,49.887,-97.3772,381,2010,1493.7
Perth County,ON,76796,Census division,43.5187,-81.0755,381,2015,1113.9
Caledon,ON,66502,Census subdivision,43.8363,-79.8745,382,2013,1200.9
Chestermere,AB,19887,Census subdivision,51.0498,-113.8233,382,2014,1088.4
Grenville County (North Grenville),ON,16451,Census subdivision,44.9552,-75.6282,382,2014,1088.4
Souris,PEI,1053,Census subdivision,46.355,-62.2518,382,2009,1450
L'Islet Region,QC,17798,Census division,45.852,-73.4124,384,2009,1450
Lanark County (Tay Valley Township),ON,5665,Census subdivision,44.889,-76.3172,384,2011,1346.6
Comox,BC,14028,Census subdivision,49.6735,-124.9283,385,2012,1310.8
Port Moody,BC,33551,Census subdivision,49.2849,-122.8678,385,2011,1346.6
Roussillon Region,QC,171443,Census division,45.3701,-73.6303,385,2011,1346.6
Halifax County,NS,403390,Census division,44.9,-63.1,386,2015,1113.9
Headingley,MB,3579,Census subdivision,49.887,-97.3772,386,2012,1310.8
Northumberland (Cramahe),ON,6355,Census subdivision,44.0928,-77.8825,386,2012,1310.8
Beiseker,AB,819,Census subdivision,51.385,-113.5353,387,2009,1450
Lanark County (Lanark Highlands),ON,5338,Census subdivision,45.0614,-76.4837,387,2015,1113.9
Mississippi Mills,ON,13163,,45.2314,-76.1938,387,2014,1088.4
Nackawic,NB,941,Census subdivision,45.9891,-67.2412,387,2014,1088.4
Saltspring Island,BC,10557,Census subdivision,48.8167,-123.5089,387,2012,1310.8
Upper Ottawa Valley (Petawawa),ON,17187,Census subdivision,45.755,-77.206,387,2009,1450
Hampton,NB,4289,Census subdivision,45.533,-65.8322,388,2014,1088.4
Middlesex,ON,455526,Census division,42.931,-81.4279,388,2013,1200.9
Summerland,BC,11615,Census subdivision,49.6073,-119.6769,388,2012,1310.8
Stirling,ON,4882,Census subdivision,44.3603,-77.5921,389,2010,1493.7
View Royal,BC,10408,Census subdivision,48.4528,-123.4348,389,2013,1200.9
Blue Hills,MB,,,49.7538,-99.871,390,2014,1088.4
Cumberland County,NS,30005,Census division,45.8006,-63.8594,390,2009,1450
Essex County (Lakeshore),ON,36611,Census subdivision,42.25,-82.6833,390,2013,1200.9
Essex County (Tecumseh),ON,23229,Census subdivision,42.3118,-82.8858,390,2011,1346.6
Mississippi Mills,ON,13163,,45.2314,-76.1938,390,2012,1310.8
Napanee (Stone Mills),ON,7702,Census subdivision,44.4402,-76.9746,390,2015,1113.9
Headingley,MB,3579,Census subdivision,49.887,-97.3772,391,2009,1450
Northumberland (Alnwick/Haldimand),ON,6869,Census subdivision,43.9523,-77.9739,391,2011,1346.6
Essex County (Kingsville),ON,21552,Census subdivision,42.0363,-82.739,393,2013,1200.9
Northumberland (Alnwick/Haldimand),ON,6869,Census subdivision,43.9523,-77.9739,393,2010,1493.7
Appalaches Region,QC,42346,Census division,46.483333,-70.61667,394,2008,1357.159959
Comox Valley,BC,66527,Census division,49.7064,-125.0219,394,2013,1200.9
Frontenac,ON,150475,Census division,44.5797,-76.5654,394,2015,1113.9
Perth County (North Perth),ON,13130,Census subdivision,43.7749,-80.9429,395,2015,1113.9
Middlesex,ON,455526,Census division,42.931,-81.4279,396,2014,1088.4
North Vancouver District,BC,85935,Census subdivision,49.348,-123.025,396,2012,1310.8
Peterborough County (Municipality of Trent Lakes),ON,5397,Census subdivision,44.6725,-78.4181,396,2012,1310.8
Bellechasse Region,QC,37233,Census division,46.6919,-70.8339,397,2013,1200.9
Rainy River District (Emo/Rainy River),ON,20110,Census division,48.8499,-92.637,397,2014,1088.4
University,BC,,,45.8267,-77.1109,397,2008,1357.159959
White Rock,BC,19952,Census subdivision,49.0253,-122.803,397,2013,1200.9
Caledon,ON,66502,Census subdivision,43.8363,-79.8745,398,2008,1357.159959
Lameque,NB,1285,Census subdivision,43.0527,-82.0407,398,2014,1088.4
West Vancouver,BC,42473,Census subdivision,49.3349,-123.1668,398,2013,1200.9
Kennebecasis Region,NB,,,45.401,-65.942,399,2008,1357.159959
Upper Ottawa Valley (Petawawa),ON,17187,Census subdivision,45.755,-77.206,399,2015,1113.9
Bellechasse Region,QC,37233,Census division,46.6919,-70.8339,400,2014,1088.4
Ile-d'Orleans Region,QC,93674,Federal electoral district,46.916667,-70.9,400,2012,1310.8
Kennebecasis Region,NB,,,45.401,-65.942,400,2014,1088.4
East Algoma (Blind River/Thessalon),ON,4758,Census subdivision,48,-84.5,401,2008,1357.159959
Frontenac,ON,150475,Census division,44.5797,-76.5654,401,2008,1357.159959
Frontenac,ON,150475,Census division,44.5797,-76.5654,401,2010,1493.7
Grenville County (Prescott/Augusta),ON,11575,Census subdivision,44.7093,-75.519,401,2012,1310.8
Grenville County (North Grenville),ON,16451,Census subdivision,44.9552,-75.6282,402,2011,1346.6
Strathroy-Caradoc,ON,20867,Census subdivision,42.9575,-81.61667,402,2009,1450
West Grey,ON,12518,Census subdivision,44.2214,-80.8544,403,2013,1200.9
West Vancouver,BC,42473,Census subdivision,49.3349,-123.1668,403,2015,1113.9
Grenville County (Prescott/Augusta),ON,11575,Census subdivision,44.7093,-75.519,404,2015,1113.9
Grey County (Georgian Bluffs),ON,10479,Census subdivision,44.684,-81.0198,406,2010,1493.7
Comox,BC,14028,Census subdivision,49.6735,-124.9283,407,2014,1088.4
Elgin County,ON,88907,Census division,42.6646,-80.9871,407,2015,1113.9
Nackawic,NB,941,Census subdivision,45.9891,-67.2412,407,2015,1113.9
Wellington County,ON,222726,Census division,43.7803,-80.5438,407,2013,1200.9
Carman Area,MB,3164,Census subdivision,49.5086,-98.0017,408,2011,1346.6
Kennebecasis Region,NB,,,45.401,-65.942,408,2015,1113.9
Roussillon Region,QC,171443,Census division,45.3701,-73.6303,408,2009,1450
Westman,MB,,,49.875,-100.33333,408,2012,1310.8
Central Saanich,BC,16814,Census subdivision,48.5704,-123.3998,409,2015,1113.9
Grey County (Georgian Bluffs),ON,10479,Census subdivision,44.684,-81.0198,409,2012,1310.8
Peterborough County (Cavan-Millbrook-North Monaghan),ON,138236,Census division,44.2087,-78.4525,409,2014,1088.4
Upper Ottawa Valley (Petawawa),ON,17187,Census subdivision,45.755,-77.206,409,2012,1310.8
Wellington County,ON,222726,Census division,43.7803,-80.5438,409,2010,1493.7
West Vancouver,BC,42473,Census subdivision,49.3349,-123.1668,410,2012,1310.8
Chenaux Region,QC,,,46.5,-72.41667,411,2014,1088.4
Colwood,BC,16859,Census subdivision,48.4288,-123.4889,411,2012,1310.8
Essex County (Tecumseh),ON,23229,Census subdivision,42.3118,-82.8858,411,2009,1450
Carman Area,MB,3164,Census subdivision,49.5086,-98.0017,412,2014,1088.4
Kennebecasis Region,NB,,,45.401,-65.942,412,2011,1346.6
Stratford,PEI,,,46.2159,-63.0886,412,2009,1450
Jacques-Cartier Region,QC,43485,Census division,47.033333,-71.58333,413,2015,1113.9
Wiarton (South Bruce Peninsula),ON,,,44.742,-81.1408,413,2014,1088.4
Aylmer,ON,7492,Census subdivision,42.7729,-80.9829,414,2015,1113.9
Oxford,ON,110862,Census division,43.184,-80.7214,414,2015,1113.9
Richmond,BC,3232,Census subdivision,49.1666,-123.1336,414,2015,1113.9
Montague,PEI,1961,Census subdivision,46.1651,-62.648,415,2015,1113.9
Nouvelle-Beauce Region,QC,1659,Census subdivision,46.5222,-71.0094,415,2011,1346.6
Appalaches Region,QC,42346,Census division,46.483333,-70.61667,416,2015,1113.9
Lanark County (Beckwith),ON,7644,Census subdivision,45.0869,-76.0686,416,2008,1357.159959
Halifax County,NS,403390,Census division,44.9,-63.1,417,2014,1088.4
Appalaches Region,QC,42346,Census division,46.483333,-70.61667,418,2010,1493.7
Perth County,ON,76796,Census division,43.5187,-81.0755,419,2013,1200.9
Beiseker,AB,819,Census subdivision,51.385,-113.5353,420,2012,1310.8
Blue Hills,MB,,,49.7538,-99.871,420,2013,1200.9
Bromont,QC,9041,Census subdivision,45.2852,-72.6872,420,2012,1310.8
Charlevoix Region,QC,12997,Census division,47.6304,-70.6482,420,2013,1200.9
Colwood,BC,16859,Census subdivision,48.4288,-123.4889,421,2013,1200.9
Placentia-Whitbourne District,NL,,,47.4184,-53.5327,421,2010,1493.7
Magog,QC,26669,Census subdivision,45.2665,-72.148,422,2015,1113.9
Lameque,NB,1285,Census subdivision,43.0527,-82.0407,423,2012,1310.8
Mount Forest (Southgate),ON,7354,Census subdivision,43.9811,-80.7359,423,2011,1346.6
"Beresford, Nigadoo, Petit-Rocher, Pointe-Verte",NB,6248,Census subdivision,47.8,-65.7,424,2015,1113.9
Charlevoix Region,QC,12997,Census division,47.6304,-70.6482,424,2008,1357.159959
St-Pierre-Jolys,MB,1170,Census subdivision,49.4403,-96.9851,425,2014,1088.4
Caledon,ON,66502,Census subdivision,43.8363,-79.8745,426,2011,1346.6
Ste. Marie,QC,,,46.439,-71.0213,426,2012,1310.8
Stirling,ON,4882,Census subdivision,44.3603,-77.5921,426,2008,1357.159959
Cote-de-Beaupre Region,QC,28199,Census division,47.4123,-71.274,427,2013,1200.9
Peterborough County (Municipality of Trent Lakes),ON,5397,Census subdivision,44.6725,-78.4181,427,2008,1357.159959
Richelieu Saint-Laurent,QC,,,45.4404,-73.246,427,2015,1113.9
Shawnigan Lake,BC,3945,Designated place,48.6512,-123.645,427,2014,1088.4
Stirling,ON,4882,Census subdivision,44.3603,-77.5921,427,2013,1200.9
East Algoma (Blind River/Thessalon),ON,4758,Census subdivision,48,-84.5,428,2011,1346.6
Jacques-Cartier Region,QC,43485,Census division,47.033333,-71.58333,428,2013,1200.9
Souris,PEI,1053,Census subdivision,46.355,-62.2518,428,2015,1113.9
Grey County (Georgian Bluffs),ON,10479,Census subdivision,44.684,-81.0198,429,2014,1088.4
Leeds County (Brockville),ON,21346,Census subdivision,44.5895,-75.6843,429,2014,1088.4
Peterborough County (Selwyn),ON,17060,Census subdivision,44.4228,-78.3541,429,2011,1346.6
