Site,Incidence (2010-2014) Both Sexes,"Incidence(a) (2010-2014),Males","Incidence(a) (2010-2014),Females","US Mortality(b) (2010-2014),Both Sexes","US Mortality(b) (2010-2014),Males","US Mortality(b) (2010-2014),Females","Survival(c) (%) (2007-2013),Both Sexes","Survival(c) (%) (2007-2013),Males","Survival(c) (%) (2007-2013),Females"
Melanoma of the skin,22.3,29.2,17.3,2.7,4,1.7,91.7,89.7,94.2
Other non-epithelial skin,2,2.9,1.4,0.9,1.6,0.4,84.7,82.9,87.1
Breast,67,1.2,124.9,11.8,0.3,21.2,89.7,83.6,89.7
Breast (<i>in situ</i>),16.4,0.1,31.2,-,-,-,100,99.9,100
Female Genital System:,26.1,-,49.1,8.4,-,15.2,69.3,-,69.3
Cervix uteri,3.8,-,7.4,1.2,-,2.3,67.1,-,67.1
Corpus uteri,13.2,-,24.9,1.1,-,2,82.7,-,82.7
"Uterus, NOS",0.4,-,0.8,1.4,-,2.6,29.8,-,29.8
Ovary(e),6.3,-,11.7,4.1,-,7.4,46.5,-,46.5
Vagina,0.4,-,0.7,0.1,-,0.2,46.6,-,46.6
Vulva,1.4,-,2.5,0.3,-,0.5,72.1,-,72.1
Other female genital system,0.6,-,1.2,0.2,-,0.3,54.5,-,54.5
Male Genital System:,58.1,126.7,-,8.3,20.5,-,98.3,98.3,-
Prostate,54.7,119.8,-,8.1,20.1,-,98.6,98.6,-
Testis,2.9,5.7,-,0.1,0.3,-,95.1,95.1,-
Penis,0.4,0.9,-,0.1,0.2,-,68.3,68.3,-
Other male genital system,0.1,0.3,-,0,0,-,83.5,83.5,-
Urinary System:,36.3,57.6,19.7,8.5,13.6,4.8,75.3,76.1,73.7
Urinary bladder,19.8,34.9,8.4,4.4,7.6,2.2,77.3,78.6,73.3
Kidney & renal pelvis,15.6,21.4,10.7,3.9,5.6,2.4,74.1,73.5,75.2
Ureter,0.5,0.8,0.3,0.1,0.1,0.1,46.5,47.8,44.4
Other urinary system,0.3,0.6,0.2,0.1,0.2,0.1,49.3,54.2,40.2
Eye & Orbit,0.8,1,0.7,0.1,0.1,0.1,82.7,82.4,83.1
Brain & Nervous System:(f),6.4,7.5,5.3,4.3,5.3,3.5,33.6,32.4,35.1
Brain,6,7.1,4.9,-,-,-,30.5,29.8,31.4
Cranial nerves & other nervous system,0.4,0.4,0.4,-,-,-,78.6,76.3,80.8
Endocrine System:,14.9,7.9,21.7,0.8,0.8,0.8,96.3,92.2,97.7
Thyroid,14.2,7.1,21,0.5,0.5,0.5,98.2,95.8,98.8
Other endocrine & thymus,0.7,0.8,0.7,0.3,0.3,0.3,64.5,65.1,63.8
Lymphoma:,22,26.7,18.3,6.2,8,4.9,73.1,71.7,74.7
Hodgkin lymphoma,2.6,2.9,2.3,0.3,0.4,0.3,86.4,85.6,87.4
Non-Hodgkin lymphoma,19.5,23.7,16,5.9,7.6,4.6,71,69.5,72.7
Myeloma,6.6,8.3,5.2,3.3,4.2,2.7,49.6,49.6,49.5
Leukemia:,13.7,17.6,10.7,6.8,9.1,5.1,60.6,61.6,59.2
Lymphocytic:,6.8,9,5.1,1.9,2.6,1.3,79,79.6,78.1
Acute lymphocytic,1.7,1.9,1.5,0.4,0.5,0.4,68.2,68.1,68.3
Chronic lymphocytic,4.7,6.4,3.3,1.3,1.9,0.9,83.2,83.4,82.9
Other lymphocytic,0.4,0.6,0.2,0.1,0.2,0.1,81.8,85.2,71.4
Myeloid & Monocytic:,6.4,7.9,5.2,3.4,4.4,2.6,39.6,39.2,40
Acute myeloid,4.2,5.2,3.6,2.8,3.6,2.2,26.9,25.8,28.2
Chronic myeloid,1.8,2.3,1.4,0.3,0.4,0.2,66.9,65.7,68.6
Acute monocytic,0.2,0.3,0.2,0,0,0,23.5,20.8,27
Other myeloid & monocytic,0.2,0.2,0.1,0.2,0.3,0.2,33.8,35.3,31.9
Other leukemia:,0.5,0.6,0.4,1.6,2.1,1.2,33.5,33.7,33.2
Other acute leukemia,0.2,0.3,0.2,0.5,0.7,0.4,20.8,21.9,19.4
"Aleukemic, subleukemic & NOS",0.3,0.4,0.2,1,1.4,0.8,42.4,42.8,41.9
Kaposi Sarcoma(g),0.5,0.9,0.1,-,-,-,74.1,73.8,75.3
Mesothelioma(g),0.9,1.7,0.4,-,-,-,9,7,15
Ill-defined & unspecified,8.1,9.5,7.1,12.1,15.4,9.7,18.3,21.9,14.6
