,Characters,Dialogue,Movie
102,THREEPIO,Excuse me sir.  Might I inqu...,Empire Strike Back
104,DECK OFFICER,Yes sir?,Empire Strike Back
105,HAN,Do you know where Commander Skywalker is?,Empire Strike Back
106,DECK OFFICER,I haven't seen him.  It's possible he came in through the south entrance.,Empire Strike Back
107,HAN,It's possible?  Why don't you go find out?  It's getting dark out there.,Empire Strike Back
108,DECK OFFICER,Yes sir.,Empire Strike Back
110,THREEPIO,Excuse me sir.  Might I inquire what's going on?,Empire Strike Back
111,HAN,Why not?,Empire Strike Back
112,THREEPIO,Impossible man.  Come along Artoo let's find Princess Leia.  Between ourselves I think Master Luke is in considerable danger.,Empire Strike Back
115,DECK OFFICER,Sir Commander Skywalker hasn't come in through the south entrance.He might have forgotten to check in.,Empire Strike Back
116,HAN,Not likely.  Are the speeders ready?,Empire Strike Back
117,DECK OFFICER,Not yet.  We're having some trouble adapting them to the cold.,Empire Strike Back
118,HAN,Then we'll have to go out on Tauntauns.,Empire Strike Back
119,DECK OFFICER,Sir the temperature's dropping too rapidly.,Empire Strike Back
120,HAN,That's right.  And my friends out in it.,Empire Strike Back
121,ASSISTANT OFFICER,I'll cover sector twelve.  Have com-control set screen alpha.,Empire Strike Back
123,DECK OFFICER,Your Tauntaun'll freeze before you reach the first marker.,Empire Strike Back
124,HAN,Then I'll see you in hell!,Empire Strike Back
138,THREEPIO,You must come along now Artoo.  There's really nothing more we can do.  And my joints are freezing up.,Empire Strike Back
140,THREEPIO,Don't say thing like that!  Of course we'll see Master Luke again.He'll be quite all right you'll see.Stupid little short-circuit.  He'll be quite all right.,Empire Strike Back
147,LIEUTENANT,Sir all the patrols are in.There's still no contact from Skywalker or Solo.,Empire Strike Back
148,THREEPIO,Mistress Leia Artoo says he's been quite unable to pick up any signals although he does admit that his own range is far too weak to abandon all hope.,Empire Strike Back
150,DERLIN,Your Highness there's nothing more we can do tonight.  The shield doors must be closed.,Empire Strike Back
152,DERLIN,Close the doors.,Empire Strike Back
153,LIEUTENANT,Yes sir.,Empire Strike Back
155,THREEPIO,Artoo says the chances of survival are seven hundred seventy-five...to one.,Empire Strike Back
157,THREEPIO,Actually Artoo has been known to make mistakes... from time to time.Oh dear oh dear.  Don't worry about Master Luke.  I'm sure he'll be all right.  He's quite clever you know... for a human being.,Empire Strike Back
160,BEN,Luke... Luke.,Empire Strike Back
161,LUKE,Ben?,Empire Strike Back
162,BEN,You will go to the Dagobah system.,Empire Strike Back
163,LUKE,Dagobah system?,Empire Strike Back
164,BEN,There you will learn from Yoda the Jedi Master who instructed me.,Empire Strike Back
166,LUKE,Ben... Ben.,Empire Strike Back
169,HAN,Luke!  Luke!  Don't do this Luke.  Come on give me a sign here.,Empire Strike Back
174,LUKE,Ben... Ben...,Empire Strike Back
175,HAN,Hang on kid.,Empire Strike Back
176,LUKE,Dagobah system...,Empire Strike Back
178,HAN, Whew...,Empire Strike Back
179,LUKE,Dagobah...,Empire Strike Back
180,HAN,This may smell bad kid...,Empire Strike Back
181,LUKE,Yoda...,Empire Strike Back
182,HAN,...but it will keep you warm... til I get the shelter built. Ooh... I thought they smelled bad on the outside!,Empire Strike Back
188,ZEV, Echo Base... I've got something!  Not much but it could be a life form.,Empire Strike Back
193,ZEV,This is Rogue Two.  this is Rogue Two.  Captain Solo so you copy?  Commander Skywalker do you copy? This is Rogue Two.,Empire Strike Back
195,HAN,Good morning.  Nice of you guys to drop by.,Empire Strike Back
196,ZEV, Echo Base... this is Rogue Two.  I found them.  Repeat I found them.,Empire Strike Back
203,THREEPIO,Master Luke sir it's so good to see you fully functional again.,Empire Strike Back
205,THREEPIO,Artoo expresses his relief also.,Empire Strike Back
207,HAN,How are you feeling kid?  You don't look so bad to me.  In fact you look strong enough to pull the ears off a Gundark.,Empire Strike Back
208,LUKE,Thanks to you.,Empire Strike Back
209,HAN,That's two you owe me junior.,Empire Strike Back
211,HAN,Well your Worship looks like you managed to keep me around fora little while longer.,Empire Strike Back
212,LEIA,I had nothing to do with it.  General Rieekan thinks it's dangerous for any ships to leave the system until we've activated the energy shield.,Empire Strike Back
213,HAN,That's a good story.  I think you just can't bear to let a gorgeous guy like me out of your sight.,Empire Strike Back
214,LEIA,I don't know where you get your delusions laser brain.,Empire Strike Back
216,HAN,Laugh it up fuzzball.  But you didn't see us alone in the south passage.,Empire Strike Back
218,HAN,She expressed her true feelings for me.,Empire Strike Back
220,LEIA,My...!  Why you stuck up... half-witted... scruffy-looking ...nerf-herder!,Empire Strike Back
221,HAN,Who's scruffy-looking?  I must have hit pretty close to the mark to get her all riled up like that huh kid?,Empire Strike Back
223,LEIA,Why I guess you don't know everything about women yet?,Empire Strike Back
226,ANNOUNCER,Headquarters personnel report to command center.,Empire Strike Back
228,HAN,Take it easy.,Empire Strike Back
229,THREEPIO,Excuse us please.,Empire Strike Back
232,RIEEKAN,Princess... we have a visitor.,Empire Strike Back
234,RIEEKAN,We've picked up something outside the base in zone twelve moving east.,Empire Strike Back
235,SENIOR CONTROLLER,It's metal.,Empire Strike Back
236,LEIA,Then it couldn't be one of those creatures that attacked Luke.,Empire Strike Back
237,HAN,It could be a speeder one of ours.,Empire Strike Back
238,SENIOR CONTROLLER,No.  Wait - there's something very weak coming through.,Empire Strike Back
240,THREEPIO,Sir I am fluent in six million forms of communication.  This signal is not used by the Alliance.  It could be an Imperial code.,Empire Strike Back
242,HAN,It isn't friendly whatever it is.  Come on Chewie let's check it out.,Empire Strike Back
243,RIEEKAN,Send Rogues Ten and Eleven to station three-eight.,Empire Strike Back
250,HAN,Afraid there's not much left.,Empire Strike Back
251,LEIA,What was it?,Empire Strike Back
252,HAN,Droid of some kind.  I didn't hit it that hard.  It must have had a self-destruct.,Empire Strike Back
253,LEIA,An Imperial probe droid.,Empire Strike Back
254,HAN,It's a good bet the Empire knows we're here.,Empire Strike Back
255,RIEEKAN,We'd better start the evacuation.,Empire Strike Back
260,PIETT,Admiral.,Empire Strike Back
261,OZZEL,Yes Captain,Empire Strike Back
262,PIETT,I think we've got something sir.  The report is only a fragment from a probe droid in the Hoth system but it's the best lead we've had.,Empire Strike Back
263,OZZEL, We have thousands of probe droids searching the galaxy.  I want proof not leads!,Empire Strike Back
264,PIETT,The visuals indicate life readings.,Empire Strike Back
265,OZZEL,It could mean anything.  If we followed every lead...,Empire Strike Back
266,PIETT,But sir the Hoth system is supposed to be devoid of human forms.,Empire Strike Back
268,VADER,You found something?,Empire Strike Back
269,PIETT,Yes my lord.,Empire Strike Back
270,VADER, That's it.  The Rebels are there.,Empire Strike Back
271,OZZEL,My lord there are so many uncharted settlements.  It could be smugglers it could be...,Empire Strike Back
272,VADER,That is the system.  And I'm sure Skywalker is with them.  Set your course for the Hoth system.  General Veers prepare you men.,Empire Strike Back
275,REBEL CAPTAIN,Groups seven and ten will stay behind to fly the speeders.  As soon as each transport is loaded evacuation control will give clearance for immediate launch.,Empire Strike Back
276,REBEL FIGHTER,Right sir.,Empire Strike Back
281,HAN,Okay that's it.  Try it... Off! Turn it off!  Turn it off!  Off!,Empire Strike Back
285,MEDICAL DROID,Sir it will take quite a while to evacuate the T-forty- sevens.,Empire Strike Back
286,LUKE,Well forget the heavy equipment.There's plenty of time to get the smaller modules on the transports.,Empire Strike Back
287,MEDICAL DROID,Take care sir.,Empire Strike Back
288,LUKE,Thanks.,Empire Strike Back
291,LUKE,Chewie take care of yourself okay?,Empire Strike Back
293,HAN,Hi kid.You all right?,Empire Strike Back
294,LUKE,Yeah.,Empire Strike Back
295,HAN,Be careful.,Empire Strike Back
296,LUKE,You too.,Empire Strike Back
300,CONTROLLER,General there's a fleet of Star Destroyers coming out of hyperspace in sector four.,Empire Strike Back
301,RIEEKAN,Reroute all power to the energy shield.  We've got to hold them till all transports are away.  Prepare for ground assault.,Empire Strike Back
305,VADER,What is it General?,Empire Strike Back
306,VEERS,My lord the fleet has moves out of light-speed.  Com-Scan has detected an energy field protecting an area around the sixth planet of the Hoth system.  The field is strong enough to deflect any bombardment.,Empire Strike Back
307,VADER,The Rebels are alerted to our presence.  Admiral Ozzel came out of light-speed too close to the system.,Empire Strike Back
308,VEERS,He felt surprise was wiser...,Empire Strike Back
309,VADER,He is as clumsy as he is stupid.General prepare your troops for a surface attack.,Empire Strike Back
310,VEERS,Yes my lord.,Empire Strike Back
312,OZZEL,Lord Vader the fleet has moved out of light-speed and we're preparing to... Aaagh!,Empire Strike Back
313,VADER,You have failed me for the last time Admiral.  Captain Piett.,Empire Strike Back
315,PIETT,Yes my lord.,Empire Strike Back
316,VADER,Make ready to land out troops beyond the energy shield and deploy the fleet so that nothing gets off that system.  You are in command now Admiral Piett.,Empire Strike Back
317,PIETT,Thank you Lord Vader.,Empire Strike Back
321,LEIA,All troop carriers will assemble at the north entrance.  The heavy transport ships will leave as soon as they're loaded.  Only two fighter escorts per ship.  The energy shield can only be opened for a short time so you'll have to stay very close to your transports.,Empire Strike Back
322,HOBBIE,Two fighters against a Star Destroyer?,Empire Strike Back
323,LEIA,The ion cannon will fire several shots to make sure that any enemy ships will be out of your flight path.  When you've gotten past the energy shield proceed directly to the rendezvous point.  Understood?,Empire Strike Back
324,PILOTS,Right.  Okay.,Empire Strike Back
325,LEIA,Good luck.,Empire Strike Back
326,DERLIN,Okay.  Everyone to your stations.  Let's go!,Empire Strike Back
335,RIEEKAN,Their primary target will be the power generators.  Prepare to open the shield.,Empire Strike Back
342,CONTROLLER,Sir Rebel ships are coming into our sector.,Empire Strike Back
343,CAPTAIN,Good.  Our first catch of the day.,Empire Strike Back
345,WOMAN CONTROLLER,Stand by ion control... Fire!,Empire Strike Back
354,ANNOUNCER,The first transport is away.,Empire Strike Back
356,DACK,Feeling all right sir?,Empire Strike Back
357,LUKE,Just like new Dack.  How about you?,Empire Strike Back
358,DACK,Right now I feel like I could take on the whole Empire myself.,Empire Strike Back
359,LUKE,I know what you mean.,Empire Strike Back
365,TRENCH OFFICER,Echo Station Three-T-Eight.,Empire Strike Back
368,TRENCH OFFICER, We have spotted Imperial walkers!,Empire Strike Back
369,CONTROLLER,Imperial walkers on the north ridge.,Empire Strike Back
374,LUKE, Echo station Five-Seven.  We're on our way.,Empire Strike Back
378,LUKE, All right boys keep tight now.,Empire Strike Back
379,DACK,Luke I have no approach vector.  I'm not set.,Empire Strike Back
380,LUKE,Steady Dack.  Attack pattern delta.  Go now!,Empire Strike Back
384,LUKE,All right I'm coming in.,Empire Strike Back
386,LUKE,Hobbie you still with me?,Empire Strike Back
400,LUKE,That armor's too strong for blasters.,Empire Strike Back
402,LUKE,All right stand by Dack.,Empire Strike Back
404,DACK,Luke we've got a malfunction in fire control.  I'll have to cut in the auxiliary.,Empire Strike Back
405,LUKE,Just hang on.  Hang on Dack.  Get ready to fire that tow cable.,Empire Strike Back
412,LUKE,Dack?  Dack!,Empire Strike Back
423,VEERS,Yes Lord Vader.  I've reached the main power generator.  The shield will be down in moments.  You may start your landing.,Empire Strike Back
425,LUKE, Rogue Three.,Empire Strike Back
427,WEDGE, Copy Rogue Leader,Empire Strike Back
429,WEDGE, Coming around Rogue Leader.,Empire Strike Back
431,LUKE, Steady Rogue Two,Empire Strike Back
435,WEDGE, Activate harpoon.,Empire Strike Back
445,WEDGE,One more pass.,Empire Strike Back
450,JANSON,Once more.,Empire Strike Back
452,JANSON,Cable out!  Let her go!,Empire Strike Back
453,WEDGE,Detach cable.,Empire Strike Back
457,JANSON,Cable detached.,Empire Strike Back
463,TRENCH OFFICER,Come on!,Empire Strike Back
467,WEDGE, Whooha!  That got him!,Empire Strike Back
469,LUKE, I see it Wedge.  Good work.,Empire Strike Back
472,RIEEKAN,I don't think we can protect two transports at a time.,Empire Strike Back
474,RIEEKAN, Launch patrols.,Empire Strike Back
475,LEIA, Evacuate remaining ground staff.,Empire Strike Back
478,HAN,No no!  No!  This one goes there that one goes there.  Right?,Empire Strike Back
480,THREEPIO,Artoo you take good care of Master Luke now understand?  And... do take good care of yourself.  Oh dear oh dear.,Empire Strike Back
485,VEERS,All troops will debark for ground assault.  Prepare to target the main generator.,Empire Strike Back
490,LUKE, Rogue Two are you all right?,Empire Strike Back
492,ZEV, Yeah.  I'm with you Rogue Leader.,Empire Strike Back
494,LUKE, We'll set harpoon.  I'll cover for you.,Empire Strike Back
498,ZEV, Coming around.,Empire Strike Back
500,LUKE, Watch that cross fire boys.,Empire Strike Back
502,ZEV, Steady.,Empire Strike Back
503,LUKE, Stay tight and low.,Empire Strike Back
509,LUKE, Hobbie I've been hit!,Empire Strike Back
512,HAN,You all right?,Empire Strike Back
514,LEIA,Why are you still here?,Empire Strike Back
515,HAN,I heard the command center had been hit.,Empire Strike Back
516,LEIA,You got your clearance to leave.,Empire Strike Back
517,HAN,Don't worry.  I'll leave.  First I'm going to get you to your ship.,Empire Strike Back
518,THREEPIO,Your Highness we must take this last transport.  It's our only hope.,Empire Strike Back
519,LEIA, Send all troops in sector twelve to the south slope to protect the fighters.,Empire Strike Back
521,ANNOUNCER, Imperial troops have entered the base.,Empire Strike Back
522,HAN,Come on... that's it.,Empire Strike Back
523,LEIA, Give the evacuation code signal.  And get to your transports!,Empire Strike Back
526,HEAD CONTROLLER,K-one-zero... all troops disengage.,Empire Strike Back
527,THREEPIO, Oh!  Wait for me!,Empire Strike Back
530,OFFICER,Begin retreat!,Empire Strike Back
531,SECOND OFFICER,Fall back!,Empire Strike Back
548,VEERS,Distance to power generators?,Empire Strike Back
549,PILOT,One-seven decimal two-eight.,Empire Strike Back
551,VEERS,Target.  Maximum fire power.,Empire Strike Back
559,THREEPIO,But... but... but... where are you going?  Uh... come back!!,Empire Strike Back
564,THREEPIO,Wait!  Wait for me!  Wait!  Stop!,Empire Strike Back
566,THREEPIO, How typical.,Empire Strike Back
568,HAN,Come on.,Empire Strike Back
572,HAN,Hurry up goldenrod or you're going to be a permanent resident!,Empire Strike Back
573,THREEPIO,Wait!  Wait!,Empire Strike Back
580,HAN,How's this?,Empire Strike Back
582,LEIA,Would it helped if I got out and pushed?,Empire Strike Back
583,HAN,It might.,Empire Strike Back
585,THREEPIO,Captain Solo Captain Solo... sir might I suggest that you...,Empire Strike Back
587,THREEPIO,It can wait.,Empire Strike Back
590,LEIA,This bucket of bolts is never going to get us past that blockade.,Empire Strike Back
591,HAN,This baby's got a few surprises left in her sweetheart.,Empire Strike Back
601,HAN,Come on!  Come on!  Switch over.Let's hope we don't have a burnout.,Empire Strike Back
603,HAN,See?,Empire Strike Back
604,LEIA,Someday you're going to be wrong and I hope I'm there to see it.,Empire Strike Back
606,HAN,Punch it!,Empire Strike Back
614,LUKE,Artoo!  Get her ready for takeoff.,Empire Strike Back
616,WEDGE,Good luck Luke.  See you at the rendezvous.,Empire Strike Back
618,LUKE,Don't worry Artoo.  We're going we're going.,Empire Strike Back
625,LUKE,There's nothing wrong Artoo.I'm just setting a new course.,Empire Strike Back
627,LUKE,We're not going to regroup with the others.,Empire Strike Back
630,LUKE,We're going to the Dagobah system.,Empire Strike Back
632,LUKE,Yes Artoo?,Empire Strike Back
634,LUKE,That's all right.  I'd like to keep it on manual control for a while.,Empire Strike Back
641,HAN,I saw them!  I saw them!,Empire Strike Back
642,LEIA,Saw what?,Empire Strike Back
643,HAN,Star Destroyers two of them coming right at us.,Empire Strike Back
645,THREEPIO,Sir sir!  Might I suggest...,Empire Strike Back
646,HAN,Check the deflector shield!,Empire Strike Back
648,HAN,Oh great.  Well we can still outmaneuver them.,Empire Strike Back
651,INT. STAR DESTROYER - BRIDGE,Out the front window the two approaching Star Destroyers can be seen veering to the left.,Empire Strike Back
652,IMPERIAL OFFICER,Take evasive action!,Empire Strike Back
658,HAN,Prepare to make the jump to light-speed.,Empire Strike Back
659,THREEPIO,But sir!,Empire Strike Back
661,LEIA,They're getting closer!,Empire Strike Back
662,HAN,Oh yeah?  Watch this.,Empire Strike Back
665,LEIA,Watch what?,Empire Strike Back
667,HAN,I think we're in trouble.,Empire Strike Back
668,THREEPIO,If I may say so sir I noticed earlier that the hyperdrive motivator has been damaged.  It's impossible to go to light-speed!,Empire Strike Back
669,HAN,We're in trouble!,Empire Strike Back
677,HAN,Horizontal boosters...!Bring me the hydrospanners!,Empire Strike Back
679,HAN,I don't know how we're going to get out of this one.,Empire Strike Back
681,HAN,Oww!  Chewie!,Empire Strike Back
683,HAN,That was no laser blast!  Something hit us.,Empire Strike Back
684,LEIA,Han get up here!,Empire Strike Back
685,HAN,Come on Chewie!,Empire Strike Back
689,LEIA,Asteroids!,Empire Strike Back
691,HAN,Oh no!  Chewie set two-seven-one.,Empire Strike Back
692,LEIA,What are you doing?  You're not actually going into an asteroid field?,Empire Strike Back
693,HAN,They'd be crazy to follow us wouldn't they?,Empire Strike Back
695,LEIA,You don't have to do this to impress me.,Empire Strike Back
696,THREEPIO,Sir the possibility of successfully navigating an asteroid field is approximately three thousand seven hundred and twenty to one.,Empire Strike Back
697,HAN,Never tell me the odds!,Empire Strike Back
711,HAN,You said you wanted to be around when I made a mistake; well this could be it sweetheart.,Empire Strike Back
712,LEIA,I take it back.  We're going to get pulverized if we stay out here much longer.,Empire Strike Back
714,HAN,I'm not going to argue with that.,Empire Strike Back
715,THREEPIO,Pulverized?,Empire Strike Back
716,HAN,I'm going in closer to one of those big ones.,Empire Strike Back
717,LEIA,Closer?,Empire Strike Back
718,THREEPIO,Closer?!,Empire Strike Back
725,THREEPIO,Oh this is suicide!,Empire Strike Back
727,HAN,There.  That looks pretty good.,Empire Strike Back
728,LEIA,What looks pretty good?,Empire Strike Back
729,HAN,Yeah.  That'll do nicely.,Empire Strike Back
730,THREEPIO,Excuse me ma'am but where are we going?,Empire Strike Back
735,LEIA,I hope you know what you're doing.,Empire Strike Back
736,HAN,Yeah me too.,Empire Strike Back
743,LUKE,Yes that's it.  Dagobah.,Empire Strike Back
745,LUKE,I'm not picking up any cities ortechnology.  Massive life-form readings though.  There's somethingalive down there...,Empire Strike Back
747,LUKE,Yes I'm sure it's perfectly safe for droids.,Empire Strike Back
752,LUKE,I know I know!  All the scopes are dead.  I can't see a thing!  Just hang on I'm going to start the landing cycle...,Empire Strike Back
756,LUKE,No Artoo you stay put.  I'll have a look around.,Empire Strike Back
758,LUKE,Artoo?,Empire Strike Back
760,LUKE,Artoo!  Where are you?,Empire Strike Back
762,LUKE,Artoo!  You be more careful.,Empire Strike Back
765,LUKE,Artoo - that way!,Empire Strike Back
768,LUKE,Artoo!,Empire Strike Back
770,LUKE,Oh no!  Are you all right?  Come on.  You're lucky you don't taste very good.  Anything broken?,Empire Strike Back
772,LUKE,If you're saying coming here was a bad idea I'm beginning to agree with you.  Oh Artoo what are we doing here?  It's like... something out of a dream or I don't know.  Maybe I'm just going crazy.,Empire Strike Back
778,VADER,Yes Admiral?,Empire Strike Back
779,PIETT,Our ships have sighted the Millennium Falcon lord.  But... it has entered an asteroid field and we cannot risk...,Empire Strike Back
780,VADER,Asteroids do not concern me Admiral.  I want that ship and not excuses.,Empire Strike Back
781,PIETT,Yes lord.,Empire Strike Back
786,HAN,I'm going to shut down everything but the emergency power systems.  ,Empire Strike Back
787,THREEPIO,Sir I'm almost afraid to ask but... does that include shutting me down too?,Empire Strike Back
789,HAN,No I need you to talk to the Falcon find out what's wrong with the hyperdrive.,Empire Strike Back
791,THREEPIO,Sir it's quite possible this asteroid is not entirely stable.,Empire Strike Back
792,HAN,Not entirely stable?  I'm glad you're here to tell us these things.  Chewie take the professor in the back and plug him into the hyperdrive.,Empire Strike Back
793,THREEPIO,Oh!  Sometimes I just don't understand human behavior.  After all I'm only trying to do my job in the most...,Empire Strike Back
795,LEIA,Let go.,Empire Strike Back
796,HAN,Sshh!,Empire Strike Back
797,LEIA,Let go please.,Empire Strike Back
799,HAN,Don't get excited.,Empire Strike Back
801,LEIA,Captain being held by you isn't quite enough to get me excited.,Empire Strike Back
802,HAN,Sorry sweetheart.  We haven't got time for anything else.,Empire Strike Back
807,LUKE,Ready for some power?  Okay.  Let's see now.  Put that in there.  There you go.,Empire Strike Back
809,LUKE,Now all I have to do is find this Yoda... if he even exists.,Empire Strike Back
811,LUKE,Still... there's something familiar about this place.  I feel like... I don't know...,Empire Strike Back
812,STRANGE VOICE,Feel like what?,Empire Strike Back
814,LUKE,Like we're being watched!,Empire Strike Back
815,CREATURE,Away with your weapon!  I mean you no harm.,Empire Strike Back
817,CREATURE,I am wondering why are you here?,Empire Strike Back
818,LUKE,I'm looking for someone.,Empire Strike Back
819,CREATURE,Looking?  Found someone you have I would say hmmm?,Empire Strike Back
821,LUKE,Right.,Empire Strike Back
822,CREATURE,Help you I can.  Yes mmmm.,Empire Strike Back
823,LUKE,I don't think so.  I'm looking for a great warrior.,Empire Strike Back
824,CREATURE,Ahhh!  A great warrior.Wars not make one great.,Empire Strike Back
828,LUKE,Put that down.  Hey!  That's my dinner!,Empire Strike Back
830,CREATURE,How you get so big eating food of this kind?,Empire Strike Back
832,LUKE,Listen friend we didn't mean to land in that puddle and if we could get our ship out we would but we can't so why don't you just...,Empire Strike Back
833,CREATURE,Aww cannot get your ship out?,Empire Strike Back
835,LUKE,Hey you could have broken this.Don't do that.  Ohhh... you're making a mess.  Hey give me that!,Empire Strike Back
836,CREATURE,Mine!  Or I will help you not.,Empire Strike Back
838,LUKE,I don't want your help.  I want my lamp back.  I'll need it to get out of this slimy mudhole.,Empire Strike Back
839,CREATURE,Mudhole?  Slimy?  My home this is.,Empire Strike Back
842,CREATURE,Ah ah ah!,Empire Strike Back
843,LUKE,Oh Artoo let him have it!,Empire Strike Back
844,CREATURE,Mine!  Mine!,Empire Strike Back
845,LUKE,Artoo!,Empire Strike Back
846,CREATURE,Mine!,Empire Strike Back
848,CREATURE,Mine!,Empire Strike Back
849,LUKE,Now will you move along little fella?  We're got a lot of work to do.,Empire Strike Back
850,CREATURE,No!  No no!  Stay and help you I will.Find your friend hmm?,Empire Strike Back
851,LUKE,I'm not looking for a friend. I'm looking for a Jedi Master.,Empire Strike Back
852,CREATURE,Oohhh.  Jedi Master.  Yoda.  You seek Yoda.,Empire Strike Back
853,LUKE,You know him?,Empire Strike Back
854,CREATURE,Mmm.  Take you to him I will.Yes yes.  But now we must eat.Come.  Good food.  Come.,Empire Strike Back
856,CREATURE,Come come.,Empire Strike Back
858,LUKE,Stay here and watch after the camp Artoo.,Empire Strike Back
862,THREEPIO,Oh where is Artoo when I need him?,Empire Strike Back
864,THREEPIO,Sir I don't know where your ship learned to communicate but it has the most peculiar dialect.  I believe sir it says that the power coupling on the negative axis has been polarized.  I'm afraid you'll have to replace it.,Empire Strike Back
865,HAN,Well of course I'll have to replace it.,Empire Strike Back
867,HAN,Here!  And Chewie...,Empire Strike Back
869,HAN,... I think we'd better replace the negative power coupling.,Empire Strike Back
871,HAN,Hey Your Worship I'm only trying to help.,Empire Strike Back
872,LEIA,Would you please stop calling me that?,Empire Strike Back
874,HAN,Sure Leia.,Empire Strike Back
875,LEIA,Oh you make it so difficult sometimes.,Empire Strike Back
876,HAN,I do I really do.  You could be a little nicer though.Come on admit it.  Sometimes you think I'm all right.,Empire Strike Back
878,LEIA,Occasionally...... when you aren't acting like a scoundrel.,Empire Strike Back
879,HAN,Scoundrel?  Scoundrel?  I like the sound of that.,Empire Strike Back
881,LEIA,Stop that.,Empire Strike Back
882,HAN,Stop what?,Empire Strike Back
884,LEIA,Stop that!  My hands are dirty.,Empire Strike Back
885,HAN,My hands are dirty too.  What are you afraid of?,Empire Strike Back
886,LEIA,Afraid?,Empire Strike Back
888,HAN,You're trembling.,Empire Strike Back
889,LEIA,I'm not trembling.,Empire Strike Back
891,HAN,You like me because I'm a scoundrel.There aren't enough scoundrels in your life.,Empire Strike Back
893,LEIA,I happen to like nice men.,Empire Strike Back
894,HAN,I'm a nice man.,Empire Strike Back
895,LEIA,No you're not.  You're...,Empire Strike Back
898,THREEPIO,Sir sir!  I've isolated the reverse power flux coupling.,Empire Strike Back
