,Country_Residence,Origin,Year,Count
131,Canada,Greece,1965,5
132,Canada,Hungary,1965,351
133,Canada,Italy,1965,4
134,Canada,Latvia,1965,4
135,Canada,Lithuania,1965,8
136,Canada,Poland,1965,103
137,Canada,Romania,1965,57
138,Canada,Russian Federation,1965,35
139,Canada,Serbia and Kosovo: S/RES/1244 (1999),1965,1320
140,Canada,Spain,1965,20
141,Canada,Turkey,1965,2
142,Canada,Various/unknown,1965,70
143,Canada,Albania,1966,15
144,Canada,Bulgaria,1966,19
145,Canada,China,1966,1
146,Canada,Czech Rep.,1966,186
147,Canada,France,1966,5
148,Canada,Germany,1966,3
149,Canada,Greece,1966,6
150,Canada,Hungary,1966,373
151,Canada,Italy,1966,2
152,Canada,Lithuania,1966,1
153,Canada,Poland,1966,57
154,Canada,Romania,1966,35
155,Canada,Russian Federation,1966,21
156,Canada,Serbia and Kosovo: S/RES/1244 (1999),1966,1290
157,Canada,Spain,1966,7
158,Canada,Turkey,1966,3
159,Canada,Various/unknown,1966,34
160,Canada,Albania,1967,1
161,Canada,Bulgaria,1967,4
162,Canada,China,1967,1
163,Canada,Czech Rep.,1967,177
164,Canada,France,1967,12
165,Canada,Germany,1967,5
166,Canada,Hungary,1967,74
167,Canada,Italy,1967,3
168,Canada,Netherlands,1967,1
169,Canada,Poland,1967,82
170,Canada,Romania,1967,13
171,Canada,Russian Federation,1967,22
172,Canada,Serbia and Kosovo: S/RES/1244 (1999),1967,1085
173,Canada,Spain,1967,1
174,Canada,Sweden,1967,1
175,Canada,Various/unknown,1967,17
176,Canada,Angola,1968,1
177,Canada,Bulgaria,1968,47
178,Canada,Czech Rep.,1968,9164
179,Canada,Hungary,1968,300
180,Canada,India,1968,1
181,Canada,Poland,1968,101
182,Canada,Romania,1968,56
183,Canada,Russian Federation,1968,30
184,Canada,Serbia and Kosovo: S/RES/1244 (1999),1968,163
185,Canada,Various/unknown,1968,117
186,Canada,Bulgaria,1969,35
187,Canada,Czech Rep.,1969,2799
188,Canada,Hungary,1969,250
189,Canada,Poland,1969,224
190,Canada,Romania,1969,88
191,Canada,Russian Federation,1969,31
192,Canada,Serbia and Kosovo: S/RES/1244 (1999),1969,85
193,Canada,Various/unknown,1969,87
194,Canada,Bulgaria,1970,59
195,Canada,Czech Rep.,1970,466
196,Canada,Hungary,1970,264
197,Canada,Poland,1970,272
198,Canada,Romania,1970,146
199,Canada,Russian Federation,1970,51
200,Canada,Serbia and Kosovo: S/RES/1244 (1999),1970,63
201,Canada,Tibetan,1970,3
202,Canada,Various/unknown,1970,42
204,Canada,Bulgaria,1971,49
205,Canada,Czech Rep.,1971,115
206,Canada,Hungary,1971,203
207,Canada,Poland,1971,90
208,Canada,Romania,1971,84
209,Canada,Russian Federation,1971,3
210,Canada,Serbia and Kosovo: S/RES/1244 (1999),1971,34
211,Canada,Tibetan,1971,116
212,Canada,Various/unknown,1971,36
214,Canada,Bulgaria,1972,35
215,Canada,Czech Rep.,1972,30
216,Canada,Hungary,1972,73
217,Canada,India,1972,547
218,Canada,Iraq,1972,1
219,Canada,Kenya,1972,414
220,Canada,Mozambique,1972,2
221,Canada,Poland,1972,64
222,Canada,Romania,1972,54
223,Canada,Russian Federation,1972,6
224,Canada,Serbia and Kosovo: S/RES/1244 (1999),1972,52
225,Canada,Tibetan,1972,30
226,Canada,Uganda,1972,3610
227,Canada,United Rep. of Tanzania,1972,253
228,Canada,Various/unknown,1972,63
230,Canada,Bulgaria,1973,23
231,Canada,Chile,1973,17
232,Canada,Czech Rep.,1973,5
233,Canada,Hungary,1973,19
234,Canada,India,1973,248
235,Canada,Iraq,1973,1
236,Canada,Kenya,1973,213
237,Canada,Poland,1973,16
238,Canada,Romania,1973,36
239,Canada,Russian Federation,1973,90
240,Canada,Serbia and Kosovo: S/RES/1244 (1999),1973,7
241,Canada,Tibetan,1973,10
242,Canada,Uganda,1973,1538
243,Canada,United Rep. of Tanzania,1973,92
244,Canada,Various/unknown,1973,84
246,Canada,Argentina,1974,3
247,Canada,Bulgaria,1974,11
248,Canada,Chile,1974,1002
249,Canada,Czech Rep.,1974,11
250,Canada,Hungary,1974,35
251,Canada,India,1974,18
252,Canada,Kenya,1974,7
253,Canada,Poland,1974,14
254,Canada,Romania,1974,61
255,Canada,Russian Federation,1974,272
256,Canada,Serbia and Kosovo: S/RES/1244 (1999),1974,7
257,Canada,Uganda,1974,134
258,Canada,United Rep. of Tanzania,1974,5
259,Canada,Various/unknown,1974,63
260,Canada,Viet Nam,1974,6
262,Canada,Argentina,1975,20
263,Canada,Bulgaria,1975,14
264,Canada,Cambodia,1975,282
265,Canada,Chile,1975,1821
266,Canada,Czech Rep.,1975,26
267,Canada,Hungary,1975,34
268,Canada,India,1975,4
269,Canada,Iraq,1975,1
270,Canada,Kenya,1975,2
271,Canada,Lao People's Dem. Rep.,1975,17
272,Canada,Poland,1975,14
273,Canada,Romania,1975,127
274,Canada,Russian Federation,1975,515
275,Canada,Serbia and Kosovo: S/RES/1244 (1999),1975,24
276,Canada,Uganda,1975,31
277,Canada,United Rep. of Tanzania,1975,1
278,Canada,Various/unknown,1975,93
279,Canada,Viet Nam,1975,3262
282,Canada,Angola,1976,492
283,Canada,Argentina,1976,29
284,Canada,Bulgaria,1976,25
285,Canada,Cambodia,1976,238
286,Canada,Chile,1976,1367
287,Canada,Czech Rep.,1976,27
288,Canada,Hungary,1976,59
289,Canada,India,1976,4
290,Canada,Iraq,1976,97
291,Canada,Kenya,1976,1
292,Canada,Lao People's Dem. Rep.,1976,28
293,Canada,Mozambique,1976,179
294,Canada,Poland,1976,39
295,Canada,Romania,1976,107
296,Canada,Russian Federation,1976,469
297,Canada,Serbia and Kosovo: S/RES/1244 (1999),1976,13
298,Canada,Uganda,1976,3
299,Canada,Various/unknown,1976,95
300,Canada,Viet Nam,1976,2309
306,Canada,Angola,1977,549
307,Canada,Argentina,1977,68
308,Canada,Bulgaria,1977,28
309,Canada,Cambodia,1977,54
310,Canada,Chile,1977,1114
311,Canada,Czech Rep.,1977,56
312,Canada,Hungary,1977,98
313,Canada,India,1977,7
314,Canada,Iraq,1977,66
315,Canada,Lao People's Dem. Rep.,1977,27
316,Canada,Mozambique,1977,177
317,Canada,Poland,1977,71
318,Canada,Romania,1977,118
319,Canada,Russian Federation,1977,256
320,Canada,Serbia and Kosovo: S/RES/1244 (1999),1977,15
321,Canada,Uganda,1977,14
322,Canada,United Rep. of Tanzania,1977,1
323,Canada,Various/unknown,1977,117
324,Canada,Viet Nam,1977,786
327,Canada,Angola,1978,184
328,Canada,Argentina,1978,144
329,Canada,Bulgaria,1978,6
330,Canada,Cambodia,1978,47
331,Canada,Chile,1978,573
332,Canada,Czech Rep.,1978,74
333,Canada,Hungary,1978,57
334,Canada,India,1978,2
335,Canada,Iraq,1978,15
336,Canada,Lao People's Dem. Rep.,1978,121
337,Canada,Mozambique,1978,84
338,Canada,Poland,1978,144
339,Canada,Romania,1978,96
340,Canada,Russian Federation,1978,131
341,Canada,Serbia and Kosovo: S/RES/1244 (1999),1978,2
342,Canada,Uganda,1978,6
343,Canada,United Rep. of Tanzania,1978,1
344,Canada,Various/unknown,1978,257
345,Canada,Viet Nam,1978,955
352,Canada,Cambodia,1979,981
353,Canada,Chile,1979,152
354,Canada,Czech Rep.,1979,286
355,Canada,Ethiopia,1979,23
356,Canada,Hungary,1979,191
357,Canada,Iraq,1979,8
358,Canada,Lao People's Dem. Rep.,1979,3929
359,Canada,Poland,1979,259
360,Canada,Romania,1979,267
361,Canada,Russian Federation,1979,1140
362,Canada,Serbia and Kosovo: S/RES/1244 (1999),1979,4
363,Canada,Sudan,1979,1
364,Canada,Uganda,1979,2
365,Canada,Various/unknown,1979,657
366,Canada,Viet Nam,1979,19764
372,Canada,Afghanistan,1980,6
373,Canada,Cambodia,1980,3270
374,Canada,Chile,1980,120
375,Canada,Czech Rep.,1980,1016
376,Canada,Ethiopia,1980,52
377,Canada,Hungary,1980,296
378,Canada,Iran (Islamic Rep. of),1980,11
379,Canada,Iraq,1980,4
380,Canada,Lao People's Dem. Rep.,1980,6304
381,Canada,Poland,1980,475
382,Canada,Romania,1980,306
383,Canada,Russian Federation,1980,1915
384,Canada,Serbia and Kosovo: S/RES/1244 (1999),1980,2
385,Canada,Somalia,1980,1
386,Canada,Sudan,1980,8
387,Canada,Uganda,1980,2
388,Canada,Various/unknown,1980,1165
389,Canada,Viet Nam,1980,25319
410,Canada,Afghanistan,1981,26
411,Canada,Cambodia,1981,1300
412,Canada,Chile,1981,62
413,Canada,Czech Rep.,1981,969
414,Canada,El Salvador,1981,23
415,Canada,Ethiopia,1981,48
416,Canada,Hungary,1981,359
417,Canada,Iran (Islamic Rep. of),1981,7
418,Canada,Iraq,1981,6
419,Canada,Lao People's Dem. Rep.,1981,855
420,Canada,Nicaragua,1981,1
421,Canada,Poland,1981,2588
422,Canada,Romania,1981,444
423,Canada,Russian Federation,1981,713
424,Canada,Somalia,1981,2
425,Canada,Sudan,1981,3
426,Canada,Uganda,1981,4
427,Canada,Various/unknown,1981,601
428,Canada,Viet Nam,1981,6605
451,Canada,Afghanistan,1982,61
452,Canada,Cambodia,1982,1346
453,Canada,Chile,1982,69
454,Canada,Czech Rep.,1982,750
455,Canada,El Salvador,1982,203
456,Canada,Ethiopia,1982,132
457,Canada,Guatemala,1982,7
458,Canada,Hungary,1982,353
459,Canada,Iran (Islamic Rep. of),1982,279
460,Canada,Iraq,1982,2
461,Canada,Lao People's Dem. Rep.,1982,356
462,Canada,Nicaragua,1982,1
463,Canada,Poland,1982,6949
464,Canada,Romania,1982,504
465,Canada,Russian Federation,1982,171
466,Canada,Serbia and Kosovo: S/RES/1244 (1999),1982,3
467,Canada,Somalia,1982,2
468,Canada,Sudan,1982,32
469,Canada,Uganda,1982,18
470,Canada,Various/unknown,1982,1284
471,Canada,Viet Nam,1982,3774
518,Canada,Afghanistan,1983,69
519,Canada,Cambodia,1983,1521
520,Canada,Chile,1983,91
521,Canada,Czech Rep.,1983,1109
522,Canada,El Salvador,1983,1720
523,Canada,Ethiopia,1983,430
524,Canada,Guatemala,1983,107
525,Canada,Hungary,1983,361
526,Canada,Iran (Islamic Rep. of),1983,536
527,Canada,Iraq,1983,236
528,Canada,Lao People's Dem. Rep.,1983,429
529,Canada,Nicaragua,1983,30
530,Canada,Poland,1983,2083
531,Canada,Romania,1983,491
532,Canada,Russian Federation,1983,98
533,Canada,Serbia and Kosovo: S/RES/1244 (1999),1983,53
534,Canada,Somalia,1983,7
535,Canada,Sudan,1983,69
536,Canada,Uganda,1983,80
537,Canada,Various/unknown,1983,859
538,Canada,Viet Nam,1983,3066
579,Canada,Afghanistan,1984,80
580,Canada,Cambodia,1984,1519
581,Canada,Chile,1984,81
582,Canada,Czech Rep.,1984,754
583,Canada,El Salvador,1984,1996
584,Canada,Ethiopia,1984,685
585,Canada,Guatemala,1984,241
586,Canada,Hungary,1984,269
587,Canada,Iran (Islamic Rep. of),1984,611
588,Canada,Iraq,1984,404
589,Canada,Lao People's Dem. Rep.,1984,871
590,Canada,Nicaragua,1984,76
591,Canada,Poland,1984,2107
592,Canada,Romania,1984,340
593,Canada,Russian Federation,1984,23
594,Canada,Serbia and Kosovo: S/RES/1244 (1999),1984,2
595,Canada,Somalia,1984,12
596,Canada,Sudan,1984,32
597,Canada,Uganda,1984,111
598,Canada,Various/unknown,1984,901
599,Canada,Viet Nam,1984,3475
649,Canada,Afghanistan,1985,195
650,Canada,Cambodia,1985,1617
651,Canada,Chile,1985,83
652,Canada,Czech Rep.,1985,748
653,Canada,El Salvador,1985,2393
654,Canada,Ethiopia,1985,695
655,Canada,Guatemala,1985,445
656,Canada,Hungary,1985,507
657,Canada,Iran (Islamic Rep. of),1985,511
658,Canada,Iraq,1985,247
659,Canada,Lao People's Dem. Rep.,1985,358
660,Canada,Nicaragua,1985,439
661,Canada,Poland,1985,2197
662,Canada,Romania,1985,327
663,Canada,Russian Federation,1985,37
664,Canada,Serbia and Kosovo: S/RES/1244 (1999),1985,5
665,Canada,Somalia,1985,19
666,Canada,Sudan,1985,19
667,Canada,Uganda,1985,108
668,Canada,Various/unknown,1985,386
669,Canada,Viet Nam,1985,4307
720,Canada,Afghanistan,1986,302
721,Canada,Cambodia,1986,1671
722,Canada,Chile,1986,100
723,Canada,Czech Rep.,1986,693
724,Canada,El Salvador,1986,2329
725,Canada,Ethiopia,1986,907
726,Canada,Guatemala,1986,667
727,Canada,Hungary,1986,554
728,Canada,Iran (Islamic Rep. of),1986,509
729,Canada,Iraq,1986,132
730,Canada,Lao People's Dem. Rep.,1986,617
731,Canada,Nicaragua,1986,622
732,Canada,Poland,1986,3596
733,Canada,Romania,1986,445
734,Canada,Russian Federation,1986,38
735,Canada,Somalia,1986,24
736,Canada,Sudan,1986,19
737,Canada,Uganda,1986,49
738,Canada,Various/unknown,1986,503
739,Canada,Viet Nam,1986,3913
798,Canada,Afghanistan,1987,641
799,Canada,Cambodia,1987,1558
800,Canada,Chile,1987,178
801,Canada,Czech Rep.,1987,760
802,Canada,El Salvador,1987,2279
803,Canada,Ethiopia,1987,859
804,Canada,Guatemala,1987,512
805,Canada,Iran (Islamic Rep. of),1987,738
806,Canada,Iraq,1987,115
807,Canada,Lao People's Dem. Rep.,1987,440
808,Canada,Nicaragua,1987,949
809,Canada,Poland,1987,4513
810,Canada,Romania,1987,831
811,Canada,Russian Federation,1987,104
812,Canada,Serbia and Kosovo: S/RES/1244 (1999),1987,5
813,Canada,Somalia,1987,16
814,Canada,Sudan,1987,77
815,Canada,Uganda,1987,68
816,Canada,Various/unknown,1987,811
817,Canada,Viet Nam,1987,4065
878,Canada,Afghanistan,1988,940
879,Canada,Cambodia,1988,1515
880,Canada,Chile,1988,100
881,Canada,Czech Rep.,1988,724
882,Canada,El Salvador,1988,2052
883,Canada,Ethiopia,1988,1398
884,Canada,Guatemala,1988,373
885,Canada,Iran (Islamic Rep. of),1988,1911
886,Canada,Iraq,1988,430
887,Canada,Lao People's Dem. Rep.,1988,831
888,Canada,Nicaragua,1988,852
889,Canada,Poland,1988,6791
890,Canada,Romania,1988,736
891,Canada,Russian Federation,1988,351
892,Canada,Serbia and Kosovo: S/RES/1244 (1999),1988,5
893,Canada,Somalia,1988,44
894,Canada,Sudan,1988,36
895,Canada,Uganda,1988,118
896,Canada,Various/unknown,1988,1021
897,Canada,Viet Nam,1988,4751
954,Canada,Afghanistan,1989,974
955,Canada,Cambodia,1989,2014
956,Canada,Chile,1989,68
957,Canada,Czech Rep.,1989,835
958,Canada,El Salvador,1989,2221
959,Canada,Ethiopia,1989,2031
960,Canada,Guatemala,1989,440
961,Canada,Iran (Islamic Rep. of),1989,1854
962,Canada,Iraq,1989,781
963,Canada,Lao People's Dem. Rep.,1989,652
964,Canada,Nicaragua,1989,554
965,Canada,Poland,1989,12489
966,Canada,Romania,1989,814
967,Canada,Russian Federation,1989,984
968,Canada,Serbia and Kosovo: S/RES/1244 (1999),1989,10
969,Canada,Somalia,1989,97
970,Canada,Sudan,1989,85
971,Canada,Uganda,1989,88
972,Canada,Various/unknown,1989,1221
973,Canada,Viet Nam,1989,6446
1022,Canada,Afghanistan,1990,936
1023,Canada,Albania,1990,3
1024,Canada,Algeria,1990,47
1025,Canada,Angola,1990,11
1026,Canada,Argentina,1990,10
1027,Canada,Australia,1990,1
1028,Canada,Austria,1990,26
1029,Canada,Bahrain,1990,5
1030,Canada,Bangladesh,1990,36
1031,Canada,Barbados,1990,1
1032,Canada,Bolivia (Plurinational State of),1990,6
1033,Canada,Botswana,1990,1
1034,Canada,Brazil,1990,1
1035,Canada,Bulgaria,1990,137
1036,Canada,Burundi,1990,29
1037,Canada,Côte d'Ivoire,1990,1
1038,Canada,Cambodia,1990,721
1039,Canada,Cameroon,1990,1
1040,Canada,Central African Rep.,1990,1
1041,Canada,Chad,1990,9
1042,Canada,Chile,1990,372
1043,Canada,China,1990,75
1044,Canada,"China, Hong Kong SAR",1990,62
1045,Canada,Colombia,1990,12
1046,Canada,Comoros,1990,2
1047,Canada,Congo,1990,5
1048,Canada,Costa Rica,1990,23
1049,Canada,Cuba,1990,6
1050,Canada,Cyprus,1990,2
1051,Canada,Czech Rep.,1990,1142
1052,Canada,Dem. People's Rep. of Korea,1990,1
1053,Canada,Dem. Rep. of the Congo,1990,41
1054,Canada,Djibouti,1990,7
1055,Canada,Ecuador,1990,5
1056,Canada,Egypt,1990,15
1057,Canada,El Salvador,1990,2648
1058,Canada,Eritrea,1990,1
1059,Canada,Estonia,1990,5
1060,Canada,Ethiopia,1990,2122
1061,Canada,Fiji,1990,2
1062,Canada,France,1990,10
1063,Canada,Gambia,1990,1
1064,Canada,Germany,1990,181
1065,Canada,Ghana,1990,46
1066,Canada,Greece,1990,9
1067,Canada,Guatemala,1990,511
1068,Canada,Guinea,1990,1
1069,Canada,Guyana,1990,5
1070,Canada,Haiti,1990,15
1071,Canada,Honduras,1990,136
1072,Canada,Hungary,1990,507
1073,Canada,India,1990,26
1074,Canada,Iran (Islamic Rep. of),1990,1549
1075,Canada,Iraq,1990,486
1076,Canada,Ireland,1990,1
1077,Canada,Israel,1990,11
1078,Canada,Italy,1990,31
1079,Canada,Japan,1990,4
1080,Canada,Jordan,1990,3
1081,Canada,Kenya,1990,31
1082,Canada,Kuwait,1990,34
1083,Canada,Lao People's Dem. Rep.,1990,572
1084,Canada,Latvia,1990,7
1085,Canada,Lebanon,1990,442
1086,Canada,Liberia,1990,5
1087,Canada,Libya,1990,9
1088,Canada,Lithuania,1990,1
1089,Canada,Malawi,1990,2
1090,Canada,Malaysia,1990,5
1091,Canada,Mali,1990,1
1092,Canada,Malta,1990,1
1093,Canada,Mexico,1990,15
1094,Canada,Morocco,1990,13
1095,Canada,Mozambique,1990,1
1096,Canada,Myanmar,1990,13
1097,Canada,Nicaragua,1990,398
1098,Canada,Nigeria,1990,8
1099,Canada,Norway,1990,1
1100,Canada,Pakistan,1990,89
1101,Canada,Panama,1990,34
1102,Canada,Paraguay,1990,2
1103,Canada,Peru,1990,18
1104,Canada,Philippines,1990,10
1105,Canada,Poland,1990,12052
1106,Canada,Portugal,1990,3
1107,Canada,Qatar,1990,17
1108,Canada,Romania,1990,1000
1109,Canada,Russian Federation,1990,1190
1110,Canada,Rwanda,1990,26
1111,Canada,Saint Vincent and the Grenadines,1990,1
1112,Canada,Samoa,1990,1
1113,Canada,Saudi Arabia,1990,57
1114,Canada,Senegal,1990,2
1115,Canada,Serbia and Kosovo: S/RES/1244 (1999),1990,15
1116,Canada,Seychelles,1990,28
1117,Canada,Singapore,1990,1
1118,Canada,Slovakia,1990,2
1119,Canada,Somalia,1990,946
1120,Canada,South Africa,1990,35
1121,Canada,Spain,1990,20
1122,Canada,Sri Lanka,1990,624
1123,Canada,Sudan,1990,183
1124,Canada,Swaziland,1990,7
1125,Canada,Switzerland,1990,1
1126,Canada,Syrian Arab Rep.,1990,49
1127,Canada,Thailand,1990,20
1128,Canada,Togo,1990,2
1129,Canada,Trinidad and Tobago,1990,2
1130,Canada,Tunisia,1990,16
1131,Canada,Turkey,1990,21
1132,Canada,Uganda,1990,70
1133,Canada,United Arab Emirates,1990,46
1134,Canada,United Kingdom of Great Britain and Northern Ireland,1990,50
1135,Canada,United Rep. of Tanzania,1990,2
1136,Canada,United States of America,1990,127
1137,Canada,Uruguay,1990,3
1138,Canada,Various/unknown,1990,278
1139,Canada,Venezuela (Bolivarian Republic of),1990,1
1140,Canada,Viet Nam,1990,5393
1141,Canada,Yemen,1990,8
1142,Canada,Zambia,1990,3
1143,Canada,Zimbabwe,1990,6
1209,Canada,Afghanistan,1991,1040
1210,Canada,Albania,1991,65
1211,Canada,Algeria,1991,4
1212,Canada,Angola,1991,10
1213,Canada,Argentina,1991,7
1214,Canada,Austria,1991,6
1215,Canada,Bahrain,1991,6
1216,Canada,Bangladesh,1991,11
1217,Canada,Barbados,1991,1
1218,Canada,Belgium,1991,2
1219,Canada,Belize,1991,5
1220,Canada,Benin,1991,5
1221,Canada,Bolivia (Plurinational State of),1991,7
1222,Canada,Botswana,1991,1
1223,Canada,Brazil,1991,3
1224,Canada,Bulgaria,1991,89
1225,Canada,Burkina Faso,1991,1
1226,Canada,Burundi,1991,21
1227,Canada,Côte d'Ivoire,1991,1
1228,Canada,Cambodia,1991,334
1229,Canada,Cameroon,1991,1
1230,Canada,Central African Rep.,1991,1
1231,Canada,Chile,1991,148
1232,Canada,China,1991,82
1233,Canada,"China, Hong Kong SAR",1991,106
1234,Canada,Colombia,1991,2
1235,Canada,Congo,1991,3
1236,Canada,Costa Rica,1991,76
1237,Canada,Cuba,1991,5
1238,Canada,Cyprus,1991,2
1239,Canada,Czech Rep.,1991,254
1240,Canada,Dem. Rep. of the Congo,1991,41
1241,Canada,Denmark,1991,2
1242,Canada,Djibouti,1991,11
1243,Canada,Ecuador,1991,2
1244,Canada,Egypt,1991,12
1245,Canada,El Salvador,1991,2427
1246,Canada,Estonia,1991,14
1247,Canada,Ethiopia,1991,1792
1248,Canada,France,1991,2
1249,Canada,Gabon,1991,3
1250,Canada,Germany,1991,126
1251,Canada,Ghana,1991,41
1252,Canada,Greece,1991,3
1253,Canada,Guatemala,1991,535
1254,Canada,Guinea,1991,1
1255,Canada,Guyana,1991,10
1256,Canada,Haiti,1991,5
1257,Canada,Honduras,1991,65
1258,Canada,Hungary,1991,315
1259,Canada,India,1991,15
1260,Canada,Indonesia,1991,2
1261,Canada,Iran (Islamic Rep. of),1991,1083
1262,Canada,Iraq,1991,271
1263,Canada,Israel,1991,6
1264,Canada,Italy,1991,20
1265,Canada,Japan,1991,1
1266,Canada,Jordan,1991,3
1267,Canada,Kenya,1991,25
1268,Canada,Kuwait,1991,12
1269,Canada,Lao People's Dem. Rep.,1991,969
1270,Canada,Lebanon,1991,250
1271,Canada,Liberia,1991,4
1272,Canada,Libya,1991,1
1273,Canada,Lithuania,1991,6
1274,Canada,Malawi,1991,2
1275,Canada,Malaysia,1991,4
1276,Canada,Mali,1991,1
1277,Canada,Mexico,1991,29
1278,Canada,Morocco,1991,9
1279,Canada,Mozambique,1991,10
1280,Canada,Myanmar,1991,9
1281,Canada,Netherlands,1991,2
1282,Canada,Nicaragua,1991,145
1283,Canada,Nigeria,1991,13
1284,Canada,Norway,1991,1
1285,Canada,Oman,1991,1
1286,Canada,Pakistan,1991,180
1287,Canada,Panama,1991,7
1288,Canada,Peru,1991,8
1289,Canada,Philippines,1991,9
1290,Canada,Poland,1991,9999
1291,Canada,Portugal,1991,11
1292,Canada,Qatar,1991,11
1293,Canada,Romania,1991,390
1294,Canada,Russian Federation,1991,640
1295,Canada,Rwanda,1991,26
1296,Canada,Sao Tome and Principe,1991,1
1297,Canada,Saudi Arabia,1991,22
1298,Canada,Senegal,1991,2
1299,Canada,Serbia and Kosovo: S/RES/1244 (1999),1991,11
1300,Canada,Seychelles,1991,6
1301,Canada,Sierra Leone,1991,1
1302,Canada,Singapore,1991,2
1303,Canada,Somalia,1991,775
1304,Canada,South Africa,1991,9
1305,Canada,Spain,1991,8
1306,Canada,Sri Lanka,1991,369
1307,Canada,Sudan,1991,184
1308,Canada,Swaziland,1991,1
1309,Canada,Switzerland,1991,4
1310,Canada,Syrian Arab Rep.,1991,16
1311,Canada,Thailand,1991,35
1312,Canada,Togo,1991,3
1313,Canada,Trinidad and Tobago,1991,1
1314,Canada,Tunisia,1991,13
1315,Canada,Turkey,1991,35
