Importer,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Exporter
South Korea,160,256,266,255,158,346,412,236,212,284,255,254,131,203,270,623,564,125,345,494,76,240,368,253,431,619,539,1170,355,1325,877,855,645,428,471,638,742,721,1132,1602,986,784,682,599,698,1732,1624,888,1179,1199,935,463,268,593,873,619,1359,1234,1121,209,1220,1490,989,107,346,192,501,USA
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,USA
South Vietnam,,,,,0,6,45,8,15,20,44,111,165,131,80,143,182,253,270,553,640,955,2132,604,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Spain,1,,,20,76,178,241,252,126,281,181,80,46,4,32,344,211,250,106,148,206,409,565,769,471,617,484,56,243,241,167,230,176,92,73,114,873,984,1715,575,573,79,158,244,678,219,267,133,21,219,166,70,220,186,164,5,81,22,18,50,7,40,116,64,40,50,2,USA
Sri Lanka,,,,,,,,,,,,,,,0,,,,,2,,3,2,,,,0,,,,0,,,,9,39,20,15,,,15,,,,,,,36,6,,10,,9,3,13,,,2,,,,10,,,,,,USA
Sudan,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,168,,,38,71,3,33,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,USA
Sweden,,8,15,,,,,11,13,15,11,1,11,51,70,29,25,77,95,70,35,10,70,75,75,103,75,100,105,86,78,207,45,122,33,37,85,102,49,51,42,31,15,17,26,53,52,69,150,65,68,33,26,26,26,58,56,24,9,2,,150,185,16,1,5,9,USA
Switzerland,,,1,,,,0,2,,,,,,17,78,81,81,31,43,20,62,84,59,34,9,66,66,,199,199,254,277,125,236,205,145,,11,36,19,13,141,20,41,114,93,187,377,431,502,4,4,3,,18,,,2,1,2,30,16,5,2,1,1,1,USA
Syria,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Taiwan (ROC),,98,304,383,336,591,256,371,721,984,428,108,137,320,347,464,321,473,295,568,582,347,245,329,363,330,465,786,768,530,462,666,680,606,314,529,652,111,193,196,226,511,399,1118,843,1308,815,2955,2238,1699,553,345,298,111,314,641,503,12,11,,37,138,425,553,1081,638,120,USA
Tanzania,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Thailand,30,89,61,42,23,34,10,90,15,10,28,57,111,103,83,89,109,151,56,132,213,227,199,233,88,32,31,46,269,46,206,254,37,88,108,109,107,217,360,181,208,282,32,135,208,154,449,386,36,45,25,13,146,126,37,17,5,,,4,1,50,21,54,32,27,46,USA
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,USA
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,USA
Trinidad and Tobago,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,6,,,,,,0,,,,,,,,,,,,,3,0,2,,,,,6,,,,12,12,,,,,USA
Tunisia,,,,,,,,,,,5,,,,,6,,,11,17,,,4,22,8,,10,,10,44,23,14,20,76,106,80,,56,17,47,,,8,,,18,23,25,18,10,,,83,1,,,2,,3,,7,7,,38,39,7,20,USA
Turkey,104,124,317,508,397,254,198,534,576,501,579,312,241,542,713,401,234,369,291,540,239,501,608,722,724,843,231,196,739,749,185,231,141,74,93,274,144,827,522,617,856,917,1680,1928,1358,712,630,1159,1615,1127,520,138,448,232,129,290,5,25,49,21,11,331,1009,355,1116,318,192,USA
UAE,,,,,,,,,,,,,,,,,,,,,,0,1,5,7,56,,13,,,,101,,29,61,5,99,158,22,6,6,,,92,213,26,154,6,21,15,15,19,18,36,380,1259,994,472,677,394,153,863,923,1063,542,814,773,USA
Uganda,,,,,,,,,,,,,,,,,0,,,3,,3,17,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,USA
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,USA
UNITA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
United Kingdom,105,246,531,1586,507,185,126,74,539,543,29,23,25,126,87,105,161,1376,2246,2483,,111,155,162,162,161,75,124,133,142,430,758,707,243,588,272,163,121,142,95,75,830,1083,771,413,492,490,484,514,98,814,1253,381,425,165,15,109,302,419,270,311,201,390,331,191,373,217,USA
United Nations**,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,3,0,,USA
Unknown recipient(s),,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,11,11,14,,3,3,,4,,,,,,,,,,,,3,,,,0,0,,USA
Uruguay,68,3,47,3,0,1,21,17,3,0,17,1,,0,2,8,6,,10,8,11,16,24,6,5,,40,2,,2,10,11,9,,,,,,16,5,5,7,,18,9,,,,11,,,,,,,,,,,,,,,,,,,USA
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,USA
Venezuela,,,20,1,13,23,52,135,26,7,50,,27,19,0,,16,4,,7,11,129,106,203,8,78,7,44,55,8,21,59,54,137,28,395,15,,66,1,1,71,,,1,,2,,,20,,5,11,15,,,,,,,,,,,,6,,USA
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,12,,4,,11,,USA
Yugoslavia,,63,374,525,531,334,231,331,112,177,171,61,,,,,,,,,,,,,,3,3,,,,,,,30,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Zimbabwe,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,USA
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,59,50,30,,,,,Italy
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,,,,,,,,,,Italy
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14,28,,48,190,30,39,Italy
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Italy
Argentina,5,,,,,,,,,,,,,,,,,,,14,5,19,19,,5,,6,47,13,23,64,13,13,87,68,18,16,37,31,3,10,,,,,2,2,,6,6,9,,,,8,,,,,,,,,,,,4,Italy
Australia,,,,,,,,,,,9,,,,,,,,42,38,42,46,36,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,115,58,58,115,,,,,6,,,,,,,,80,80,Italy
Austria,,,,,,,,2,0,,,,,11,11,13,11,11,,6,3,,,,,,,,,15,74,,24,37,,,,,,,,,,,,,,,,,,,,,,,,25,,1,5,6,6,5,,,13,Italy
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,Italy
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,11,14,14,,,,,,,,,,,,,,,,,,,,,,,,8,11,,,,16,,,,,6,4,12,,12,38,Italy
Belgium,,,,,,,,,,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,24,30,4,,,,,,,,,,,,,29,38,,,,,,,,,Italy
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Brazil,,,,,,,,,,,,,,,,,,,,,,12,49,52,52,52,35,44,51,33,7,,24,47,56,,12,,5,7,5,2,2,,2,8,,5,,,,24,29,15,38,28,6,6,17,7,7,6,5,6,47,25,18,Italy
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,16,16,,,16,,,,,,Italy
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Italy
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Canada,,,,,,,,,,,,,,,,,,,,20,,,22,7,,,,,,,,,,,,,,,,,,3,3,,5,,,,,,,25,100,63,,,,,,,,,,,,,,Italy
Central African Republic,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,Italy
Chile,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,18,16,45,45,48,11,,,,,,1,Italy
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,4,,,Italy
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,,,Italy
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,16,,,,,,,18,,,,,,Italy
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,19,19,4,13,13,,3,,2,3,5,5,,,,Italy
Denmark,,,,,,90,45,45,1,,,,,,,,,,,,,,,,,,5,13,8,,7,7,7,,,,,,,,,5,5,,,,,,12,,,,,,,,,,,,,,,,,,,Italy
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,Italy
DR Congo,,,,,,,,,,,,,,,2,3,,,,24,16,3,,,,,,,,13,8,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,94,264,179,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,Italy
Egypt,41,17,,,,38,,,,,,,,,,,,,,,,,,,,12,13,,,,,35,270,13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,,8,,Italy
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,20,,,,,,,,,,,,,,,,,Italy
Ethiopia,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Finland,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,5,,,,,,,,,,,,,7,7,14,62,62,7,7,48,Italy
France,,,,,7,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,38,,,,,,,,,,,,,,,,60,16,,3,,,3,3,Italy
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Germany (FRG),,,,,,,,23,36,,73,223,223,172,335,184,82,22,20,,,46,10,23,33,35,5,,,,,,8,18,15,,,,,3,3,,,5,3,3,5,,,,,,,,6,3,,25,6,,,,7,8,,,,Italy
Ghana,,,,,,,,,,,,,,,,,15,,,,,,4,,,,,,16,,,5,,,,,,10,,,,,,,10,,7,5,,,,,,,,,,,,,,,,,,,,Italy
Greece,,100,,,,,,,,,,,,,,,8,,,26,29,,,42,,39,,15,57,85,20,82,77,50,64,0,4,5,5,,,,,,,8,,,,,,,,140,16,47,22,79,15,,3,,3,,,,,Italy
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,,,,13,13,13,,,,,,,,,,Italy
India,,,,,4,,,,,,,,,,,,,,,,,36,,,,,,,3,3,4,4,4,4,4,4,4,4,3,,,,,,,,3,3,,3,12,9,9,9,18,15,4,5,3,,12,306,12,6,11,6,3,Italy
Indonesia,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,16,4,4,,,,,8,,,Italy
Iran,,,,,,,,,,,,,,,,,,5,,36,36,41,42,2,82,173,156,120,271,163,44,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,50,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,Italy
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,,,,,,,,,,,,,,,,,,,,3,,3,,,,,12,12,12,,,,,,3,3,3,Italy
Israel,,,24,,,,,,,,,,,,,,,,,,,,,15,15,22,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,111,68,Italy
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,8,8,8,5,5,3,13,10,8,,72,,39,8,5,8,5,8,3,10,16,10,5,5,,,,,,,,,,,Italy
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,Italy
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,Italy
Kuwait,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,4,11,11,11,,,,,11,11,,,,,,,,,,,5,5,9,9,9,9,,,,Italy
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,Italy
Lebanon,5,,,,,0,,,,,,,,,,,,,,,,,,11,11,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,Italy
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Libya,,,,,,,,,,,,,,,,,,,,,,2,,,7,,120,14,20,95,272,259,174,230,152,92,3,,,,,,,,,,,,,,,,,,,,3,3,,28,11,6,,1,,,,Italy
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,16,,,,,,,,Italy
Macedonia (FYROM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Italy
Malaysia,,,,,,,,,,,,,,,,,,,,,14,18,14,,,,,,,,,,,31,31,225,,,,,,,,,,,,160,35,165,18,,8,13,19,6,39,,,113,15,,,,,,,Italy
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,18,,,,,,,,,12,,6,Italy
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,Italy
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,4,4,,10,,,,,,,,21,53,,,,,Italy
Morocco,,,,,,,,,,,,,,,,,,,,26,26,0,,,36,32,35,21,6,60,30,5,50,15,,,,,,,,,,,,,,,,,,,,,,,,,,,32,43,13,8,10,,,Italy
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,6,,,,,,,,,,Italy
Netherlands,,,,,,,45,,,,,,4,13,,,,,,,,,,,,,,,8,8,8,8,5,5,3,3,,,,,,5,3,10,15,3,,,,,,,3,3,3,3,,,,,40,27,27,54,7,35,27,Italy
New Zealand,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,,,,,,,,,,,,,,,,,,11,11,,,,,Italy
Nigeria,,,,,,,,,,,,,,,,45,45,,,,,,,,,,,,,,22,23,56,6,59,88,20,48,48,,,,12,3,3,,,,,,,8,,8,11,,6,22,,30,24,6,6,,,,,Italy
North Yemen,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Norway,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,5,4,9,5,12,10,13,14,12,7,7,Italy
Oman,,,,,,,,,,,,,,,,,,,,,,24,,,13,13,,,,,,,5,5,5,3,,,,5,,,,,,,3,3,,,,9,,,,,,,,,14,7,,6,3,6,6,Italy
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,7,,,,,,,,,,,3,30,15,,,,,,,,5,6,10,40,50,49,42,,,3,2,50,60,57,91,,12,12,Italy
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,Italy
Peru,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,6,132,513,18,54,54,3,266,47,3,265,22,,3,30,,,,,,,7,,,,,,,343,172,172,,,,,,10,10,48,,Italy
Philippines,,,,,,,,,,,,,,,,,,,,,,,,6,5,14,14,14,14,,,,,,,,,,,4,16,16,,2,19,,,,,,,,,,,,,,,,1,3,,8,,28,,Italy
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,4,3,3,,2,14,28,28,14,21,28,,28,28,28,38,34,Italy
Portugal,,,,,,,,48,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,125,13,,,,,25,9,9,,,,Italy
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,6,30,48,12,,,,,Italy
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,32,32,16,16,,16,,Italy
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,45,,,Italy
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Saudi Arabia,,,,,,,,,,,,,,,,,,,35,35,,,,,,,9,,,,5,50,38,76,44,15,,,,,,,,,,,,,,,,,83,,6,,,15,15,15,,,1,,,89,65,Italy
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Singapore,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,1,,4,20,20,16,,,21,21,,,6,6,16,18,64,,,,,,,,,10,18,13,,45,71,51,26,,3,Italy
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,Italy
Somalia,,,,,,,,,,,10,,0,,,,,,4,,,,,,,,,,22,40,24,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Italy
South Africa,,,,,,,,,,,,,,,,,61,47,9,41,21,52,54,69,66,32,39,51,28,32,18,13,20,16,10,,2,,,,,,,,,,,,,,,,,,,11,25,17,17,14,,,,,,,,Italy
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,10,12,17,5,34,24,2,22,114,53,,,45,,,,3,5,5,5,,,,,,,,,,,,,,,,,Italy
Soviet Union,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Spain,,,,,,,8,8,8,8,8,9,9,9,9,17,,,,,,,,4,32,,,30,18,51,53,43,3,3,,,3,59,70,70,15,9,9,21,48,6,24,1,21,21,7,32,14,3,21,61,50,54,38,,8,4,3,,,,,Italy
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Sweden,,,,,,,,,,,,,13,19,8,,10,14,14,14,29,33,,15,5,5,5,,,,,,,,,,,,10,10,,1,,5,20,,,,,,,,,,,,11,22,17,6,,,,,,,,Italy
Syria,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,Italy
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,Italy
Thailand,,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,,,94,47,,1,112,55,,12,24,29,12,,,11,,,73,,,,95,,,5,,,13,13,,,,,,3,9,6,10,50,Italy
Tunisia,,,,,,,,,,,,,,,,17,,,,,,0,,,,3,,31,2,13,48,1,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
Turkey,,,,,,,,,,,,,,,3,,,27,27,13,13,22,28,42,22,22,8,21,3,3,3,,,,51,50,3,57,67,14,1,1,4,4,10,23,37,36,10,5,10,15,15,15,,35,30,,30,5,5,8,170,35,72,32,238,Italy
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,5,8,10,16,Italy
UAE,,,,,,,,,,,,,,,,,,,3,,,,,,0,,17,5,5,5,10,40,24,15,30,22,2,26,11,15,8,14,10,5,5,15,,,,,,,,,,,6,36,,,,3,3,316,20,77,11,Italy
Uganda,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,10,,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
United Kingdom,,,,,,,,,,,,9,9,9,12,12,12,12,12,12,,,,5,9,9,9,5,,,,,,,8,,,2,,,,,,,,,,,200,,,,,,,,,20,33,8,,,,,,,,Italy
United Nations**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Italy
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,13,25,25,30,28,180,10,13,10,10,12,69,64,54,54,109,163,163,54,54,8,14,,,6,,,,16,16,80,80,80,16,48,,,Italy
Unknown recipient(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,Italy
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,Italy
Venezuela,,,,,,,150,150,,,,,,,,,,,10,,,,,18,15,43,,,,5,325,817,587,72,42,85,10,10,20,3,5,24,7,9,,,,,,,13,1,1,,,,,,,3,3,10,3,,,,,Italy
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,,,,,,,,,Italy
Zambia,,,,,,,,,,,,,,,,,,,,7,4,19,20,16,,,14,1,1,,7,20,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,3,,,,3,Italy
Zimbabwe,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,10,,,50,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Italy
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Canada
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,Canada
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,,,,,,Canada
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,,,2,2,,5,,,,,,,,4,,,,,,,,,,,,,,,4,,,,Canada
Argentina,,,,,,,,,,,,,,,0,1,1,,13,10,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Australia,,,,1,,0,,1,,,0,0,,23,23,23,26,,8,4,,4,,,,,,,,,,,,36,,,,3,5,7,11,14,,,8,27,22,,,,,,1,30,38,18,,,,,,,,,,,,Canada
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Belgium,,,,,,,,48,276,24,,,,,,,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,6,,6,,6,,,,,,,,,,,,,Canada
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,5,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,16,53,,,26,,,,,,,,,,,,,3,,,,Canada
