,Award Year,Theme,Funding Org:Name,Recipient Org:Name,Amount Awarded
4525,2004,Sports,The Big Lottery Fund,Acle Youth Club,3575.0
4526,2004,Sports,The Big Lottery Fund,Action for Blind People,11418.0
4527,2004,Sports,The Big Lottery Fund,African Dream Team Football Club,4130.0
4528,2004,Sports,The Big Lottery Fund,African French and Swahili Community,5000.0
4529,2004,Sports,The Big Lottery Fund,African Youth Development Action Project,2284.0
4530,2004,Sports,The Big Lottery Fund,Age Concern Isle of Wight,479430.0
4531,2004,Sports,The Big Lottery Fund,Air Training Corps No 32F 1st Glasgow Squadron Non Public Sports & Welfare Funds,5000.0
4532,2004,Sports,The Big Lottery Fund,Airdrie and District Angling Club,5000.0
4533,2004,Sports,The Big Lottery Fund,Al Hayat Cultural & Welfare Association,3272.0
4534,2004,Sports,The Big Lottery Fund,Alderman Jackson Special School,2000.0
4535,2004,Sports,The Big Lottery Fund,Alexandra High School,4973.0
4536,2004,Sports,The Big Lottery Fund,All Saints Basketball Club,5000.0
4537,2004,Sports,The Big Lottery Fund,All Saints' Catholic High School,1875000.0
4538,2004,Sports,The Big Lottery Fund,All Together Now! Ltd,5000.0
4539,2004,Sports,The Big Lottery Fund,Alnwick Cricket Club,5000.0
4540,2004,Sports,The Big Lottery Fund,Alnwick Pride (Women & Girls) RFC,3200.0
4541,2004,Sports,The Big Lottery Fund,Amersham School,260405.0
4542,2004,Sports,The Big Lottery Fund,Ampney Crucis C of E Primary School,4975.0
4543,2004,Sports,The Big Lottery Fund,Anamar Primary School,57677.0
4544,2004,Sports,The Big Lottery Fund,Andoversford Primary School,2193.0
4545,2004,Sports,The Big Lottery Fund,Angolan Community Association,5000.0
4546,2004,Sports,The Big Lottery Fund,Angus Council,523746.0
4547,2004,Sports,The Big Lottery Fund,Ansford Academy Trust,306829.0
4548,2004,Sports,The Big Lottery Fund,Appleby Grammar School,1033962.0
4549,2004,Sports,The Big Lottery Fund,Argyll and Bute Council,409000.0
4550,2004,Sports,The Big Lottery Fund,Arnold Hill Foundation Trust,94943.0
4551,2004,Sports,The Big Lottery Fund,Arrow Vale Community High School - A Specialist Sports College,245268.0
4552,2004,Sports,The Big Lottery Fund,Ashchurch FC,2549.0
4553,2004,Sports,The Big Lottery Fund,Ashcroft & Ramridge Tenants and Residents Limited,1150.0
4554,2004,Sports,The Big Lottery Fund,Ashcroft High School,55666.0
4555,2004,Sports,The Big Lottery Fund,Ashington Swimming Club,3715.0
4556,2004,Sports,The Big Lottery Fund,Asian Girls Healthy Lifestyle Group,5000.0
4557,2004,Sports,The Big Lottery Fund,Association for Sports Development in London (ASDL),5000.0
4558,2004,Sports,The Big Lottery Fund,Aston Old Edwardians Cricket Club,1238.0
4559,2004,Sports,The Big Lottery Fund,Aviary Residents Association,4718.0
4560,2004,Sports,The Big Lottery Fund,Awaz Utaoh,4900.0
4561,2004,Sports,The Big Lottery Fund,Ayr North Sports Initiative,1310.0
4562,2004,Sports,The Big Lottery Fund,BDCA,5000.0
4563,2004,Sports,The Big Lottery Fund,BF Adventure,3000.0
4564,2004,Sports,The Big Lottery Fund,BNOS Chabad,4700.0
4565,2004,Sports,The Big Lottery Fund,Bacon's CTC,170910.0
4566,2004,Sports,The Big Lottery Fund,Bacup St Saviour's Community Primary school,4000.0
4567,2004,Sports,The Big Lottery Fund,Bala and Penllyn Sports and Recreation Association,2176.0
4568,2004,Sports,The Big Lottery Fund,Ballylifford Primary School,82487.0
4569,2004,Sports,The Big Lottery Fund,Bana Africa Community Project,4621.0
4570,2004,Sports,The Big Lottery Fund,Barnet Trampolining for All,1400.0
4571,2004,Sports,The Big Lottery Fund,Barrhill Youth Club,679.0
4572,2004,Sports,The Big Lottery Fund,Barrow And District Women's Rounders League,1643.0
4573,2004,Sports,The Big Lottery Fund,Bartholomew School,782521.0
4574,2004,Sports,The Big Lottery Fund,Bath and North East Somerset Council,399435.0
4575,2004,Sports,The Big Lottery Fund,Battersea Technology College,3591.0
4576,2004,Sports,The Big Lottery Fund,Battle Table Tennis Club,4927.0
4577,2004,Sports,The Big Lottery Fund,Baverstock School & Specialist Sports College,110674.0
4578,2004,Sports,The Big Lottery Fund,Beaumont Athletic FC,5000.0
4579,2004,Sports,The Big Lottery Fund,Beaumont Primary Parents Staff Association,1308.0
4580,2004,Sports,The Big Lottery Fund,Bebington High Sports College (Wirral LEA),132930.0
4581,2004,Sports,The Big Lottery Fund,Bedford Borough Council,612130.0
4582,2004,Sports,The Big Lottery Fund,Bedfordshire East Schools Trust Limited,266757.0
4583,2004,Sports,The Big Lottery Fund,Beds Garden Carers,5000.0
4584,2004,Sports,The Big Lottery Fund,Beeches Youth and Community Association,3700.0
4585,2004,Sports,The Big Lottery Fund,Beechwood Junior School,592.0
4586,2004,Sports,The Big Lottery Fund,Beethoven's Buddies Castleford,4975.0
4587,2004,Sports,The Big Lottery Fund,Belfast Activity Centre,704580.0
4588,2004,Sports,The Big Lottery Fund,Belfast City Council,1576865.0
4589,2004,Sports,The Big Lottery Fund,Belfast Education and Library Board (BELB),1084578.0
4590,2004,Sports,The Big Lottery Fund,Belle Vue Girls' School,1521004.0
4591,2004,Sports,The Big Lottery Fund,Belmont Bowling Club,4200.0
4592,2004,Sports,The Big Lottery Fund,Bengeo Sports Association,5000.0
4593,2004,Sports,The Big Lottery Fund,Beragh Red Knights GAC,75000.0
4594,2004,Sports,The Big Lottery Fund,Berwick Tennis Club,3300.0
4595,2004,Sports,The Big Lottery Fund,Biddick Academy Trust,1147965.0
4596,2004,Sports,The Big Lottery Fund,Billinghay Gymnastics Club,4940.0
4597,2004,Sports,The Big Lottery Fund,Birch View Tenants & Residents Association,5000.0
4598,2004,Sports,The Big Lottery Fund,Birchills Community Association Limited,4900.0
4599,2004,Sports,The Big Lottery Fund,Birkenhead Park Youth Rugby Football Club,4975.0
4600,2004,Sports,The Big Lottery Fund,Birmingham Basketball Junior Development Club,339.0
4601,2004,Sports,The Big Lottery Fund,Birmingham City Council,6734930.0
4602,2004,Sports,The Big Lottery Fund,Birmingham Netball League,3829.0
4603,2004,Sports,The Big Lottery Fund,Birmingham Pakistan Sports Forum,4975.0
4604,2004,Sports,The Big Lottery Fund,Bishop Challoner Catholic College,94950.0
4605,2004,Sports,The Big Lottery Fund,Bishopshalt School,289400.0
4606,2004,Sports,The Big Lottery Fund,Blackburn Nation Football Club,1800.0
4607,2004,Sports,The Big Lottery Fund,Blackburn Primary School,4760.0
4608,2004,Sports,The Big Lottery Fund,Blackburn with Darwen Borough Council,1187389.0
4609,2004,Sports,The Big Lottery Fund,Blackpool Council,1771719.0
4610,2004,Sports,The Big Lottery Fund,Blackpool and District Badminton Association,3663.0
4611,2004,Sports,The Big Lottery Fund,Blackridge Playgroup,2290.0
4612,2004,Sports,The Big Lottery Fund,Blaenau Gwent County Borough Council,418697.0
4613,2004,Sports,The Big Lottery Fund,Blagdon Nursery School and Childrens Centre,4965.0
4614,2004,Sports,The Big Lottery Fund,Bobbersmill Community Centre,5000.0
4615,2004,Sports,The Big Lottery Fund,Boddington Parish Council,5000.0
4616,2004,Sports,The Big Lottery Fund,Bognor Regis Community School (West Sussex LEA),170540.0
4617,2004,Sports,The Big Lottery Fund,Bolari Community Projects,4730.0
4618,2004,Sports,The Big Lottery Fund,Boldon Colliery Homing Society,5000.0
4619,2004,Sports,The Big Lottery Fund,Bolton & Salford Athletics & Triathlon Development Group,4430.0
4620,2004,Sports,The Big Lottery Fund,Bolton Basketball Development Group,4245.0
4621,2004,Sports,The Big Lottery Fund,Bolton Metropolitan Borough Council,2984823.0
4622,2004,Sports,The Big Lottery Fund,Bolton Sports Federation Tennis League,4983.0
4623,2004,Sports,The Big Lottery Fund,Boot Women,3608.0
4624,2004,Sports,The Big Lottery Fund,Bordesley Green Primary School,4989.0
4625,2004,Sports,The Big Lottery Fund,Borough of Poole,237667.0
4626,2004,Sports,The Big Lottery Fund,Bounce Back Trampoline Club,2860.0
4627,2004,Sports,The Big Lottery Fund,Bournemouth Borough Council,974268.0
4628,2004,Sports,The Big Lottery Fund,Bowes Football Club,2935.0
4629,2004,Sports,The Big Lottery Fund,Bowring Comprehensive School,4944.0
4630,2004,Sports,The Big Lottery Fund,Bowthorpe Centre Association Ltd,4575.0
4631,2004,Sports,The Big Lottery Fund,Boxing and Opportunities for All,5000.0
4632,2004,Sports,The Big Lottery Fund,Bracknell Forest Borough Council,530000.0
4633,2004,Sports,The Big Lottery Fund,Bradford Gymkhana Sports and Social Society,5000.0
4634,2004,Sports,The Big Lottery Fund,Bradford Metropolitan District Council,5834468.0
4635,2004,Sports,The Big Lottery Fund,Bradford Sports Club,5000.0
4636,2004,Sports,The Big Lottery Fund,Brayton Parish Council,5000.0
4637,2004,Sports,The Big Lottery Fund,Breezehill School,5000.0
4638,2004,Sports,The Big Lottery Fund,Brent North Youth Sports Pilot Project,5000.0
4639,2004,Sports,The Big Lottery Fund,Brent Schools Sports Festival Association,4675.0
4640,2004,Sports,The Big Lottery Fund,Bridgemary School,56970.0
4641,2004,Sports,The Big Lottery Fund,Bridgend County Borough Council,1243031.0
4642,2004,Sports,The Big Lottery Fund,Bridlington School Sports College,151920.0
4643,2004,Sports,The Big Lottery Fund,Brierfield Volleyball Club,4800.0
4644,2004,Sports,The Big Lottery Fund,Brierton Community Sports Centre Badminton Club,2560.0
4645,2004,Sports,The Big Lottery Fund,Brighton Hill Community College (Hampshire LEA),184921.0
4646,2004,Sports,The Big Lottery Fund,Brighton and Hove Albion VI Football Club,3400.0
4647,2004,Sports,The Big Lottery Fund,Brighton and Hove City Council,120505.0
4648,2004,Sports,The Big Lottery Fund,Bristol City Council,374987.0
4649,2004,Sports,The Big Lottery Fund,Bristol Somali Youth Association,1662.0
4650,2004,Sports,The Big Lottery Fund,British Wheelchair Sports Foundation Limited,5000.0
4651,2004,Sports,The Big Lottery Fund,Brixham College Academy Trust,237219.0
4652,2004,Sports,The Big Lottery Fund,Brixton Bulls,4570.0
4653,2004,Sports,The Big Lottery Fund,Broadway Primary School,3828.0
4654,2004,Sports,The Big Lottery Fund,Brocklehigh Space for Sports and Arts Community Dance Club,4993.0
4655,2004,Sports,The Big Lottery Fund,Bromley By Bow Community Organisation Limited,5000.0
4656,2004,Sports,The Big Lottery Fund,Brookfield School Academy Trust,1041709.0
4657,2004,Sports,The Big Lottery Fund,Brookvale High School,4458.0
4658,2004,Sports,The Big Lottery Fund,Broom Ladies Hockey Club,4036.0
4659,2004,Sports,The Big Lottery Fund,Broughton Moor Primary School,4117.0
4660,2004,Sports,The Big Lottery Fund,Buckinghamshire County Council,1584328.0
4661,2004,Sports,The Big Lottery Fund,Buersil Youth Group,4986.0
4662,2004,Sports,The Big Lottery Fund,Bungay Youth Association,5000.0
4663,2004,Sports,The Big Lottery Fund,Bunscoil an tSleibhe Dhuibh,805151.0
4664,2004,Sports,The Big Lottery Fund,Burnham Grammer School,400725.0
4665,2004,Sports,The Big Lottery Fund,Burnley Wood Community Action Group,4900.0
4666,2004,Sports,The Big Lottery Fund,Burnside Centre,4486.0
4667,2004,Sports,The Big Lottery Fund,Burnt Ash (Bexley) Hockey Club,2285.0
4668,2004,Sports,The Big Lottery Fund,Burscough Nifty Fifties Sports Club,4895.0
4669,2004,Sports,The Big Lottery Fund,Bury Association of Disability & Inclusive Education in Sport,5000.0
4670,2004,Sports,The Big Lottery Fund,Bury Gateway,4902.0
4671,2004,Sports,The Big Lottery Fund,Bury Metropolitan Borough Council,1645925.0
4672,2004,Sports,The Big Lottery Fund,Buzz Drugs Awareness Campaign,3584.0
4673,2004,Sports,The Big Lottery Fund,CFBT Schools Trust,220000.0
4674,2004,Sports,The Big Lottery Fund,Cabot Learning Federation,123098.0
4675,2004,Sports,The Big Lottery Fund,Cadeby Lane Stepping Stones Sports Group,4944.0
4676,2004,Sports,The Big Lottery Fund,Caerphilly County Borough Council,72336.0
4677,2004,Sports,The Big Lottery Fund,Caistor Netball Club,4978.0
4678,2004,Sports,The Big Lottery Fund,Calderdale Metropolitan Borough Council,1726355.0
4679,2004,Sports,The Big Lottery Fund,Camborne Science and International Academy,301495.0
4680,2004,Sports,The Big Lottery Fund,Cambridgeshire County Council,1627758.0
4681,2004,Sports,The Big Lottery Fund,Campsmount Community Academy Trust,1067880.0
4682,2004,Sports,The Big Lottery Fund,Cams Hill School,180000.0
4683,2004,Sports,The Big Lottery Fund,Canons High School,424494.0
4684,2004,Sports,The Big Lottery Fund,Capall Court Community Association,1937.0
4685,2004,Sports,The Big Lottery Fund,Capital City Academy,91700.0
4686,2004,Sports,The Big Lottery Fund,Cardinals Wheelchair Sports Club,5000.0
4687,2004,Sports,The Big Lottery Fund,Carers UK Newham Branch,2190.0
4688,2004,Sports,The Big Lottery Fund,Carlisle Men's Hockey Club,4948.0
4689,2004,Sports,The Big Lottery Fund,Carlisle United FC Community Sports Trust,5000.0
4690,2004,Sports,The Big Lottery Fund,Carmarthenshire County Council,2397723.0
4691,2004,Sports,The Big Lottery Fund,Carr Junior School,4526.0
4692,2004,Sports,The Big Lottery Fund,Castledawson Primary School,1613.0
4693,2004,Sports,The Big Lottery Fund,Central African Development Action (CADA),5000.0
4694,2004,Sports,The Big Lottery Fund,Central Bedfordshire Council,356277.0
4695,2004,Sports,The Big Lottery Fund,Central Youth Club Limited,5000.0
4696,2004,Sports,The Big Lottery Fund,Centre of Excellence for Disability Archery in Kent,4094.0
4697,2004,Sports,The Big Lottery Fund,Chapelhall Scout Group,3083.0
4698,2004,Sports,The Big Lottery Fund,Charles Darwin Academy Trust,191170.0
4699,2004,Sports,The Big Lottery Fund,Charters School,113934.0
4700,2004,Sports,The Big Lottery Fund,Chase Lane Primary School & Nursery,4652.0
4701,2004,Sports,The Big Lottery Fund,Cheshire East Borough Council,448958.0
4702,2004,Sports,The Big Lottery Fund,Cheshire West and Chester Council,746647.0
4703,2004,Sports,The Big Lottery Fund,Cheslyn Hay Table Tennis Club,4607.0
4704,2004,Sports,The Big Lottery Fund,Chester-Le-Street Cricket Club Juniors,3874.0
4705,2004,Sports,The Big Lottery Fund,Chesterfield High School,328478.0
4706,2004,Sports,The Big Lottery Fund,Chevington Drift Homing Society,5000.0
4707,2004,Sports,The Big Lottery Fund,Chicksand Estate Bangladeshi Sports Association,3592.0
4708,2004,Sports,The Big Lottery Fund,Childhood Foundation,4984.0
4709,2004,Sports,The Big Lottery Fund,Childs Play,4120.0
4710,2004,Sports,The Big Lottery Fund,Childwall School - A Specialist Sports College,151920.0
4711,2004,Sports,The Big Lottery Fund,Christ The King R C Primary School,1189.0
4712,2004,Sports,The Big Lottery Fund,Christ the Redeemer Primary School,86066.0
4713,2004,Sports,The Big Lottery Fund,Christian Brothers' Grammar School,31602.0
4714,2004,Sports,The Big Lottery Fund,Chulmleigh Academy Trust,1710375.0
4715,2004,Sports,The Big Lottery Fund,Church Lad's and Church Girl's Brigade South Battalion,1998.0
4716,2004,Sports,The Big Lottery Fund,Churchill Community College,94950.0
4717,2004,Sports,The Big Lottery Fund,Cirencester Kingshill School Sports College,113938.0
4718,2004,Sports,The Big Lottery Fund,City and County of Swansea,2906624.0
4719,2004,Sports,The Big Lottery Fund,City of Edinburgh Council - Community Education Service,50000.0
4720,2004,Sports,The Big Lottery Fund,City of London Corporation,53000.0
4721,2004,Sports,The Big Lottery Fund,City of York Council,893000.0
4722,2004,Sports,The Big Lottery Fund,Clackmannanshire Council,118645.0
4723,2004,Sports,The Big Lottery Fund,Clacton County High School,100000.0
4724,2004,Sports,The Big Lottery Fund,Clapton Girls' Academy Trust,628918.0
4725,2004,Sports,The Big Lottery Fund,Claremont High School Academy Trust,91565.0
4726,2004,Sports,The Big Lottery Fund,Clayton Brook Community Group,4960.0
4727,2004,Sports,The Big Lottery Fund,Clipstone Youth Club,4929.0
4728,2004,Sports,The Big Lottery Fund,Cloughton Village Fund Committee,9360.0
4729,2004,Sports,The Big Lottery Fund,Coagh Sports Centre,374630.0
4730,2004,Sports,The Big Lottery Fund,Coalville Town Bowls Club,4545.0
4731,2004,Sports,The Big Lottery Fund,Coddenham Rackets Club,1048.0
4732,2004,Sports,The Big Lottery Fund,Colchester Learning Through Sport Partnership,5000.0
4733,2004,Sports,The Big Lottery Fund,Coleshill Parish Council,5000.0
4734,2004,Sports,The Big Lottery Fund,Comberbach Recreation Committee,5000.0
4735,2004,Sports,The Big Lottery Fund,Comberton Village College,151920.0
4736,2004,Sports,The Big Lottery Fund,Comhairle nan Eilean Siar,142109.0
4737,2004,Sports,The Big Lottery Fund,Community Action Project,5000.0
4738,2004,Sports,The Big Lottery Fund,Community Connect Foundation,5000.0
4739,2004,Sports,The Big Lottery Fund,Congolese Girls Union Renovated,5000.0
4740,2004,Sports,The Big Lottery Fund,Coniston Sports and Social Club,4300.0
4741,2004,Sports,The Big Lottery Fund,Coombe Dean School Academy Trust,231895.0
4742,2004,Sports,The Big Lottery Fund,Copleston Sports College,151812.0
4743,2004,Sports,The Big Lottery Fund,Coppull Arts and Activities Group,5000.0
4744,2004,Sports,The Big Lottery Fund,Coram's Fields and Harmsworth Memorial Playground,5000.0
4745,2004,Sports,The Big Lottery Fund,Cornhill Youth Club,4000.0
4746,2004,Sports,The Big Lottery Fund,Cornwall Council,1711937.0
4747,2004,Sports,The Big Lottery Fund,Corpus Christi Church Youth Club,5000.0
4748,2004,Sports,The Big Lottery Fund,Cotgrave Church of England Primary School,4999.0
4749,2004,Sports,The Big Lottery Fund,Counthill School,5000.0
4750,2004,Sports,The Big Lottery Fund,County Council of the City and County of Cardiff,2606951.0
4751,2004,Sports,The Big Lottery Fund,Covenham Water Sports Association,5000.0
4752,2004,Sports,The Big Lottery Fund,Coventry City Council,2678385.0
4753,2004,Sports,The Big Lottery Fund,Coventry Sports Club,4500.0
4754,2004,Sports,The Big Lottery Fund,Coventry Sports Foundation,3979.0
4755,2004,Sports,The Big Lottery Fund,Cowgate Predators,3000.0
4756,2004,Sports,The Big Lottery Fund,Cowplain Community School,156000.0
4757,2004,Sports,The Big Lottery Fund,Creating learning Opportunities in Western Somerset for Children and Adults,5000.0
4758,2004,Sports,The Big Lottery Fund,Crewe Alexandra Ladies Football Club,4950.0
4759,2004,Sports,The Big Lottery Fund,Crewe and Nantwich Gymnastics and Community Activities Centre,2907.0
4760,2004,Sports,The Big Lottery Fund,Cromer Wildcats,3600.0
4761,2004,Sports,The Big Lottery Fund,Crown Hills Community College,240055.0
4762,2004,Sports,The Big Lottery Fund,Croydon Council,305292.0
4763,2004,Sports,The Big Lottery Fund,Cuckmere House School,3822.0
4764,2004,Sports,The Big Lottery Fund,Cumbria County Council,2200686.0
4765,2004,Sports,The Big Lottery Fund,Cuxton Community Trust Ltd,5000.0
4766,2004,Sports,The Big Lottery Fund,Darlington Borough Council,422686.0
4767,2004,Sports,The Big Lottery Fund,Davenant Foundation School,91176.0
4768,2004,Sports,The Big Lottery Fund,Davies Lane Junior School,4992.0
4769,2004,Sports,The Big Lottery Fund,Davington Primary School,4988.0
4770,2004,Sports,The Big Lottery Fund,Daw End School,4457.0
4771,2004,Sports,The Big Lottery Fund,Day Services Sport and Leisure Forum,4998.0
4772,2004,Sports,The Big Lottery Fund,Dayncourt School Specialist Sports College (Nottinghamshire LEA),113940.0
4773,2004,Sports,The Big Lottery Fund,Dearne Basketball Club,4998.0
4774,2004,Sports,The Big Lottery Fund,Debenham High School,216000.0
4775,2004,Sports,The Big Lottery Fund,Deepway Youth Group,4990.0
4776,2004,Sports,The Big Lottery Fund,Delamere Rangers Junior Football Club,4995.0
4777,2004,Sports,The Big Lottery Fund,Denbighshire County Council,1227786.0
4778,2004,Sports,The Big Lottery Fund,Deptford Tennis Club,5000.0
4779,2004,Sports,The Big Lottery Fund,Derby City Council,947486.0
4780,2004,Sports,The Big Lottery Fund,Derby High School,37140.0
4781,2004,Sports,The Big Lottery Fund,Derbyshire County Council,2733892.0
4782,2004,Sports,The Big Lottery Fund,Derrychrin Primary School,4713.0
4783,2004,Sports,The Big Lottery Fund,Devon County Council,1507502.0
4784,2004,Sports,The Big Lottery Fund,Didcot Academy of Schools,1045203.0
4785,2004,Sports,The Big Lottery Fund,Dingle Mini Soccer League,3500.0
4786,2004,Sports,The Big Lottery Fund,Disability Sport Focus Group,5000.0
4787,2004,Sports,The Big Lottery Fund,Disley Youth Club,3842.0
4788,2004,Sports,The Big Lottery Fund,Djanogly Northgate Sherwood,4991.0
4789,2004,Sports,The Big Lottery Fund,Doe Lea Villa FC,2134.0
4790,2004,Sports,The Big Lottery Fund,Donaghcloney Rural Needs Development Group,3800.0
4791,2004,Sports,The Big Lottery Fund,Doncaster Metropolitan Borough Council,2525896.0
4792,2004,Sports,The Big Lottery Fund,Doncaster Schools Rowing Association,4750.0
4793,2004,Sports,The Big Lottery Fund,Dorset County Council,1057605.0
4794,2004,Sports,The Big Lottery Fund,Dosti Club,5000.0
4795,2004,Sports,The Big Lottery Fund,Dove Street Community Amateur Boxing Club,4914.0
4796,2004,Sports,The Big Lottery Fund,Doxford Park FC,5000.0
4797,2004,Sports,The Big Lottery Fund,Dr Challoner's High School,143702.0
4798,2004,Sports,The Big Lottery Fund,Draycott Community Primary School,3445.0
4799,2004,Sports,The Big Lottery Fund,Drayton Manor High School Academy Trust,132352.0
4800,2004,Sports,The Big Lottery Fund,Driffield and District Divers,4850.0
4801,2004,Sports,The Big Lottery Fund,Droitwich Spa High School (Worcestershire LEA),132770.0
4802,2004,Sports,The Big Lottery Fund,Drytac Netball Club,962.0
4803,2004,Sports,The Big Lottery Fund,Dudley Bears,4530.0
4804,2004,Sports,The Big Lottery Fund,Dudley Metropolitan Borough Council,2404458.0
4805,2004,Sports,The Big Lottery Fund,Dumfries and Galloway Council,1140465.0
4806,2004,Sports,The Big Lottery Fund,Dumpton Youth Project,3658.0
4807,2004,Sports,The Big Lottery Fund,Dundee City Council,460000.0
4808,2004,Sports,The Big Lottery Fund,Dungannon United Youth,351295.0
4809,2004,Sports,The Big Lottery Fund,Durham County Council,937574.0
4810,2004,Sports,The Big Lottery Fund,Durham Gilesgate Sports college Sixth Form Centre,113940.0
4811,2004,Sports,The Big Lottery Fund,Dwarf Athletic Association of the North East and Eastern Region,5000.0
4812,2004,Sports,The Big Lottery Fund,Dynamic Time Out,4830.0
4813,2004,Sports,The Big Lottery Fund,Dyspraxia Foundation (Leicester),3248.0
4814,2004,Sports,The Big Lottery Fund,E-ACT,1252827.0
4815,2004,Sports,The Big Lottery Fund,Eagle Eyes NGO,4900.0
4816,2004,Sports,The Big Lottery Fund,Easington District Junior Netball Club,3224.0
4817,2004,Sports,The Big Lottery Fund,East Ayrshire Council,1176789.0
4818,2004,Sports,The Big Lottery Fund,"East Lothian Council, Department of Education & Community Services",401800.0
4819,2004,Sports,The Big Lottery Fund,East Manchester Athletics Club,3617.0
4820,2004,Sports,The Big Lottery Fund,East Riding of Yorkshire Council,1620000.0
4821,2004,Sports,The Big Lottery Fund,East Sussex County Council,1238924.0
4822,2004,Sports,The Big Lottery Fund,Eastern Arts Centre,3183.0
4823,2004,Sports,The Big Lottery Fund,Easton Cowboys Sports & Social Club,2420.0
4824,2004,Sports,The Big Lottery Fund,Eaves Brook Task Group,4994.0
4825,2004,Sports,The Big Lottery Fund,Eclipse Gymnastics Club,5000.0
4826,2004,Sports,The Big Lottery Fund,Edenfield Church of England Primary School,5000.0
4827,2004,Sports,The Big Lottery Fund,Edmund Rice College,227532.0
4828,2004,Sports,The Big Lottery Fund,Edwards Lane & District Community Association,2984.0
4829,2004,Sports,The Big Lottery Fund,Eithorne Park High School,3200.0
4830,2004,Sports,The Big Lottery Fund,Elafric Fund,5000.0
4831,2004,Sports,The Big Lottery Fund,Elite Youth,5000.0
4832,2004,Sports,The Big Lottery Fund,Elms Bank Community High School (Special),2049.0
4833,2004,Sports,The Big Lottery Fund,Elms Bank Specialist Arts College,36000.0
4834,2004,Sports,The Big Lottery Fund,Esk Moors Action for the Elderly,500.0
4835,2004,Sports,The Big Lottery Fund,Essex County Council,3721912.0
4836,2004,Sports,The Big Lottery Fund,Essex SportsLink Limited,4800.0
4837,2004,Sports,The Big Lottery Fund,Estcourt Primary School,112333.0
4838,2004,Sports,The Big Lottery Fund,Esteem Through Sport,5000.0
4839,2004,Sports,The Big Lottery Fund,Ethenside Community School,4615.0
4840,2004,Sports,The Big Lottery Fund,Exercise-4-All Ltd,48722.0
4841,2004,Sports,The Big Lottery Fund,Exeter and East Devon Sports Assoc.for the Disabled,4910.0
4842,2004,Sports,The Big Lottery Fund,Exportise Ltd,163597.0
4843,2004,Sports,The Big Lottery Fund,Eyam CE Primary School,1360.0
4844,2004,Sports,The Big Lottery Fund,FC Tynemouth,4438.0
4845,2004,Sports,The Big Lottery Fund,Fair Play Badminton Club,5000.0
4846,2004,Sports,The Big Lottery Fund,Fairisle Infant and Nursery School,52567.0
4847,2004,Sports,The Big Lottery Fund,Farringdon Community and Houghton Kepier Sports Colleges,208890.0
4848,2004,Sports,The Big Lottery Fund,Fearns Community Sports College,3630.0
4849,2004,Sports,The Big Lottery Fund,Fenland Female Recreation Exercise Sport & Health Action Group,4050.0
