,Province,City
127,NB,DOAKTOWN
128,NL,ST JOHN'S
129,NL,BATTLE HARBOUR
130,NL,STEPHENVILLE
131,NL,PORT AUXBASQUES
132,NL,CORNER BROOK
133,NL,DEER LAKE
134,NL,CARTWRIGHT
135,NL,GANDER
136,NL,GRAND FALLS
137,NL,GOOSE
138,NL,HOPEDALE
139,NL,DANIELS HARBOUR
140,NL,ST ANTHONY
141,NL,WABUSH LAKE
142,NL,EXPLOITS DAM
143,NL,BAY D'ESPOIR
144,NL,CHURCHILL FALLS
145,NL,NAIN
146,NL,PLUM POINT
147,NS,SYDNEY
148,NS,HALIFAX
149,NS,YARMOUTH
150,NS,PARRSBORO
151,NS,SABLE ISLAND
152,NS,KENTVILLE
153,NS,NAPPAN
154,NS,UPPER STEWIACKE
155,NS,COLLEGEVILLE
156,NS,DEMING
157,NS,ANNAPOLIS ROYAL
158,NS,GREENWOOD
159,NS,LIVERPOOL
160,NT,HAY RIVER
161,NT,FORT SIMPSON
162,NT,FORT SMITH
163,NT,YELLOWKNIFE
164,NT,FORT MCPHERSON
165,NT,NORMAN WELLS
166,NT,FORT GOOD HOPE
167,NT,FORT RELIANCE
168,NT,MOULD BAY
169,NT,SACHS HARBOUR
170,NT,CAPE PARRY
171,NT,INUVIK
172,NT,TUKTOYAKTUK
173,NU,POND INLET
174,NU,CAPE DORSET
175,NU,CHESTERFIELD
176,NU,KUGLUKTUK
177,NU,ARCTIC BAY
178,NU,CAMBRIDGE BAY
179,NU,BAKER LAKE
180,NU,CLYDE
181,NU,CORAL HARBOUR
182,NU,RESOLUTE
183,NU,EUREKA
184,NU,IQALUIT
185,NU,ENNADAI LAKE
186,NU,ALERT
187,NU,BROUGHTON
188,NU,CAPE HOOPER
189,NU,HALL BEACH
190,NU,SHEPHERD BAY
191,NU,DEWAR LAKES
192,NU,CAPE DYER
193,NU,LUPIN
194,NU,PELLY BAY
195,NU,LONGSTAFF BLUFF
196,ON,TORONTO
197,ON,HAMILTON
198,ON,PETERBOROUGH
199,ON,WOODSTOCK
200,ON,KINGSTON
201,ON,WELLAND
202,ON,THUNDER BAY
203,ON,BEATRICE
204,ON,LONDON
205,ON,HALIBURTON
206,ON,OWEN SOUND
207,ON,ORANGEVILLE
208,ON,OTTAWA
209,ON,MOOSONEE
210,ON,KENORA
211,ON,DRYDEN
212,ON,SIOUX LOOKOUT
213,ON,BROCKVILLE
214,ON,CHAPLEAU
215,ON,MADAWASKA
216,ON,MINE CENTRE
217,ON,GORE BAY
218,ON,ATIKOKAN
219,ON,FORT FRANCES
220,ON,HARROW
221,ON,KAPUSKASING
222,ON,BELLEVILLE
223,ON,MORRISBURG
224,ON,RIDGETOWN
225,ON,CAMERON FALLS
226,ON,VINELAND
227,ON,NORTH BAY
228,ON,IROQUOIS FALLS
229,ON,PICKLE LAKE
230,ON,EARLTON
231,ON,BIG TROUT LAKE
232,ON,HORNEPAYNE
233,ON,WINDSOR
234,ON,LANSDOWNE HOUSE
235,ON,WAWA
236,ON,SAULT STE MARIE
237,ON,SUDBURY
238,ON,CORNWALL
239,ON,SMOKY FALLS
240,ON,TIMMINS
241,ON,RED LAKE
242,ON,GERALDTON
243,PE,CHARLOTTETOWN
244,PE,SUMMERSIDE
245,PE,MONTICELLO
246,QC,MONTREAL TAVISH
247,QC,MONT JOLI
248,QC,QUEBEC
249,QC,BAGOTVILLE
250,QC,BROME
251,QC,TEMISCAMINGUE
252,QC,LA TUQUE
253,QC,TETE BALEINE
254,QC,AMOS
255,QC,BEAUCEVILLE
256,QC,CAUSAPSCAL
257,QC,DRUMMONDVILLE
258,QC,LA POCATIERE
259,QC,LES CEDRES
260,QC,NICOLET
261,QC,MANIWAKI
262,QC,NATASHQUAN
263,QC,ROBERVAL
264,QC,CHIBOUGAMAU
265,QC,LENNOXVILLE
266,QC,SHEENBOROUGH
267,QC,TADOUSSAC
268,QC,GASPE
269,QC,DONNACONA
270,QC,JOLIETTE
271,QC,INUKJUAK
272,QC,MONT LAURIER
273,QC,THETFORD MINES
274,QC,VILLE MARIE
275,QC,CHELSEA
276,QC,KUUJJUARAPIK
277,QC,ST JEROME
278,QC,ILES MADELEINE
279,QC,NORMANDIN
280,QC,PARENT
281,QC,SEPT-ILES
282,QC,STEROSE DEGELIS
283,QC,KUUJJUAQ
284,QC,SCHEFFERVILLE
285,QC,VAL D'OR
286,QC,BELLETERRE
287,QC,LA SARRE
288,QC,BAIE COMEAU
289,QC,QUAQTAQ
290,QC,LABRIEVILLE
291,QC,LEBEL QUEVILLON
292,SK,PRINCE ALBERT
293,SK,SWIFT CURRENT
294,SK,INDIAN HEAD
295,SK,NORTHBATTLEFORD
296,SK,MOOSE JAW
297,SK,REGINA
298,SK,SASKATOON
299,SK,ESTEVAN
300,SK,KELLIHER
301,SK,WASECA
302,SK,LOST RIVER
303,SK,SCOTT
304,SK,YELLOW GRASS
305,SK,KINDERSLEY
306,SK,OUTLOOK
307,SK,PILGER
308,SK,COTE
309,SK,LA RONGE
310,SK,LEADER
311,SK,ISLAND FALLS
312,SK,LOON LAKE
313,SK,DAVIDSON
314,SK,ANEROID
315,SK,WHITESAND DAM
316,SK,YORKTON
317,SK,HUDSON BAY
318,SK,VAL MARIE
319,SK,PELLY
320,SK,URANIUM CITY
321,SK,MOOSOMIN
322,SK,WASKESIU LAKE
323,SK,BUFFALO NARROWS
324,SK,POPLAR RIVER
325,SK,COLLINS BAY
326,SK,KEY LAKE
327,SK,PASWEGIN
328,YT,DAWSON
329,YT,MAYO
330,YT,WATSON LAKE
331,YT,WHITEHORSE
332,YT,TESLIN
333,YT,OLD CROW
334,YT,PELLY RANCH
335,YT,SHINGLE POINT
336,YT,KOMAKUK BEACH
337,YT,BURWASH
