,Gender,Characters,Word_count,Movie
34,Robots,Second Threepio,3,The Empire Strikes Back
0,Female,Leia,797,A New Hope
1,Female,Aunt Beru,18,A New Hope
2,Female,Camie,14,A New Hope
3,Female,Woman,8,A New Hope
4,Male,Luke,3224,A New Hope
5,Male,Han,2236,A New Hope
6,Male,Ben,1204,A New Hope
7,Male,Biggs,643,A New Hope
8,Male,Vader,613,A New Hope
9,Male,Tarkin,477,A New Hope
10,Male,Red Leader,406,A New Hope
11,Male,Owen,385,A New Hope
12,Male,Jabba,264,A New Hope
13,Male,Dodonna,219,A New Hope
14,Male,Officer,154,A New Hope
15,Male,Trooper,149,A New Hope
16,Male,Wedge,140,A New Hope
17,Male,Gold Leader,119,A New Hope
18,Male,Motti,119,A New Hope
19,Male,Greedo,113,A New Hope
20,Male,Tagge,107,A New Hope
21,Male,Red Ten,62,A New Hope
22,Male,Gold Five,60,A New Hope
23,Male,First Trooper,53,A New Hope
24,Male,Fixer,46,A New Hope
25,Male,Officer Cass,37,A New Hope
26,Male,Commander,34,A New Hope
27,Male,Human,34,A New Hope
28,Male,Gantry Officer,33,A New Hope
29,Male,Willard,32,A New Hope
30,Male,Man'S Voice,31,A New Hope
31,Male,Chief,30,A New Hope
32,Male,Imperial Officer,29,A New Hope
33,Male,Bartender,25,A New Hope
34,Male,Rebel Officer,19,A New Hope
35,Male,Astro-Officer,18,A New Hope
36,Male,Red Nine,15,A New Hope
37,Male,Second Trooper,14,A New Hope
38,Male,Gold Two,11,A New Hope
39,Male,Technician,9,A New Hope
40,Male,Chief Pilot,5,A New Hope
41,Male,Deak,5,A New Hope
42,Male,Porkins,5,A New Hope
43,Other,Threepio,1841,A New Hope
