,Scripts,title,Character,Season
30," you look great.', '  Opening Credits",The One With Sharks,Ross,9
31, Monica enters central perk,The One With Sharks,"', '  Scene",9
32, hey Joey,The One With Sharks,Monica,9
33," Hey, this girl won't turn around and I can't tell whether she's hot or "", '  not, what do you think?",The One With Sharks,Joey,9
34," Joey I am not going to objectify woman with you (looks at the woman) ', '  but if her face is as nice as her ass woah mamma.",The One With Sharks,Monica,9
35," Alright thanks, Oh hey have you talked to Chandler?",The One With Sharks,Joey,9
36, yeah he has to stay in Tulsa this weekend,The One With Sharks,Monica,9
37, how come?,The One With Sharks,Joey,9
38," he has to work, there's some rush on the big (pause, thinks) ah damn "", ""  it one of these days I'm really gonna have to start listening when he talks "", '  about his job.",The One With Sharks,Monica,9
39, oh why don't you fly out there and surprise him.,The One With Sharks,Joey,9
40," maybe I will go (thinks) yea will have a second honeymoon at the Tulsa ', '  Ramada.",The One With Sharks,Monica,9
41," oh and you know what you should bring the black see-through teddy with ', '  the attached garters. (Nods)",The One With Sharks,Joey,9
42, how do you know I have one of those?,The One With Sharks,Monica,9
43, didn't till just now.,The One With Sharks,Joey,9
45, hot not hot (she turns around) Hot!,The One With Sharks,Joey,9
46, excuse me?,The One With Sharks,Hayley,9
47, I said I think you're hot and now I'm embarrassed.,The One With Sharks,Joey,9
48, oh I thought you said Hi.,The One With Sharks,Hayley,9
49," that would've been better, I'll try that Hi I'm Joey.",The One With Sharks,Joey,9
50, I'm Hayley.,The One With Sharks,Hayley,9
51, look I don't usually ask out women that I meet in coffeehouses,The One With Sharks,Joey,9
52, HA!,The One With Sharks,Gunther,9
53, (turns round) gesundheit,The One With Sharks,Joey,9
54, I would love to go out with you.,The One With Sharks,Hayley,9
55," really, great, did I actually ask you?",The One With Sharks,Joey,9
56," no that's just where you were going I just figured that I'd help you "", ""  out, you don't seem like the kind of guy that does this very a lot.",The One With Sharks,Hayley,9
57, HA!,The One With Sharks,Gunther,9
58," (turns round again) seriously Gunther you should see someone about that ', '  cold, if it gets much worse you could DIE! (Gunther looks scared)",The One With Sharks,Joey,9
59, Ross is at Phoebe's,The One With Sharks,Scene,9
60, so how'd the date go?,The One With Sharks,Ross,9
61," well it was awful every time I thought about what you said I started ', '  crying.",The One With Sharks,Phoebe,9
62, So he hasn't called?,The One With Sharks,Ross,9
63, would you call this girl? (Puts on a crying act) thanks-fo-r-a-love-ly-even-ing,The One With Sharks,Phoebe,9
64, now I feel terrible this is all my fault.,The One With Sharks,Ross,9
65," well you not what you should feel terrible about, this could have been ', '  my serious guy he was sweet and smart and funny. Do you know how hard it is ', '  to meet a guy like that?",The One With Sharks,Phoebe,9
66, We are a rare breed.,The One With Sharks,Ross,9
67, Joey is back at Hayley's Apartment,The One With Sharks,Scene,9
68, what a great dinner.,The One With Sharks,Hayley,9
69," yeah and hey thanks again for letting me having that last piece of cake ', '  at the restaurant.",The One With Sharks,Joey,9
70," (laughs) your welcome again, I'm gonna make some coffee can I get you "", '  anything?",The One With Sharks,Hayley,9
71, do you have any cake?,The One With Sharks,Joey,9
74," (bends down to see and the cactus pricks him in the ass) OUCH! That's "", '  why.",The One With Sharks,Joey,9
75, Ross goes to see Mike to explain about Phoebe,The One With Sharks,Scene,9
76," (He knocks at the door, Mike opens it) Hey Mike sorry to just drop by ', '  like this, can I come in?",The One With Sharks,Ross,9
77, Sure (looks confused) who are you?,The One With Sharks,Mike,9
78," I'm Ross, Phoebe's friend from the coffeehouse.",The One With Sharks,Ross,9
79, Oh.,The One With Sharks,Mike,9
80," yeah I really, really need to talk to you about something.",The One With Sharks,Ross,9
81," Ok, unless you're not gonna try to get me to join a cult are you?",The One With Sharks,Mike,9
82, (laughs) No,The One With Sharks,Ross,9
83, oh it's just you have that look (shuts the front door),The One With Sharks,Mike,9
84, Damn super cuts!,The One With Sharks,Ross,9
85, what's up is Phoebe ok?,The One With Sharks,Mike,9
86," oh no yeah, no Phoebe is great, but umm I'm an idiot look right before "", '  you guys went out I accidentally got her all upset.",The One With Sharks,Ross,9
87, that's why she was weird.,The One With Sharks,Mike,9
88," yes, yeah I said something stupid about her never having had a serious ', '  relationship, but you should know she is so much fun, a wonderful person please ', ""  don't blow her off.",The One With Sharks,Ross,9
89," I'm not blowing her off, I actually just got off the phone with her, "", ""  were going out tomorrow night, I mean I hope that's ok with you stranger from "", '  the coffee house.",The One With Sharks,Mike,9
90," well then I didn't need to bother you or the four other Mike Hanagen's "", '  I bothered.",The One With Sharks,Ross,9
91," hey wait wait wait wait wait! Is that true what you said Phoebe's never "", '  had a serious relationship?",The One With Sharks,Mike,9
92," of course she has. if she'd never had a serious relationship I'd go round "", '  broadcasting it like some unstoppable moron.",The One With Sharks,Ross,9
93, but you did say it,The One With Sharks,Mike,9
94," yes, yes I did. and I will also say what I'm about to say Vis-à-vis "", '  the following Phoebe has never had a serious relationship since her. super-serious ', '  relationship with. Vicrum.",The One With Sharks,Ross,9
95, Vicrum?,The One With Sharks,Mike,9
96, WHAT THAT'S A REAL NAME!,The One With Sharks,Ross,9
97, Chandler arrives home from work,The One With Sharks,Scene,9
98," (enters singing) Oklahoma where the wind comes sweeping down the ', ""  plane, STOP IT! Why couldn't they have sent me to Texas? 7 o clock maybe I'll "", '  hit the gym (sits down) who am I kidding pay-per-view porn.",The One With Sharks,Chandler,9
100, DO NOT DISTURB DO NOT DISTURB! Monica (smiles),The One With Sharks,Chandler,9
101, is everything all right?,The One With Sharks,Monica,9
102," everything's great, just watching some regular television there, "", '  what a pleasant surprise. (She hugs him, and she knows what he was doing so ', '  she looks at the TV and sees sharks swimming around thinking Chandler was giving ', '  himself a treat to sharks.)",The One With Sharks,Chandler,9
103, I'm gonna go freshen up ok,The One With Sharks,Monica,9
104, Ok honey. that was close.,The One With Sharks,Chandler,9
106, Hello,The One With Sharks,Rachel,9
107," Hey Rach its me ok I just got the Chandler's room and I caught him "", '  molesting himself.",The One With Sharks,Monica,9
108, Oh that couldn't have been pretty. but you know guys do that.,The One With Sharks,Rachel,9
109," yea well the weird part is... he was getting off to a shark attack ', '  show!",The One With Sharks,Monica,9
110, Nooooooooo!,The One With Sharks,Rachel,9
111," Yes! Chandler Watches Shark Porn!', '  Commercial Break",The One With Sharks,Monica,9
112," Rachel is at Monica\'s, talking about Chandler & him watching ""Shark ', '  Porn",The One With Sharks,"', '  Scene",9
113, well watching sharks? Are you sure that's what he was doing?,The One With Sharks,Rachel,9
114," do you know how many times I've seen him jump up like that, believe "", '  me I know what he was doing.",The One With Sharks,Monica,9
115," man sharks. I always knew there was something weird about that dude. ', '  But you promised to love him no matter what.",The One With Sharks,Rachel,9
116," what means if he gets like a disease or kills someone. not if he gets ', '  his jollys to jaws!",The One With Sharks,Monica,9
117," Ah! You know what honey guys are just different, they like things that ', ""  we can't understand, you know I once dated this guy who wanted to pretend he "", '  was an archeologist and I was a naughty cave woman that he unfroze from a block ', '  of ice.",The One With Sharks,Rachel,9
118, Eww are you talking about my bother.,The One With Sharks,Monica,9
119, yeah I didn't disguise that very well did I.,The One With Sharks,Rachel,9
120, (enters) Hey,The One With Sharks,Joey,9
121, (sits down) Hi,The One With Sharks,Rachel,9
122," listen to this... I went out with this girl last night and half way through ', '  our date I realized I already slept with her.",The One With Sharks,Joey,9
124," so basically you've slept with all the woman in New York and now you're "", '  just going around again.",The One With Sharks,Rachel,9
125," well that's not even the weird part. I don't think she remembered sleeping "", '  with me.",The One With Sharks,Joey,9
126, But you don't remember sleeping with her.,The One With Sharks,Monica,9
127," yeah but she should remember sleeping with me I am very memorable, you ', '  guys know.",The One With Sharks,Joey,9
128," what, how do we know, we never slept with you.",The One With Sharks,Rachel,9
129, and who's fault is that.,The One With Sharks,Joey,9
130," what's the big deal, you forgot, she forgot, maybe you were having "", '  an off night",The One With Sharks,Monica,9
131," HEY! I never have an off night ok although sometimes when I'm a little "", ""  bloated I don't feel very sexy BUT EVEN THEN I'M BETTER THEN MOST!",The One With Sharks,Joey,9
132, Honey why don't you just let it go and ask her out again.,The One With Sharks,Monica,9
133," yeah your both so slutty you don't even remember who you've slept with, "", ""  you're made for each other.",The One With Sharks,Rachel,9
134," Interesting. all right I'll go out with her again and try to get past "", '  it (reaches for the chips) OH SALT BLOATY!",The One With Sharks,Joey,9
135," Joey, Joey.",The One With Sharks,Monica,9
136, What?,The One With Sharks,Joey,9
137, you don't think sharks are sexy do you?,The One With Sharks,Monica,9
138, No. (Pause) wait a minute what was the little mermaid?,The One With Sharks,Joey,9
140, Phoebe's at her apartment waiting for Mike Ross comes over,The One With Sharks,Scene,9
141, It's open.,The One With Sharks,Phoebe,9
142, Hey!,The One With Sharks,Ross,9
143," HEY! Mike called were going out again! YAY! YAY! (She dances around ', '  with happiness)",The One With Sharks,Phoebe,9
144," YAY! (He continues the happiness with her by dancing around) quick thing, ', '  I went to talk to Mike.",The One With Sharks,Ross,9
145, What? Wha-wha-wha-did you do ROSS!,The One With Sharks,Phoebe,9
146," oh boy you got mad at that part. I went over there to tell him how great ', '  you are but you know me BLAH, BLAH, BLAH, and I ended up telling him that.",The One With Sharks,Ross,9
147, WHAT!,The One With Sharks,Phoebe,9
148, umm. that you had a six year long relationship with a guy named Vicrum.,The One With Sharks,Ross,9
149, WHAT! WHY?,The One With Sharks,Phoebe,9
150, well he seemed to bum hard that you'd never been in a serious relationship.,The One With Sharks,Ross,9
151," (Walks towards Ross) If you hadn't just had a baby with my best friend "", '  I swear to Lucifer a rabid dog would be feasting on your danglers RIGHT NOW!",The One With Sharks,Phoebe,9
152," well Phoebe, I think you'll feel better when you know a little bit about "", '  Vicrum, His a Kite designer (He makes a wow face) and he used to date Oprah. ', '  (He makes another wow face)",The One With Sharks,Ross,9
153," I'm not going along with some lie you made Ross, No I'm just gonna "", '  be honest with him.",The One With Sharks,Phoebe,9
154, Good yeah just be honest with him.,The One With Sharks,Ross,9
155," yeah I've nothing to be ashamed of ok so I haven't been in a relationship "", ""  that lasted longer then a month. Ok I haven't had a real boyfriend you know "", ""  if he can't handle that he can leave. which he will and that's ok. so I'll just "", ""  be alone forever you know alright I'll be. it'll be fine. it'll be fine. I'll "", '  go walking tours with widows and lesbians. Oh (takes a deep breath and sits ', '  down, knock on the door)",The One With Sharks,Phoebe,9
156, I'll get it,The One With Sharks,Ross,9
157, ok,The One With Sharks,Phoebe,9
158," (Ross opens the door) You know I'm trying to think of the last time I "", ""  opened a door and you weren't there, Phoebe are you ok? (She has her hands over "", '  her mouth)",The One With Sharks,Mike,9
159," Uh huh yeah (stands up) there's just something umm, there's something "", '  you should know (Pause) Vicrum just called.",The One With Sharks,Phoebe,9
160, Joey is back at Hayley's place after there date,The One With Sharks,Scene,9
161," so it was kind of a shock after 25 years of marriage my parents, a ', '  perfect couple getting divorced, I kinda took it the hardest cause I was the ', '  youngest.",The One With Sharks,Hayley,9
162," Uh huh, sure, yeah. How can you not remember me?",The One With Sharks,Joey,9
163, What?,The One With Sharks,Hayley,9
164, How could you not remember that we slept together?,The One With Sharks,Joey,9
165, What! When?,The One With Sharks,Hayley,9
166, I dunno!,The One With Sharks,Joey,9
167," I really, really think I would remember sleeping with you",The One With Sharks,Hayley,9
168," come on, come on, search your brain all right. it was (thinks) a certain ', '  amount of time ago, I was here you were here, we had sex (starts pointing out ', '  the places) here, here, here NOT there. Anything?",The One With Sharks,Joey,9
169, no it's not ringing any bells.,The One With Sharks,Hayley,9
170," my god woman! How many people do you have to had been with not to remember ', '  any of this?",The One With Sharks,Joey,9
171, Hey Hayley you've really gotta fix that doorknob. Joey!,The One With Sharks,Hayley's roommate,9
172," Ooooooooooh, I slept with you! And you obviously remember me Hey! I still ', ""  got it. (Turns back to Hayley) so were good. (She just glares at him) I'll let "", '  myself out.",The One With Sharks,Joey,9
173," Phoebe is sitting with Mike, explaining about Vicrum",The One With Sharks,Scene,9
174," .and I said Vicrum you can't just call every time you get lonely you "", '  know, you, you gave up that right when you slept with Rachel.",The One With Sharks,Phoebe,9
175, But Rachel I thought she just had a baby with Ross,The One With Sharks,Mike,9
176," yeah well (pause) yeah you know Emma's birth certificate might say "", '  Geller but her eyes say Mookurgee.",The One With Sharks,Phoebe,9
177, that is so wrong and on top of that his a glue sniffer.,The One With Sharks,Mike,9
178," I know but he call's and my heart goes to him. You know that bastard "", '  is one smooth talking free lance kite designer.",The One With Sharks,Phoebe,9
179," I just think there's somebody better out there for you, (pause) I mean "", ""  I'm not saying me but. maybe me.",The One With Sharks,Mike,9
180, Oh.,The One With Sharks,Phoebe,9
181," and you don't have to worry about glue sniffing with me. although I do "", '  smell the occasional magic marker, yeah ah anyway I just think I can make you ', '  happy.",The One With Sharks,Mike,9
182, ok I can't do this.,The One With Sharks,Phoebe,9
183, what's wrong?,The One With Sharks,Mike,9
184," well there is no Vicrum, Ross made him up because I never really have ', ""  been in a long-term relationship, I've never lived with a guy, and I've never "", ""  even celebrated an anniversary so. (Pause) if that's too weird for you and you "", ""  wanna leave I totally understand. In fact I'll close my eye's make it less awkward "", '  (She sits with her eyes closed and Mike kisses her, Phoebe opens her eyes and ', '  like a little child says.) You kissed me.",The One With Sharks,Phoebe,9
185, uh huh,The One With Sharks,Mike,9
186, so you don't think I'm a total freak,The One With Sharks,Phoebe,9
187," No. well look can I think your weird and also cool for telling me the ', '  truth and also wanna kiss you.",The One With Sharks,Mike,9
188," I guess so, can I. can I think it's cool that you kiss me and also "", '  wanna kiss you again (they get closer to kiss and Phoebe pulls back) and umm, ', '  be a little concerned about the magic markers.",The One With Sharks,Phoebe,9
189, Definitely,The One With Sharks,Mike,9
190," (They kiss and the phone rings and machine picks it up, its Ross putting ', '  on an accent pretending to be Vicrum) This is Vicrum.",The One With Sharks,Ross,9
191," Chandler arrives home and Monica's got a video of Sharks ready for "", '  Chandler",The One With Sharks,Scene,9
192, Hi honey I'm home!,The One With Sharks,Chandler,9
193," Hi, how was your flight? (She hugs him)",The One With Sharks,Monica,9
194, oh it was great.,The One With Sharks,Chandler,9
195," Here why don't you sit down, get yourself comfortable because I. (Monica "", '  shows him the tape then puts it in) have a little surprise for you.",The One With Sharks,Monica,9
196," well, well, well it must be five in Tulsa because it's six o clock "", '  IN NYC!",The One With Sharks,Chandler,9
197," Ok (sits down next to him) This is how much I love you. (She presses ', ""  play then puts her arm around Chandler's neck.)",The One With Sharks,Monica,9
198," (Chandler looking confused) Honey why am I watching a bunch of sharks ', '  swimming around.",The One With Sharks,Chandler,9
199," Is this not the good part? Do you want me to fast forward to something ', '  a little toothier.",The One With Sharks,Monica,9
200, no I'm not quite sure you got the right movie that's all.,The One With Sharks,Chandler,9
201," Oh well this is the only one they had at our video store, but they ', '  did have something called crocodile killers. Or does it always have to be sharks?",The One With Sharks,Monica,9
202, does what always have to be sharks.,The One With Sharks,Chandler,9
203," Honey look we can do something else, do you want me to get into the ', '  tub and thrash.",The One With Sharks,Monica,9
204, What's going on?,The One With Sharks,Chandler,9
205," sweetie it's ok, I still love you, let me be a part of this.",The One With Sharks,Monica,9
206, let ME be a part of this!,The One With Sharks,Chandler,9
207, I saw what you were doing in Tulsa. angry sharks turn you on!,The One With Sharks,Monica,9
208, no they don't,The One With Sharks,Chandler,9
209, then why were you watching them and giving YOURSELF a treat.,The One With Sharks,Monica,9
210," OH MY GOD! When you came in I switched the channel, I was just watching ', '  regular porn",The One With Sharks,Chandler,9
211, really?,The One With Sharks,Monica,9
212, yeah just some good old fashion girl on girl American action.,The One With Sharks,Chandler,9
213, I cannot tell you how happy that makes me! (They hug),The One With Sharks,Monica,9
214," You are an amazing wife. (Monica shrugs) No really you're amazing "", '  you were actually gonna do this for me, I mean where do you find the strength ', '  and understanding over something like that.",The One With Sharks,Chandler,9
215," I'm very, very drunk right now.",The One With Sharks,Monica,9
217," Phoebe is in central-perk with Joey telling him what Ross said to her ', '  at the beginning",The One With Sharks,Scene,9
218," (looks at a girl walk in) see ordinarily I would talk to her, but my ', '  confidence is shaken did I sleep with her? Did I not sleep with her? ",The One With Sharks,Joey,9
219," you know maybe this is a wake up call, about your whole dating attitude. ', ""  Your in your thirty's and you've never had a serious relationship and you have "", '  never been in a long term relationship, here you go from woman to woman, meaningless ', ""  experience to meaningless experience never even worrying that it doesn't tern "", '  into anything serious.",The One With Sharks,Phoebe,9
220," your right! I love my life! (He gets up to go and speak to the girl and ', '  he turns back and sits down) I actually did sleep with her.', '  end', '",The One With Sharks,Joey,9
