,Scripts,title,Character,Season
158," What are you guys doing? (Monica hears the moaning coming from the', 'TV and looks at it) Oh my God, is that Richard? (It only takes a split', 'second for Joey to realise, he pulls Monica down by her jacket, and she', 'falls, face down next to Chandler. Chandler gets up a bit, and Joey quickly', ""covers Chandler's eyes with his hand.)",The One With Ross's Inappropriate Song,Monica,9
160," Okay... aahhh... Please laugh for mommy... Please? Please laugh for', 'mommy... (Rachel makes a funny face, sticking her tongue out, making a', 'farting noise and using her hands as antlers, wiggling her fingers... No', 'response from Emma...) Not funny huh? Oh so, is it... only offensive novelty', ""rap? Or maybe just, you know, rap in general? 'Cause mommy can rap..."", '(Rachel tries to rap and makes weird movements with her arms in the', ""process.) My name is mommy and I'm here to say / that all the babies are..."", ""Oh, I can't rap... Allright sweetheart... This is only because I love you so"", ""much, and I know that you're not gonna tell anybody... (Rachel's face is"", 'telling ""Oh what am I doing? The things I have to go through... and she', 'starts to rap) I like... big butts and I cannot lie... / You other brothers', ""can't deny... / when a girl walks in with an itty bitty waist and a round"", 'thing in your face... (Emma starts to laugh) Yes! Yes! Yes! YES! Oohhhhh!', 'Oh! (Rachel now really gets into it, and her insecure movements start', 'getting better) I like big butts and I cannot lie... / You other brothers', ""can't deny... Oh Emma you're laughing! Oh you are, you really do like big"", ""butts, don't you. Oh you beautiful little weirdo... (Rachel picks up Emma"", 'and Ross now enters)",The One With Ross's Inappropriate Song,Rachel,9
161, Hey!,The One With Ross's Inappropriate Song,Ross,9
162," Oh you missed it. She was laughing. Oh it was amazing. It was', 'amazing. It was the most beautiful, beautiful sound that...",The One With Ross's Inappropriate Song,Rachel,9
163," Oh I know, isn't it? Ooh... what'd you do to get her to laugh?",The One With Ross's Inappropriate Song,Ross,9
164," Oh! You know, I just... couple of things I tried ... I just sang a', 'little doo... Itsy Bitsy Spider...",The One With Ross's Inappropriate Song,Rachel,9
165, You sang Baby Got Back didn't you?,The One With Ross's Inappropriate Song,Ross,9
166, Nothing else worked. That girl is all about the ass...,The One With Ross's Inappropriate Song,Rachel,9
168," ...and then it goes back to the chorus... Smelly cat, Sme-lly ca-t /', ""I-t's not your fau-lt. And that's the end of the song... I realise that you"", ""didn't ask to hear it, but uhm... no-one had spoken in seventeen minutes.",The One With Ross's Inappropriate Song,Phoebe,9
169," Phoebe writes lots of great songs. Wha... What was that one you sang', 'the other night that everybody just loved?",The One With Ross's Inappropriate Song,Mike,9
170," Oh, Pervert Parade?",The One With Ross's Inappropriate Song,Phoebe,9
171, (sighs) No...,The One With Ross's Inappropriate Song,Mike,9
172," Oh, Ode To A Pubic Hair?",The One With Ross's Inappropriate Song,Phoebe,9
173, Stop! (The butler serves dinner),The One With Ross's Inappropriate Song,Mike,9
174, Oh God! Is that veal?,The One With Ross's Inappropriate Song,Phoebe,9
175," Mom, I thought I told you... Phoebe's a vegetarian.",The One With Ross's Inappropriate Song,Mike,9
176, Oh!,The One With Ross's Inappropriate Song,Bitsy,9
177," Oh no, no, no, no... That's okay, that's okay... I mean, I'm... I am"", 'a vegetarian... except for veal... Yeah no, veal I love...",The One With Ross's Inappropriate Song,Phoebe,9
178, Phoebe you don't have to eat...,The One With Ross's Inappropriate Song,Mike,9
179," No, no, no, I actually it's any baby animals: kittens, fish"", 'babies... You know... especially veal... and this, this nice vein of fat', 'running through it... (she cuts the meat, picks it up with her fork and', 'holds it in front of her mouth, which she keeps closed, trying to overcome', 'her vegetarian thoughts... and... puts it in her mouth... Clearly not', 'enjoying the meat...) Hmmm... yummy (everybody seems okay with it, except', ""Mike. He's making a hmmmm.... face... Then Phoebe swallows it) Hmmm... (at"", 'first she likes it, but then, in an instant puts her hand in front of her', 'mouth and runs from the table. You hear a door slamming.)",The One With Ross's Inappropriate Song,Phoebe,9
180," So...? What do you think? (looks at his parents, which look in', 'disgust)",The One With Ross's Inappropriate Song,Mike,9
182, So you stole that tape from Richard's apartment?,The One With Ross's Inappropriate Song,Monica,9
183, Whoho ho... Listen to the judgement from the porn star!,The One With Ross's Inappropriate Song,Chandler,9
184," That tape was never meant to be seen by... (pauses) Joey I would', 'feel more comfortable if I was having this conversation in private.",The One With Ross's Inappropriate Song,Monica,9
185," (laughs) Monica, look... I don't think you and I have any secrets"", 'anymore... (Monica keeps looking at Joey) Not ready to joke about it yet,', 'okay, I see you later. (Joey walks out)",The One With Ross's Inappropriate Song,Joey,9
186," Why in the world would you take this tape and and why would you', 'watch it?",The One With Ross's Inappropriate Song,Monica,9
187," Because that's who I am, okay? I'm sure a mature man like Richard"", ""could see a tape like that and it wouldn't bother him. Just'd be another"", ""saucy anecdote for him to share at his men's club over brandy and"", 'moustaches.",The One With Ross's Inappropriate Song,Chandler,9
188, Is all this about you not being able to grow a moustache?,The One With Ross's Inappropriate Song,Monica,9
189," This is about you and Richard. He's clearly not over you. He keeps"", 'a tape so he can... look at it whenever he wants.",The One With Ross's Inappropriate Song,Chandler,9
190," Isn't that sad? I mean, can you see how pathetic that is? You"", ""shouldn't be jealous. You should feel bad for him.",The One With Ross's Inappropriate Song,Monica,9
191," Oh, yeah, well, poor Richard. Y'... I can grow a moustache!",The One With Ross's Inappropriate Song,Chandler,9
192," Chandler, this is not our problem. We've got each other. That's all"", 'that matters.",The One With Ross's Inappropriate Song,Monica,9
193," Yeah, oh, but I just keep picturing you rolling around with him', 'with your cowboy boots in the air...",The One With Ross's Inappropriate Song,Chandler,9
194," Cowboy boots? I've never worn cowboy boots in my whole life! (she"", 'turns on the video again)",The One With Ross's Inappropriate Song,Monica,9
195," Oh, good, good. Play more, 'cause I wanna see how it ends.",The One With Ross's Inappropriate Song,Chandler,9
196, THAT'S NOT ME!,The One With Ross's Inappropriate Song,Monica,9
197, What...? That's not you! Life is good again! Ride 'em cowgirl!,The One With Ross's Inappropriate Song,Chandler,9
198, That bastard taped over me! (Chandler's expression changes),The One With Ross's Inappropriate Song,Monica,9
199, Is that a problem?,The One With Ross's Inappropriate Song,Chandler,9
200," I-It's just so insulting! Big spring for a new blank tape, Doctor!",The One With Ross's Inappropriate Song,Monica,9
202, I can't imagine what he sees in her.,The One With Ross's Inappropriate Song,Theodore,9
203," She actually makes me miss that pill-popping ex-wife of his. (Mike', 'walks in) Oh, hello dear...",The One With Ross's Inappropriate Song,Bitsy,9
204," Hey, what's going on?",The One With Ross's Inappropriate Song,Mike,9
205, We were just chit-chatting. How's your friend?,The One With Ross's Inappropriate Song,Bitsy,9
206, A little better.,The One With Ross's Inappropriate Song,Mike,9
207," By the way, do you know who's moving back into town? Tom and Sue's"", 'daughter Jen.",The One With Ross's Inappropriate Song,Bitsy,9
208," You remember her Michael, she's lovely and... well behaved and..."", 'single.",The One With Ross's Inappropriate Song,Theodore,9
209, I'm not interested.,The One With Ross's Inappropriate Song,Mike,9
210," Oh, please darling, let's be honest. You can have all the... sailor"", ""fun you want with that one, but... let's be real...",The One With Ross's Inappropriate Song,Bitsy,9
211," All right, stop! You know, all Phoebe has done tonight is trying to', ""get you to like her. And maybe that hasn't been clear all the time, but she"", ""did her best. And yeah... She's a little different than you are...",The One With Ross's Inappropriate Song,Mike,9
212," Michael, a pimp spit in her mouth! (Phoebe almost enters the room,', 'but she hears the discussion and waits and evesdrops next to the', 'door-opening.)",The One With Ross's Inappropriate Song,Bitsy,9
213," So what? I mean if even I can get past that, it shouldn't bother you."", ""And you don't have to like her. You just have to accept the fact that I do."", ""I mean, if you even can't be civil to the woman I love...",The One With Ross's Inappropriate Song,Mike,9
214," The woman you what? (Phoebe overheard what Michael said and now', 'enters the room)",The One With Ross's Inappropriate Song,Bitsy,9
215, Yeah... The woman you what?,The One With Ross's Inappropriate Song,Phoebe,9
216," The woman I love... (he walks to Phoebe) I love you... Which is', ""probably something I shouldn't say for the first time in front of my"", 'parents... and Tom and Sue...Who are by the way the most sinfully boring', ""I've ever met in my life...",The One With Ross's Inappropriate Song,Mike,9
217, I love you too...,The One With Ross's Inappropriate Song,Phoebe,9
218, You do?,The One With Ross's Inappropriate Song,Mike,9
219, YEAH...! How great is this...? (they kiss),The One With Ross's Inappropriate Song,Phoebe,9
220, Wanna get out of here?,The One With Ross's Inappropriate Song,Mike,9
221, Okay.,The One With Ross's Inappropriate Song,Phoebe,9
222," Mom, dad, thanks for dinner.",The One With Ross's Inappropriate Song,Mike,9
223," I had a great time. (accent) It was really top drawer. And here's"", 'something rich: thirteen bathrooms in this place... I threw up in the coat', 'closet... Ta taaa...",The One With Ross's Inappropriate Song,Phoebe,9
226," She sweat, wet. got it going like a turbo 'vette.",The One With Ross's Inappropriate Song,Ross,9
227, So fellas,The One With Ross's Inappropriate Song,Rachel,9
228, Yeah!,The One With Ross's Inappropriate Song,Ross,9
229, fellas,The One With Ross's Inappropriate Song,Rachel,9
230, Yeah!,The One With Ross's Inappropriate Song,Ross,9
231, has your girlfriend got the butt?,The One With Ross's Inappropriate Song,Rachel,9
232, Hell yeah!,The One With Ross's Inappropriate Song,Ross,9
233, So shake it! (Rachel slaps Ross's butt on the beat),The One With Ross's Inappropriate Song,Rachel,9
234, Shake it!,The One With Ross's Inappropriate Song,Ross,9
235," Shake it! (Phoebe, Mike, Chandler, Monica and Joey step in)",The One With Ross's Inappropriate Song,Rachel,9
236, Shake it!,The One With Ross's Inappropriate Song,Ross,9
237, Shake that nasty butt...,The One With Ross's Inappropriate Song,Rachel,9
238," Baby got back (Then Ross turns around and sees their friends standing', 'in the doorway)",The One With Ross's Inappropriate Song,Ross,9
239," One more time from the top... I like big butts and I cannot lie, you', 'other br... (She also turns and sees the gang)",The One With Ross's Inappropriate Song,Rachel,9
240, Rachel please! That is so inappropriate!,The One With Ross's Inappropriate Song,Ross,9
