,Scripts,title,Character,Season
52," Oh, this is so nice. Alright I have to make a speech. I just wanna say that of all', 'the guys that Monica has been with, and that is a lot, I like you the best.",The One Where Dr. Remoray Dies,PHOEBE,2
53," Oh, thank you Phoebs. That's very sweet.",The One Where Dr. Remoray Dies,RICHARD,2
54, Ok.,The One Where Dr. Remoray Dies,PHOEBE,2
55," Hear that? She likes me best, and apparently there've been"", 'a lot.",The One Where Dr. Remoray Dies, RICHARD,2
56," Not a lot, Phoebe's kidding, Phoebe's crazy.",The One Where Dr. Remoray Dies,MONICA,2
57, Phoebe's dead.,The One Where Dr. Remoray Dies,RACHEL,2
59, Hi.,The One Where Dr. Remoray Dies,TILLY,2
60, Hi.,The One Where Dr. Remoray Dies,CHANDLER,2
61, I'm looking for Eddie Minowick.,The One Where Dr. Remoray Dies, TILLY,2
62," Oh, uh, he's not here right now, uh, I'm Chandler, can I take a message, or, or"", 'a fishtank?",The One Where Dr. Remoray Dies,CHANDLER,2
63, Thanks.,The One Where Dr. Remoray Dies,TILLY,2
64," Oh, oh, c'mon in.",The One Where Dr. Remoray Dies,CHANDLER,2
65, I'm Tilly.,The One Where Dr. Remoray Dies, TILLY,2
66, Oh.,The One Where Dr. Remoray Dies,CHANDLER,2
67, I gather by that oh that he told you about me.,The One Where Dr. Remoray Dies,TILLY,2
68," Oh yeah, your uh, name came up in a uh, conversation that terrified me to my', 'very soul.",The One Where Dr. Remoray Dies,CHANDLER,2
69, He's kind of intense huh?,The One Where Dr. Remoray Dies, TILLY,2
70," Yes. Hey, can I ask you, is Eddie a little...",The One Where Dr. Remoray Dies,CHANDLER,2
71, walks around corner A little what?,The One Where Dr. Remoray Dies,EDDIE,2
72, Bit country? C'mon in here you roomie.,The One Where Dr. Remoray Dies,CHANDLER,2
73, Hello Tilly.,The One Where Dr. Remoray Dies,EDDIE,2
74," Eddie, I just came by to drop off your tank.",The One Where Dr. Remoray Dies,TILLY,2
75, That's very thoughtful of you. It's very thougtful.,The One Where Dr. Remoray Dies,EDDIE,2
76," Well, ok then. I'm gonna go. Bye.",The One Where Dr. Remoray Dies,TILLY,2
77, Bye-bye.,The One Where Dr. Remoray Dies,EDDIE,2
78, Bye.,The One Where Dr. Remoray Dies,CHANDLER,2
80," So, we gettin' a fish?",The One Where Dr. Remoray Dies,CHANDLER,2
81, You had sex with her didn't you?,The One Where Dr. Remoray Dies,EDDIE,2
83," Phoebs, check it out, check it out, check it out, check it out.",The One Where Dr. Remoray Dies,JOEY,2
84," Oh, ooh, Soap Opera Digest, oh that's one of my favorite digests.",The One Where Dr. Remoray Dies,PHOEBE,2
85," Page 42, page 42, page 42.",The One Where Dr. Remoray Dies,JOEY,2
86," Ok, ok, ok. Ooh, hey 'new doc on the block, Days of Our Lives' Joey Tribbiani.'"", 'Ooh, cool picture.",The One Where Dr. Remoray Dies,PHOEBE,2
87," Ooh, I look good.",The One Where Dr. Remoray Dies,JOEY,2
88," Hey is this true, that you write a lot of your own lines?",The One Where Dr. Remoray Dies, PHOEBE,2
89," Uh, well, kinda yeah. Like, remember last week when Alex was in the accident? Well', ""the line in the script was, 'If we don't get this woman to a hospital, she's going to"", ""die.' But I made it, ' If this woman doesn't get to a hospital, she's not gonna live.'",The One Where Dr. Remoray Dies,JOEY,2
90," Ohh, ok, I see what you did there. Aren't you afraid though, that the writers are"", 'gonna be kinda mad when they read this?",The One Where Dr. Remoray Dies,PHOEBE,2
91," Huh? Never really thought about the writers. The scripts just kinda come to my', 'house. But you know what? This makes me look good, which makes the show look good, which', 'makes the writers look good so how could they be mad about that?",The One Where Dr. Remoray Dies,JOEY,2
93," Makes up most of his lines. Son-of-a-. Yeah, well, write this jerkweed.",The One Where Dr. Remoray Dies,WRITER,2
95," I fall down an elevator shaft? What the hell does this mean, I fall down an elevator', 'shaft?",The One Where Dr. Remoray Dies,JOEY,2
96," Uhh, I don't know, I just bring the scripts.",The One Where Dr. Remoray Dies,DELIVERY GUY,2
97," They can't kill me, I'm Francesca's long lost son.",The One Where Dr. Remoray Dies,JOEY,2
98, Right. Could you sign this?,The One Where Dr. Remoray Dies, DELIVERY GUY,2
99," No. No way, I'm not signing that.",The One Where Dr. Remoray Dies,JOEY,2
100, I don't think that's gonna affect the plot of the show.,The One Where Dr. Remoray Dies,DELIVERY GUY,2
101, How can they do this to me?,The One Where Dr. Remoray Dies,JOEY,2
102," Er, uh, I'm just gonna go. Sorry.",The One Where Dr. Remoray Dies,DELIVERY GUY,2
104," Well it wasn't that many guys. I mean, if you consider how"", ""many guys there actually are, it's a very small percentage.",The One Where Dr. Remoray Dies, MONICA,2
105," Hey, it's not that big a deal, I was just curious.",The One Where Dr. Remoray Dies,RACHEL,2
106, G'night.,The One Where Dr. Remoray Dies,ROSS,2
107, Night Richard. Good luck Mon.,The One Where Dr. Remoray Dies,RICHARD,2
108," Alright, before I tell you, uh, why don't you tell me how"", ""many women you've been with.",The One Where Dr. Remoray Dies, MONICA,2
109, Two.,The One Where Dr. Remoray Dies,RICHARD,2
110," Two? TWO? How is that possible? I mean, have you seen you?",The One Where Dr. Remoray Dies,MONICA,2
111," Well, I mean what can I say? I, I was married to Barbara for 30 years. She was my', ""high school sweetheart, now you, that's two.",The One Where Dr. Remoray Dies,RICHARD,2
112," Two it is. Ok, time for bed, I'm gonna go brush my teeth. goes in the bathroom",The One Where Dr. Remoray Dies,MONICA,2
113," Woah, woah, no wait a minute now. C'mon it's your turn. Oh"", ""c'mon. Ya know, I don't need the actual number, just a ballpark.",The One Where Dr. Remoray Dies, RICHARD,2
114," Ok, it is definitely less than a ballpark.",The One Where Dr. Remoray Dies,MONICA,2
116," Wow, I am so glad I'm not Monica right now.",The One Where Dr. Remoray Dies,RACHEL,2
117," Tell me about it. So what, what's your magic number?",The One Where Dr. Remoray Dies,ROSS,2
118, Uhhhooo.,The One Where Dr. Remoray Dies,RACHEL,2
119," C'mon, you know everyone I've been with. All, both of them.",The One Where Dr. Remoray Dies, ROSS,2
120," Well, there's you.",The One Where Dr. Remoray Dies, RACHEL,2
121, Better not be doin' these in order.,The One Where Dr. Remoray Dies,ROSS,2
122," Ok, uh, Billy Dreskin, Pete Carney, Barry, and uh, oh, Paolo.",The One Where Dr. Remoray Dies,RACHEL,2
123," Oh yes, the weenie from Torrini.",The One Where Dr. Remoray Dies,ROSS,2
124," Oh honey, are you jealous of Paolo? Oh, c'mon, I'm so much happier with you than I"", 'ever was with him.",The One Where Dr. Remoray Dies,RACHEL,2
125, Really?,The One Where Dr. Remoray Dies,ROSS,2
126," Oh please. That Paolo thing was barely a relationship. All', 'it really was was just, ya know, meaningless animal sex. Ok, ya know, that sounded soooo', 'much better in my head.",The One Where Dr. Remoray Dies, RACHEL,2
128," Eddie, I didn't sleep with your ex-girlfriend.",The One Where Dr. Remoray Dies,CHANDLER,2
129," That's very interesting, ya know, 'cause that's exactly what someone who slept with"", 'her would say.",The One Where Dr. Remoray Dies,EDDIE,2
130," This is nuts. This is crazy. She came over for like two minutes, dropped off a', 'fish tank, and left, end of story.",The One Where Dr. Remoray Dies,CHANDLER,2
131, Where's Buddy?,The One Where Dr. Remoray Dies,EDDIE,2
132, Buddy?,The One Where Dr. Remoray Dies,CHANDLER,2
133," My fish, Buddy.",The One Where Dr. Remoray Dies,EDDIE,2
134, There was no fish when she dropped it off.,The One Where Dr. Remoray Dies,CHANDLER,2
135," Oh, this is, this is unbelievable. I mean, first you sleep with my ex-girlfriend', 'then you insult my inteligenct by lying about it and then you kill my fish, my Buddy?",The One Where Dr. Remoray Dies,EDDIE,2
136," Hey I didn't kill your fish. Look Eddie...puts his hand"", ""on Eddie's shoulder Would you look at what I'm doin' here. That can't be smart. So we're"", 'just gonna take this guy right off ya and put him here in Mr. Pocket. Tangellon? picks up', 'the fruit an tosses it to Eddie, it hits Eddie in the chest and falls",The One Where Dr. Remoray Dies, CHANDLER,2
138, That's it? That's the giant number you were afraid to tell me?,The One Where Dr. Remoray Dies,RICHARD,2
139, Well yeah.,The One Where Dr. Remoray Dies,MONICA,2
140," Well, that's not bad at all. I mean, you had me thinkin it was like a fleet.",The One Where Dr. Remoray Dies,RICHARD,2
141, You really ok with it?,The One Where Dr. Remoray Dies,MONICA,2
142," Oh honey, I'm fine.",The One Where Dr. Remoray Dies,RICHARD,2
143," Oh, yay. Ok about that two.",The One Where Dr. Remoray Dies,MONICA,2
144," What? Alright, what about my two?",The One Where Dr. Remoray Dies,RICHARD,2
145," Well, it just seems like a really small number.",The One Where Dr. Remoray Dies,MONICA,2
146," Right, and...",The One Where Dr. Remoray Dies,RICHARD,2
147," And, well, don't you have a lot of wild oats to sew? Or is that what you're doing"", 'with me? Oh my God, am I an oat?",The One Where Dr. Remoray Dies,MONICA,2
148," Honey, you are not an oat. I, I mean I don't know, I, I guess I'm just not an oat"", ""guy. I've only slept with women I've been in love with.",The One Where Dr. Remoray Dies,RICHARD,2
149, But you've only slept with two people.,The One Where Dr. Remoray Dies,MONICA,2
150, Right.,The One Where Dr. Remoray Dies,RICHARD,2
151," Wow. Oh wow. You know I love you too, right.",The One Where Dr. Remoray Dies,MONICA,2
152, Now I do. they kiss and fall to the bed,The One Where Dr. Remoray Dies,RICHARD,2
154," Ross, Ross, please listen to me. Ross, you are so much', ""better for me than Paolo ever was. I mean you care about me, you're loving, you make me"", 'laugh.",The One Where Dr. Remoray Dies, RACHEL,2
155," Oh, hey, if I make you laugh, here's an idea, why don't you invite Paulo over and"", ""have a little romp in the sack and I'll just stand in the corner and tell knock-knock"", 'jokes.",The One Where Dr. Remoray Dies,ROSS,2
156," God, Ross, look, what you and I have is special, all Paolo and I ever had was...",The One Where Dr. Remoray Dies,RACHEL,2
157," Animal sex, animal sex? So what're you saying, I mean, you're"", ""saying that like, there's nothing between us animal at all. I mean there's not even like,"", 'uhm, a little animal, not even, not even like, like chipmunk sex?",The One Where Dr. Remoray Dies, ROSS,2
158," Ok, Ross, try to hear me. Ok, I, hey, I'm not gonna lie to you. Ok, it was good"", 'with Paolo.",The One Where Dr. Remoray Dies,RACHEL,2
159, Knock-knock.,The One Where Dr. Remoray Dies,ROSS,2
160," But, what you and I have is so much better. Ok, we have tenderness, we have', 'intimacy, we connect. Ya know, I swear, this is the best I have ever had.",The One Where Dr. Remoray Dies,RACHEL,2
161, Until now. jumps on Rachel on the bed,The One Where Dr. Remoray Dies,ROSS,2
163," Oh, hi.",The One Where Dr. Remoray Dies,RACHEL,2
164, Hi. Richard just told me he loves me.,The One Where Dr. Remoray Dies,MONICA,2
165," Oh my God, honey that's great.",The One Where Dr. Remoray Dies,RACHEL,2
166, I know. I just can't find...,The One Where Dr. Remoray Dies,MONICA,2
167, Oh they're in the top drawer. Hurry.,The One Where Dr. Remoray Dies,RACHEL,2
168, You need one too?,The One Where Dr. Remoray Dies,MONICA,2
169, Ooooh yeah.,The One Where Dr. Remoray Dies,RACHEL,2
171, There's only one.,The One Where Dr. Remoray Dies,MONICA,2
172, Monica.,The One Where Dr. Remoray Dies,RICHARD,2
173," Hi. Uh, we'll be right there, we're just trying to decide something. shuts the"", 'bathroom door",The One Where Dr. Remoray Dies,MONICA,2
174, comes out of the bedroom Rachel. growls then sees Richard standing there Hey.,The One Where Dr. Remoray Dies,ROSS,2
175, Hey. They're just trying to decide somehting.,The One Where Dr. Remoray Dies,RICHARD,2
176," Good, good, good. So, is uh, was your moustache, did, used to be different?",The One Where Dr. Remoray Dies,ROSS,2
177, No.,The One Where Dr. Remoray Dies,RICHARD,2
178," Oh. How do you uh, ya know, keep it so neat?",The One Where Dr. Remoray Dies,ROSS,2
179, I have a little comb.,The One Where Dr. Remoray Dies,RICHARD,2
180, Oh. And what do you call that?,The One Where Dr. Remoray Dies,ROSS,2
181, A moustache comb.,The One Where Dr. Remoray Dies,RICHARD,2
182," Ok, I, I will do your laundry for one month.",The One Where Dr. Remoray Dies, RACHEL,2
183, No.,The One Where Dr. Remoray Dies,MONICA,2
184," Ok, ok, ok, I will, I will, I, hey, I will clean the apartment for two months.",The One Where Dr. Remoray Dies,RACHEL,2
185," Alright, I tell you what, I'll give this to you now if you can tell me where we"", 'keep the dustpan.",The One Where Dr. Remoray Dies,MONICA,2
186, Agghhh.,The One Where Dr. Remoray Dies,RACHEL,2
187, So were you in Nam?,The One Where Dr. Remoray Dies,ROSS,2
188, Rock-paper-scissors?,The One Where Dr. Remoray Dies,RACHEL,2
189, Yeah.,The One Where Dr. Remoray Dies,MONICA,2
190," One two three. Rachel picks rock, Monica picks scissors",The One Where Dr. Remoray Dies,RACHEL and MONICA,2
191, Yeesss.,The One Where Dr. Remoray Dies,RACHEL,2
192," Fine, go have sex.",The One Where Dr. Remoray Dies,MONICA,2
193," No. You have got it completely wrong. John Savage was deerhunter, no legs, John', ""Voit was coming home, couldn't feel his legs.",The One Where Dr. Remoray Dies,RICHARD,2
194," No, no way. You've got it totally the other way around my friend. John Voit was...",The One Where Dr. Remoray Dies,ROSS,2
195, Honey.,The One Where Dr. Remoray Dies,RACHEL,2
196," What, what oh....Ross and Rachel go into her room",The One Where Dr. Remoray Dies,ROSS,2
197, Shall we?,The One Where Dr. Remoray Dies,RICHARD,2
198," It's not gonna happen. They're doing it tonight, we can do"", 'it tomorrow.",The One Where Dr. Remoray Dies, MONICA,2
199," Uh, in the future, if I could see the schedule beforehand...",The One Where Dr. Remoray Dies,RICHARD,2
201," So, when I woke up this morning, he'd stolen all the insoles out of my shoes.",The One Where Dr. Remoray Dies,CHANDLER,2
202, Why?,The One Where Dr. Remoray Dies,MONICA,2
203, Because he thinks I slept with his ex-girlfriend and killed his fish.,The One Where Dr. Remoray Dies,CHANDLER,2
204, Why would you kill his fish?,The One Where Dr. Remoray Dies, PHOEBE,2
205," Because sometimes, Phoebe after you sleep with someone, you have to kill the', 'fish.",The One Where Dr. Remoray Dies,CHANDLER,2
206," Chandler honey, I'm sorry. Ok, can we watch Joey's show now please? they turn on"", 'the TV",The One Where Dr. Remoray Dies,RACHEL,2
207, Yeah.,The One Where Dr. Remoray Dies,ROSS,2
208," Wait, he's not here yet.",The One Where Dr. Remoray Dies,MONICA,2
209," So, he's on the show, he knows what happens.",The One Where Dr. Remoray Dies,RACHEL,2
210, Yeah.,The One Where Dr. Remoray Dies,ROSS,2
211, Alright.,The One Where Dr. Remoray Dies,MONICA,2
212," Oh, I'm fine about my problem now, by the way.",The One Where Dr. Remoray Dies,CHANDLER,2
213, Oh good.,The One Where Dr. Remoray Dies,RACHEL,2
214," Amber, I want you to know that I'll always be there for you, as a friend"", 'and as your brother.",The One Where Dr. Remoray Dies,DR. REMORE,2
215, Oh Drake.,The One Where Dr. Remoray Dies,AMBER,2
216," Hard day huh? First the medical award, this.",The One Where Dr. Remoray Dies,DR HORTON,2
217, Some guys are just lucky I guess.,The One Where Dr. Remoray Dies,DR. REMORE,2
218," Dr. Remore, report to first floor emergency, stat.",The One Where Dr. Remoray Dies,INTERCOM,2
219," Well then, uh, I uhh, guess that's me. Anyone else need to go on the elevator?"", 'Dr. Horton, Dr. Wong?",The One Where Dr. Remoray Dies,DR. REMORE,2
220," No, no, they only said you.",The One Where Dr. Remoray Dies,DR. HORTON,2
221," Oh, ok. Alright.",The One Where Dr. Remoray Dies,DR. REMORE,2
222, I love you Drake.,The One Where Dr. Remoray Dies,AMGER,2
223," Yeah, whatever. Oh no.",The One Where Dr. Remoray Dies,DR. REMORE,2
224," Drake, look out.",The One Where Dr. Remoray Dies,AMBER,2
225, Ahhhhhhhhhhhhhhhhhhhhhhhhh.,The One Where Dr. Remoray Dies,DR. REMORE,2
226, Did they just kill off Joey?,The One Where Dr. Remoray Dies, MONICA,2
227, No. sound of Dr. Remore's body hitting the bottom of the shaft Now maybe.,The One Where Dr. Remoray Dies,ROSS,2
229, C'mon.,The One Where Dr. Remoray Dies,ROSS,2
230, Joey.,The One Where Dr. Remoray Dies,RACHEL,2
231, Open up. We want to talk to you.,The One Where Dr. Remoray Dies,ROSS,2
232, I don't feel like talkin.,The One Where Dr. Remoray Dies,JOEY,2
233," Oh c'mon Joey, we care about you.",The One Where Dr. Remoray Dies,RACHEL,2
234, We're worried about you.,The One Where Dr. Remoray Dies,CHANDLER,2
235, And some of us really have to pee.,The One Where Dr. Remoray Dies,MONICA,2
237, Sorry Joey runs to the bathroom,The One Where Dr. Remoray Dies,MONICA,2
238, Hey.,The One Where Dr. Remoray Dies,JOEY,2
239," Listen, sorry about your death, that really sucks.",The One Where Dr. Remoray Dies,PHOEBE,2
240, We came over as soon as we saw.,The One Where Dr. Remoray Dies,CHANDLER,2
241, How could you not tell us?,The One Where Dr. Remoray Dies,ROSS,2
242," I don't know, I was kinda hopin' no one would ever find out.",The One Where Dr. Remoray Dies,JOEY,2
243," Well, maybe they can find a way to bring you back.",The One Where Dr. Remoray Dies,RACHEL,2
244," Naa, they said that when they found my body, my brain was so', 'smashed in that the only doctor that could have saved me was me. Supposed to be some kind', 'of irony or somethin.",The One Where Dr. Remoray Dies, JOEY,2
245," But Joey, you're gonna be fine. You don't need that show, it"", 'was just a dumb soap opera.",The One Where Dr. Remoray Dies, PHOEBE,2
246," Phoebe, this was the greatest thing that ever happened to me.",The One Where Dr. Remoray Dies,JOEY,2
247," Yes, I was going to incorporate that. Oh good, here's Monica, she'll have"", 'something nice to say.",The One Where Dr. Remoray Dies,PHOEBE,2
248," Um, I straightened out your shower curtain so you won't get mildew. What? To me"", ""that's nice.",The One Where Dr. Remoray Dies,MONICA,2
249, It's gonna be ok. You know that?,The One Where Dr. Remoray Dies,CHANDLER,2
250," No, I don't. It's like, ya know, you work your whole life for somethin' and you"", ""think that when you get it it's never gonna be as good as you thought it would be. But"", 'this so was. Ya know, it changed everything. Like the other day, I got this credit card', ""application, and I was pre- approved. Huh? I've never been pre-approved for anything in my"", 'life.",The One Where Dr. Remoray Dies,JOEY,2
251, I'm sorry man.,The One Where Dr. Remoray Dies,CHANDLER,2
252," Yeah, Joey honey, I don't know if this'll mean anything to"", ""you but you'll always be pre-approved with us.",The One Where Dr. Remoray Dies, RACHEL,2
253," No, that means nothin to me.",The One Where Dr. Remoray Dies,JOEY,2
255, Uhhhaahh.,The One Where Dr. Remoray Dies,CHANDLER,2
256," Pecan sandy, just made em.",The One Where Dr. Remoray Dies, EDDIE,2
257," Yeah alright. What're these, raisins?",The One Where Dr. Remoray Dies,CHANDLER,2
258," Uh, sure, why not.",The One Where Dr. Remoray Dies,EDDIE,2
259," throws it across the room while Eddie's not looking Listen Eddie, um, I've"", 'been thinking about our current living situation and uh, why are you smiling?",The One Where Dr. Remoray Dies,CHANDLER,2
260," I got a little surprise, look. There's a new fishie. I named"", 'him uh, Chandler, you know, after, after you.",The One Where Dr. Remoray Dies, EDDIE,2
261," looks in the fish bowl to see a fish cracker Well that's not an, even a real"", ""fish. No, that's a goldfish cracker.",The One Where Dr. Remoray Dies,CHANDLER,2
262, What's you point man?,The One Where Dr. Remoray Dies,EDDIE,2
263," Ok, good night. walks towards his room You big freak of nature.",The One Where Dr. Remoray Dies,CHANDLER,2
267, Hey.,The One Where Dr. Remoray Dies,ROSS,2
268, Hey.,The One Where Dr. Remoray Dies,RICHARD,2
269, Hey.,The One Where Dr. Remoray Dies,ROSS,2
270," Ohh, brisk tonight.",The One Where Dr. Remoray Dies,RICHARD,2
271, Oh man.,The One Where Dr. Remoray Dies,ROSS,2
272, Let's never speak of this.,The One Where Dr. Remoray Dies,RICHARD,2
273, You got it. ,The One Where Dr. Remoray Dies,ROSS,2
278," Hey Monica, why are we watchin' the business channel?",The One With the Two Bullies, JOEY,2
279," 'Cause I was going by it the other day and I saw that there was a stock with my"", 'initials, MEG, on it and, well, sometimes I have to watch for two or three hours before it', ""comes up again but when it does, it's pretty exciting.",The One With the Two Bullies,MONICA,2
280," Ok honey, you really need a job.",The One With the Two Bullies,RACHEL,2
281," Mon, speaking of which, dad says he knows someone you can call for an interview.",The One With the Two Bullies,ROSS,2
282, Really.,The One With the Two Bullies,MONICA,2
283," Ok, right there. That, that's the third sign today. Right"", 'there.",The One With the Two Bullies, PHOEBE,2
284," On behalf of everyone, I'd just like to say behuh.",The One With the Two Bullies,ROSS,2
285," No, 'cause you just said dad and everywhere I go today I"", 'keep getting signs telling me to go see my father. Like when I was walking over here and I', ""passed a buffet...which is my father's last name.",The One With the Two Bullies, PHOEBE,2
286, Ahh.,The One With the Two Bullies,EVERYONE,2
287," And they were serving franks which is his first name minus the s at the end. And', 'there was a rotisserie with spinning chicken.",The One With the Two Bullies,PHOEBE,2
288, His indian name?,The One With the Two Bullies,MONICA,2
289," No because I chickened out the last time when I tried to meet him. So I mean', ""coincidences? I don't think so.",The One With the Two Bullies,PHOEBE,2
290, Freakish.,The One With the Two Bullies,ROSS,2
291, Wow.,The One With the Two Bullies,MONICA,2
292, Freaky.,The One With the Two Bullies,JOEY,2
293," Weird, weird.",The One With the Two Bullies,MONICA,2
294," Ok, so uh, who wants the last hamburger?",The One With the Two Bullies, RACHEL,2
295," Oh, alright, that's it, now I have to go see him.",The One With the Two Bullies,PHOEBE,2
296, Why?,The One With the Two Bullies,MONICA,2
297," Hamburger. McDonald's. Old MacDonald had a farm, my dad is a pharmacist.",The One With the Two Bullies,PHOEBE,2
300," Man, I am so beat.",The One With the Two Bullies, CHANDLER,2
301, Oh yeah.,The One With the Two Bullies,ROSS,2
302," Hey, you just wanna forget about raquetball and hang out here?",The One With the Two Bullies,CHANDLER,2
303, Yeah alright.,The One With the Two Bullies,ROSS,2
305, walks back from the counter Hey you're in our seats.,The One With the Two Bullies, BIG BULLY,2
306," Oh, sorry we didn't know.",The One With the Two Bullies,ROSS,2
307," walks back from the counter Hey, we were sitting there.",The One With the Two Bullies,LITTLE BULLY,2
308," Ok, there is one more way to say it, who knows it?",The One With the Two Bullies,CHANDLER,2
309, Is that supposed to be funny?,The One With the Two Bullies, LITTLE BULLY,2
310," No actually, I was just going for colorful.",The One With the Two Bullies,CHANDLER,2
311, What's with this guy?,The One With the Two Bullies,BIG BULLY,2
312, What's with you?,The One With the Two Bullies,LITTLE BULLY,2
313," Uh, nothing, nothing's with him. Enjoy your coffee.",The One With the Two Bullies,ROSS,2
315, What just happened?,The One With the Two Bullies,CHANDLER,2
316," I just took your hat. See, I can be funny too. My, my joke is that I, I took', 'your hat.",The One With the Two Bullies,LITTLE BULLY,2
317," That, that is funny. Can I have it back?",The One With the Two Bullies,CHANDLER,2
318, No.,The One With the Two Bullies,LITTLE BULLY,2
319, No?,The One With the Two Bullies,CHANDLER,2
320, No.,The One With the Two Bullies,BIG BULLY,2
321," Ok, ok, you know what? I think you're very funny. Kudos on that hat joke. But, come"", 'on guy just, just give him back the hat.",The One With the Two Bullies,ROSS,2
322, Why should we?,The One With the Two Bullies,BIG BULLY,2
