,0
59,"['Genre: Romantic Comedy' 'Mrs. Winterbourne'
 'Release Date: April 19, 1996' 'Actors:']"
60,"['Genre: Family Comedy' 'Dunston Checks In'
 'Release Date: January 12, 1996' 'Producers:']"
61,"['Genre: Romantic Comedy' 'Everyone Says I Love You'
 'Release Date: December 6, 1996' 'Writer:']"
64,"['Genre: Sports Comedy' 'Celtic Pride' 'Release Date: April 19, 1996'
 'Writer:']"
66,"['Genre: Animation' 'All Dogs Go to Heaven 2'
 'Release Date: March 29, 1996' '* Denotes minor role']"
67,"['Genre: Thriller' ""The Rich Man's Wife"" 'Release Date: September 13, 1996'
 'Actors:']"
69,"['Genre: Sports Comedy' 'The Great White Hype' 'Release Date: May 3, 1996'
 'Composer:']"
70,"['Genre: Period Drama' 'The Crucible' 'Release Date: November 29, 1996'
 'Cinematographer:']"
71,"['Genre: Comedy' 'Dear God' 'Release Date: November 1, 1996' 'Actor:']"
72,"['Genre: Family Comedy' 'House Arrest' 'Release Date: August 16, 1996'
 'Actors:']"
73,"['Genre: Drama' ""Mao's Last Dancer"" 'Release Date: August 20, 2010'
 '\xa0$22,269,123']"
74,"['Genre: Horror Comedy' 'Bordello of Blood' 'Release Date: August 16, 1996'
 'Actors:']"
75,"['Genre: Drama' 'Get on the Bus' 'Release Date: October 18, 1996' 'Actor:']"
77,"['Genre: Period Horror' 'Mary Reilly' 'Release Date: February 23, 1996'
 '\xa0$12,379,402']"
79,"['Genre: Romantic Comedy' 'The Pallbearer' 'Release Date: May 3, 1996'
 'Writer:']"
80,"['Genre: Romance' 'Jane Eyre' 'Release Date: March 11, 2011'
 '\xa0$34,710,627']"
82,"['Genre: Thriller' ""Heaven's Prisoners"" 'Release Date: May 17, 1996'
 'Actor:']"
83,"['Genre: Comedy' 'Girl 6' 'Release Date: March 22, 1996' 'Actors:']"
84,"['Genre: Romance' 'Stealing Beauty' 'Release Date: June 14, 1996'
 '\xa0$4,722,310']"
85,"['Genre: Comedy' 'Hamlet 2' 'Release Date: August 22, 2008'
 '\xa0$4,925,288']"
86,"['Genre: Fantasy Comedy' ""Joe's Apartment"" 'Release Date: July 26, 1996'
 'Cinematographer:']"
88,"['Genre: Comedy' 'Swingers' 'Release Date: October 18, 1996' 'Writer:']"
89,"['Genre: Family Comedy' 'Ed' 'Release Date: March 15, 1996' 'Actors:']"
90,"['Genre: Family' 'Bogus' 'Release Date: September 6, 1996' 'Writer:']"
91,"['Genre: Foreign' ""Antonia's Line"" 'Release Date: February 2, 1996'
 '\xa0$4,249,321']"
94,"['Genre: Crime Thriller' 'Bound' 'Release Date: October 4, 1996' 'Writer:']"
97,"['Genre: Period Drama' 'The Portrait of a Lady'
 'Release Date: December 27, 1996' 'Actors:']"
98,"['Genre: Thriller' 'The Trigger Effect' 'Release Date: August 30, 1996'
 'Writer:']"
101,"['Genre: Family Comedy' 'Carpool' 'Release Date: August 23, 1996' 'Writer:']"
102,"['Genre: Crime Comedy' 'Feeling Minnesota'
 'Release Date: September 13, 1996' 'Producers:']"
104,"['Genre: Thriller' 'Unforgettable (2017)' 'Release Date: April 21, 2017'
 '\xa0$17,768,012']"
106,"['Genre: Comedy' 'Kids in the Hall:Brain Candy'
 'Release Date: April 12, 1996' 'Producers:']"
107,"['Genre: Comedy' 'The Stupids' 'Release Date: August 30, 1996' 'Actor:']"
108,"['Genre: Romantic Comedy' 'If Lucy Fell' 'Release Date: March 8, 1996'
 'Actors:']"
113,"['Genre: Family Comedy' 'Big Bully' 'Release Date: January 26, 1996'
 'Writer:']"
115,"['Genre: Period Drama' 'Surviving Picasso'
 'Release Date: September 20, 1996' 'Writer:']"
117,"['Genre: Romantic Thriller' 'Vertigo' 'Release Date: May 9, 1958'
 'Producer:']"
118,"['Genre: Family Adventure' 'Race the Sun' 'Release Date: March 22, 1996'
 'Actors:']"
122,"['Genre: Documentary' 'Looking for Richard'
 'Release Date: October 11, 1996' 'Composer:']"
123,"['Genre: Documentary' 'The Celluloid Closet' 'Release Date: March 15, 1996'
 'Composer:']"
125,"['Genre: Crime Drama' 'Kansas City' 'Release Date: August 16, 1996'
 '\xa0$1,356,329']"
128,"['Genre: Romantic Comedy' 'Walking and Talking'
 'Release Date: July 17, 1996' 'Producer:']"
130,"['Genre: Romantic Comedy' 'Two Much' 'Release Date: March 15, 1996'
 'Producer:']"
131,"['Genre: Horror' 'Bad Moon' 'Release Date: November 1, 1996'
 '\xa0$1,055,525']"
132,"['Genre: Documentary' 'Steve McQueen:The Man & Le Mans'
 'Release Date: November 13, 2015' '\xa0$6,843']"
135,"['Genre: Family' 'Fairy Tale:A True Story' 'Release Date: October 24, 1997'
 '* Denotes minor role']"
136,"['Genre: Comedy' ""Def Jam's How to Be a Player""
 'Release Date: August 8, 1997' 'Actor:']"
137,"['Genre: Comedy Thriller' 'The Man Who Knew Too Little'
 'Release Date: November 14, 1997' 'Actors:']"
138,"['Genre: Period Drama' 'The Wings of the Dove'
 'Release Date: November 7, 1997' 'Writer:']"
139,"['Genre: Comedy' 'Trial and Error' 'Release Date: May 30, 1997'
 '\xa0$14,598,571']"
140,"['Genre: Period Drama' 'Rosewood' 'Release Date: February 21, 1997'
 'Actors:']"
141,"['Genre: Sci-Fi' 'Gattaca' 'Release Date: October 24, 1997' 'Writer:']"
142,"['Genre: Romance' 'Love Jones' 'Release Date: March 14, 1997'
 '\xa0$12,782,749']"
143,"['Genre: Romantic Comedy' 'Chasing Amy' 'Release Date: April 4, 1997'
 'Writer:']"
144,"['Genre: Thriller' 'Turbulence' 'Release Date: January 10, 1997' 'Actors:']"
145,"['Genre: Romantic Comedy' 'The Beautician and the Beast'
 'Release Date: February 7, 1997' 'Writer:']"
146,"['Genre: Action Comedy' 'Double Team' 'Release Date: April 4, 1997'
 'Actors:']"
147,"['Genre: Family Comedy' 'Leave It to Beaver'
 'Release Date: August 22, 1997' 'Producer:']"
148,"['Genre: Fantasy Comedy' 'Deconstructing Harry'
 'Release Date: December 12, 1997' 'Writer:']"
149,"['Genre: Action / Crime' 'Asura:The City of Madness'
 'Release Date: October 7, 2016' '\xa0$175,702']"
151,"['Genre: Foreign' 'Billy and Buddy' 'Release Date: November 8, 2013'
 '\xa0$15,230,550']"
152,"['Genre: Crime Drama' 'Night Falls on Manhattan'
 'Release Date: May 16, 1997' 'Actors:']"
153,"['Genre: Foreign' 'Shall We Dance?' 'Release Date: July 11, 1997'
 '\xa0$9,499,091']"
154,"['Genre: Comedy' 'Fierce Creatures' 'Release Date: January 24, 1997'
 'Producer:']"
155,"['Genre: Comedy' ""Mrs. Brown's Boys D'Movie"" 'Release Date: TBD'
 '\xa0$28,840,379']"
156,"['Genre: Drama' ""Ulee's Gold"" 'Release Date: June 13, 1997' 'Producer:']"
157,"['Genre: Family Adventure' 'Turbo:A Power Rangers Movie'
 'Release Date: March 28, 1997' '\xa0$9,615,840']"
159,"['Genre: Drama' 'The Ice Storm' 'Release Date: September 27, 1997'
 'Writer:']"
160,"['Genre: Drama' 'A Thousand Acres' 'Release Date: September 19, 1997'
 'Producers:']"
161,"['Genre: Romantic Comedy' 'Sprung' 'Release Date: May 16, 1997' 'Actors:']"
162,"['Genre: Family Adventure' 'Wild America' 'Release Date: July 4, 1997'
 'Producers:']"
163,"['Genre: Romantic Comedy' ""She's So Lovely"" 'Release Date: August 27, 1997'
 'Actors:']"
164,"['Genre: Comedy' 'B.A.P.S.' 'Release Date: March 28, 1997' '\xa0$7,338,279']"
166,"['Genre: Crime Thriller' 'U-Turn' 'Release Date: October 3, 1997' 'Writer:']"
167,"['Genre: Family Adventure' 'Warriors of Virtue' 'Release Date: May 2, 1997'
 '\xa0$6,524,620']"
168,"['Genre: Thriller' 'Switchback' 'Release Date: October 31, 1997'
 'Producer:']"
169,"['Genre: Thriller' 'A Most Wanted Man' 'Release Date: July 25, 2014'
 '\xa0$36,233,517']"
172,"['Genre: Period Drama' 'Inventing the Abbotts'
 'Release Date: April 4, 1997' 'Producers:']"
176,"['Genre: Period Drama' 'Kundun' 'Release Date: December 25, 1997'
 'Cinematographer:']"
177,"['Genre: Crime Comedy' ""Gridlock'd"" 'Release Date: January 31, 1997'
 'Producers:']"
178,"['Genre: Action' 'Dangerous Ground' 'Release Date: February 14, 1997'
 '\xa0$5,406,742']"
180,"['Genre: Comedy' ""McHale's Navy"" 'Release Date: April 18, 1997' 'Actors:']"
181,"['Genre: Romantic Comedy' 'A Life Less Ordinary'
 'Release Date: October 24, 1997' 'Actors:']"
182,"['Genre: Crime Thriller' 'Playing God' 'Release Date: October 17, 1997'
 'Producer:']"
183,"['Genre: Romance' 'Kama Sutra:A Tale of Love'
 'Release Date: February 28, 1997' 'Cinematographer:']"
186,"['Genre: Crime Comedy' '8 Heads in a Duffel Bag'
 'Release Date: April 18, 1997' 'Actors:']"
187,"['Genre: Comedy' 'The Pest' 'Release Date: February 7, 1997' 'Actor:']"
188,"['Genre: Animation' ""Cats Don't Dance"" 'Release Date: March 28, 1997'
 'Composer:']"
189,"['Genre: Romantic Comedy' 'Til There Was You' 'Release Date: May 30, 1997'
 'Actors:']"
190,"['Genre: Family Adventure' 'Free Willy 3:The Rescue'
 'Release Date: August 8, 1997' 'Cinematographer:']"
191,"['Genre: Romantic Comedy' 'The Matchmaker' 'Release Date: October 3, 1997'
 'Producers:']"
192,"['Genre: Drama' 'A Smile Like Yours' 'Release Date: August 22, 1997'
 'Composer:']"
193,"['Genre: Drama' 'The Sweet Hereafter' 'Release Date: October 10, 1997'
 'Composer:']"
195,"['Genre: Romance' 'Waiting for Forever' 'Release Date: February 4, 2011'
 'Writer:']"
196,"['Genre: Drama' 'In the Company of Men' 'Release Date: August 1, 1997'
 'Writer:']"
197,"['Genre: Romance' 'One Night Stand' 'Release Date: November 14, 1997'
 'Producer:']"
198,"['Genre: Music Drama' 'Brassed Off' 'Release Date: May 23, 1997'
 'Composer:']"
199,"['Genre: Romance' 'Afterglow' 'Release Date: December 26, 1997' 'Composer:']"
200,"['Genre: Drama' 'Career Girls' 'Release Date: August 8, 1997' 'Writer:']"
201,"['Genre: Drama / Thriller' ""Smilla's Sense of Snow""
 'Release Date: February 28, 1997' 'Actors:']"
203,"['Genre: Thriller' 'Shadow Conspiracy' 'Release Date: January 31, 1997'
 'Actors:']"
206,"['Genre: Comedy / Drama' 'The Daytrippers' 'Release Date: March 5, 1997'
 'Actors:']"
208,"['Genre: Comedy' 'Masterminds (2016)' 'Release Date: September 30, 2016'
 '\xa0$17,368,022']"
210,"['Genre: Romance' 'Washington Square' 'Release Date: October 5, 1997'
 'Producer:']"
211,"['Genre: Action' 'Max Steel' 'Release Date: October 14, 2016'
 '\xa0$6,272,403']"
213,"['Genre: Crime' 'City of Industry' 'Release Date: March 14, 1997'
 '* Denotes minor role']"
216,"['Genre: Comedy' 'The Last Godfather' 'Release Date: April 1, 2011'
 '\xa0$16,750,830']"
218,"['Genre: Crime Drama' 'Blood and Wine' 'Release Date: February 21, 1997'
 'Cinematographer:']"
225,"['Genre: Drama' 'The Winter Guest' 'Release Date: December 25, 1997'
 'Composer:']"
226,"['Genre: Drama' 'Anna Karenina' 'Release Date: November 16, 2012'
 '\xa0$68,929,150']"
228,"['Genre: Crime Thriller' 'Kiss or Kill' 'Release Date: November 14, 1997'
 '\xa0$796,681']"
229,"['Genre: Foreign' 'Prisoner of the Mountains'
 'Release Date: January 31, 1997' '\xa0$790,078']"
231,"['Genre: Fantasy' 'Vanishing Time:A Boy Who Returned'
 'Release Date: November 18, 2016' '\xa0$57,759']"
234,"['Genre: Comedy' 'Dead Man on Campus' 'Release Date: August 21, 1998'
 'Actors:']"
235,"['Genre: Romance' 'The Twilight Saga:Breaking Dawn Part 2'
 'Release Date: November 16, 2012' '\xa0$829,746,820']"
236,"['Genre: Fantasy' 'The Wizard of Oz' 'Release Date: August 25, 1939'
 '\xa0$23,311,633']"
239,"['Genre: Musical' 'Les Miserables (2012)' 'Release Date: December 25, 2012'
 '\xa0$441,809,770']"
240,"['Genre: Comedy' 'Blues Brothers 2000' 'Release Date: February 6, 1998'
 'Writer:']"
241,"['Genre: Thriller' 'Desperate Measures' 'Release Date: January 30, 1998'
 'Actors:']"
242,"['Genre: Unknown' 'Hush!' 'Release Date: November 8, 2002' '\xa0$21,278']"
244,"['Genre: Action' 'Black Dog' 'Release Date: May 1, 1998' 'Producer:']"
245,"['Genre: Comedy / Drama' 'Living Out Loud' 'Release Date: October 30, 1998'
 '\xa0$15,610,299']"
246,"['Genre: Comedy' 'Senseless' 'Release Date: February 20, 1998' 'Writer:']"
247,"['Genre: Action' 'Mr. Nice Guy' 'Release Date: March 20, 1998'
 '\xa0$18,814,720']"
248,"['Genre: Music Drama' 'Why Do Fools Fall in Love?'
 'Release Date: August 28, 1998' 'Actor:']"
250,"['Genre: Family Comedy' ""I'll Be Home for Christmas""
 'Release Date: November 13, 1998' 'Actors:']"
251,"['Genre: Documentary' 'Steve McQueen:The Man & Le Mans'
 'Release Date: November 13, 2015' '\xa0$6,843']"
252,"['Genre: Fantasy Comedy' 'Sliding Doors' 'Release Date: April 24, 1998'
 'Producer:']"
253,"['Genre: Horror' 'Deep Rising' 'Release Date: January 30, 1998' 'Writer:']"
254,"['Genre: Comedy' 'Fear and Loathing in Las Vegas'
 'Release Date: May 22, 1998' 'Writer:']"
255,"['Genre: Romantic Comedy' 'Home Fries' 'Release Date: November 27, 1998'
 'Actors:']"
256,"['Genre: Crime' 'The Newton Boys' 'Release Date: March 27, 1998' 'Actors:']"
258,"['Genre: Crime Comedy' 'I Got the Hook-Up!' 'Release Date: May 29, 1998'
 '* Denotes minor role']"
260,"['Genre: Comedy' 'Dirty Work' 'Release Date: June 12, 1998' 'Writer:']"
261,"['Genre: Comedy Thriller' 'Very Bad Things'
 'Release Date: November 27, 1998' 'Actors:']"
262,"['Genre: Foreign' 'Delhi Belly' 'Release Date: July 1, 2011'
 '\xa0$16,706,074']"
263,"['Genre: Comedy' 'Wrongfully Accused' 'Release Date: August 21, 1998'
 'Producers:']"
264,"['Genre: Drama / Thriller' 'The Spanish Prisoner'
 'Release Date: April 3, 1998' 'Writer:']"
265,"['Genre: Drama' 'The Red Violin' 'Release Date: November 6, 1998' 'Actors:']"
267,"['Genre: Thriller' 'Apt Pupil' 'Release Date: October 23, 1998' 'Actors:']"
268,"['Genre: Drama / Thriller' 'Return to Paradise'
 'Release Date: August 14, 1998' 'Actors:']"
270,"['Genre: Comedy' 'My Giant' 'Release Date: April 10, 1998' 'Writer:']"
272,"['Genre: Comedy' ""Krippendorf's Tribe"" 'Release Date: February 27, 1998'
 '* Denotes minor role']"
274,"['Genre: Sports Comedy' 'BASEketball' 'Release Date: July 31, 1998'
 'Writer:']"
275,"['Genre: Crime Thriller' 'Caught Up' 'Release Date: February 27, 1998'
 '* Denotes minor role']"
276,"['Genre: Historical Epic' 'Gone with the Wind'
 'Release Date: December 15, 1939' '\xa0$400,176,459']"
278,"['Genre: Crime Drama' 'American History X' 'Release Date: October 30, 1998'
 '\xa0$23,875,127']"
279,"['Genre: Period Drama' 'Gods and Monsters' 'Release Date: November 6, 1998'
 '\xa0$6,451,628']"
280,"['Genre: Drama' 'Affliction' 'Release Date: December 30, 1998' 'Actor:']"
281,"['Genre: Adventure Comedy' 'Almost Heroes' 'Release Date: May 29, 1998'
 'Actors:']"
283,"['Genre: Romantic Comedy' 'The Opposite of Sex'
 'Release Date: May 22, 1998' 'Writer:']"
284,"['Genre: Crime Thriller' 'Palmetto' 'Release Date: February 20, 1998'
 'Cinematographer:']"
288,"['Genre: Comedy' 'Slums of Beverly Hills' 'Release Date: August 14, 1998'
 'Writer:']"
290,"['Genre: Comedy' 'Celebrity' 'Release Date: November 20, 1998' 'Writer:']"
292,"['Genre: Comedy / Drama' 'Your Friends and Neighbors'
 'Release Date: August 21, 1998' 'Writer:']"
294,"['Genre: Romance' 'Dangerous Beauty' 'Release Date: February 20, 1998'
 'Producers:']"
296,"['Genre: Romantic Comedy' 'Kissing a Fool'
 'Release Date: February 27, 1998' 'Producers:']"
297,"['Genre: Romance' 'The Governess' 'Release Date: July 31, 1998'
 'Cinematographer:']"
298,"['Genre: Sports Comedy' 'Major League:Back to the Minors'
 'Release Date: April 17, 1998' 'Cinematographer:']"
301,"['Genre: Adventure' 'Life of Pi' 'Release Date: November 21, 2012'
 '\xa0$609,016,565']"
302,"['Genre: Comedy / Drama' 'The Last Days of Disco'
 'Release Date: May 29, 1998' 'Writer:']"
305,"['Genre: Sports Drama' 'The Mighty Macs' 'Release Date: October 21, 2011'
 'Composer:']"
307,"['Genre: Comedy / Drama' ""Buffalo '66"" 'Release Date: June 26, 1998'
 'Writer:']"
310,"['Genre: Romantic Comedy' 'Hav Plenty' 'Release Date: June 19, 1998'
 '* Denotes minor role']"
312,"['Genre: Crime Thriller' 'Touch of Evil' 'Release Date: April 23, 1958'
 'Producer:']"
313,"['Genre: Period Comedy' 'The Impostors' 'Release Date: October 2, 1998'
 'Actors:']"
314,"['Genre: Romance' 'Chinese Box' 'Release Date: April 17, 1998' 'Composer:']"
317,"['Genre: Comedy Thriller' 'Zero Effect' 'Release Date: January 30, 1998'
 'Writer:']"
320,"['Genre: Fantasy Drama' 'The Butcher Boy' 'Release Date: April 3, 1998'
 'Actor:']"
321,"['Genre: Romance' 'High Art' 'Release Date: June 12, 1998' 'Writer:']"
322,"['Genre: Romance' 'Oscar and Lucinda' 'Release Date: January 2, 1998'
 'Actors:']"
323,"['Genre: Drama' 'Hurlyburly' 'Release Date: December 25, 1998'
 '\xa0$1,798,862']"
324,"['Genre: Crime Comedy' 'Clay Pigeons' 'Release Date: September 25, 1998'
 'Actors:']"
325,"['Genre: Drama' ""A Soldier's Daughter Never Cries""
 'Release Date: September 18, 1998' 'Writer:']"
326,"['Genre: Crime Comedy' 'Suicide Kings' 'Release Date: April 17, 1998'
 'Composers:']"
327,"['Genre: Foreign' 'Live Flesh' 'Release Date: January 16, 1998' 'Composer:']"
328,"['Genre: Documentary' 'Steve McQueen:The Man & Le Mans'
 'Release Date: November 13, 2015' '\xa0$6,843']"
331,"['Genre: Comedy / Drama' 'Henry Fool' 'Release Date: June 19, 1998'
 'Actor:']"
335,"['Genre: War' 'The Messenger:The Story of Joan of Arc'
 'Release Date: November 12, 1999' '\xa0$66,976,317']"
336,"['Genre: Sci-Fi Horror' 'Virus' 'Release Date: January 15, 1999'
 '\xa0$30,652,005']"
337,"['Genre: Crime Thriller' 'In Too Deep' 'Release Date: August 27, 1999'
 'Producer:']"
338,"['Genre: Drama' 'The Deep End of the Ocean' 'Release Date: March 12, 1999'
 '\xa0$28,121,100']"
339,"['Genre: Action' 'The Mod Squad' 'Release Date: March 26, 1999'
 'Cinematographer:']"
340,"['Genre: Period Drama' ""Angela's Ashes"" 'Release Date: December 25, 1999'
 'Composer:']"
343,"['Genre: Drama' 'Extremely Loud & Incredibly Close'
 'Release Date: December 25, 2011' '\xa0$55,247,881']"
344,"['Genre: Comedy / Drama' ""I'll See You In My Dreams""
 'Release Date: May 15, 2015' '\xa0$7,449,681']"
345,"['Genre: Foreign' 'I Served the King of England'
 'Release Date: August 29, 2008' '\xa0$7,319,210']"
346,"['Genre: Sci-Fi Thriller' 'The Thirteenth Floor'
 'Release Date: May 28, 1999' '\xa0$18,564,088']"
347,"['Genre: Family' 'The Adventures of Elmo in Grouchland'
 'Release Date: October 1, 1999' 'Composer:']"
349,"['Genre: Sci-Fi Action' 'Wing Commander' 'Release Date: March 12, 1999'
 '* Denotes minor role']"
350,"['Genre: Drama' ""Boys Don't Cry"" 'Release Date: October 8, 1999' 'Writer:']"
351,"['Genre: Action Comedy' 'Chill Factor' 'Release Date: September 3, 1999'
 '\xa0$11,263,966']"
352,"['Genre: Comedy' ""Cookie's Fortune"" 'Release Date: April 2, 1999' 'Actors:']"
353,"['Genre: Romance' 'The End of the Affair' 'Release Date: December 3, 1999'
 'Actors:']"
354,"['Genre: Comedy' 'Office Space' 'Release Date: February 19, 1999' 'Writer:']"
355,"['Genre: Horror Thriller' ""The Astronaut's Wife""
 'Release Date: August 27, 1999' '\xa0$19,598,588']"
358,"['Genre: Comedy' 'Drop Dead Gorgeous' 'Release Date: July 23, 1999'
 'Producer:']"
359,"['Genre: Romantic Comedy' 'Three to Tango' 'Release Date: October 22, 1999'
 'Actors:']"
360,"['Genre: Horror' 'Bats' 'Release Date: October 22, 1999' 'Composer:']"
361,"['Genre: Drama / Thriller' 'Brokedown Palace'
 'Release Date: August 13, 1999' 'Cinematographer:']"
362,"['Genre: Family Comedy' 'Dudley Do-Right' 'Release Date: August 27, 1999'
 'Producer:']"
364,"['Genre: IMAX' 'Alien Adventure (IMAX)' 'Release Date: August 20, 1999'
 '\xa0$24,074,680']"
365,"['Genre: Comedy Thriller' 'Teaching Mrs. Tingle'
 'Release Date: August 20, 1999' 'Actors:']"
367,"['Genre: Sports Comedy' 'Play It to the Bone'
 'Release Date: December 25, 1999' '\xa0$8,434,146']"
368,"['Genre: Comedy' 'Pushing Tin' 'Release Date: April 23, 1999' 'Actors:']"
370,"['Genre: Romantic Comedy' 'The Love Letter' 'Release Date: May 21, 1999'
 '\xa0$8,302,478']"
371,"['Genre: Foreign' 'All About My Mother' 'Release Date: November 5, 1999'
 '\xa0$67,872,296']"
373,"['Genre: Foreign' 'Run Lola Run' 'Release Date: June 18, 1999' 'Actor:']"
375,"['Genre: Documentary' 'Buena Vista Social Club:Adios'
 'Release Date: May 26, 2017' '\xa0$476,720']"
376,"['Genre: Comedy' '200 Cigarettes' 'Release Date: February 26, 1999'
 'Producers:']"
378,"['Genre: Drama' 'Good Dick' 'Release Date: October 10, 2008' '\xa0$39,924']"
379,"['Genre: Music Drama' 'Topsy-Turvy' 'Release Date: December 15, 1999'
 'Writer:']"
380,"['Genre: Drama' 'The Straight Story' 'Release Date: October 15, 1999'
 '\xa0$6,203,044']"
382,"['Genre: Drama' 'Light it Up' 'Release Date: November 10, 1999'
 'Cinematographer:']"
385,"['Genre: War Drama' 'Jakob the Liar' 'Release Date: September 24, 1999'
 'Composer:']"
389,"['Genre: Comedy' 'Mumford' 'Release Date: September 24, 1999' 'Writer:']"
390,"['Genre: Crime Thriller' 'Flawless (2008)' 'Release Date: March 28, 2008'
 '\xa0$6,819,587']"
391,"['Genre: Romantic Comedy' 'Simply Irresistible'
 'Release Date: February 5, 1999' 'Producer:']"
392,"['Genre: Comedy' 'Detroit Rock City' 'Release Date: August 13, 1999'
 'Producer:']"
394,"['Genre: Period Comedy' 'Sweet and Lowdown'
 'Release Date: December 3, 1999' '\xa0$4,197,015']"
395,"['Genre: Horror Comedy' 'Idle Hands' 'Release Date: April 30, 1999'
 'Composer:']"
397,"['Genre: Romance' 'Playing by Heart' 'Release Date: January 1, 1999'
 'Composer:']"
398,"['Genre: Period Drama' 'The Winslow Boy' 'Release Date: April 30, 1999'
 'Writer:']"
400,"['Genre: Comedy / Drama' 'Liberty Heights'
 'Release Date: November 19, 1999' 'Writer:']"
403,"['Genre: Crime Drama' 'The Limey' 'Release Date: October 8, 1999'
 '\xa0$3,204,663']"
406,"['Genre: Period Drama' 'Cradle Will Rock' 'Release Date: December 10, 1999'
 '\xa0$2,903,404']"
407,"['Genre: Sci-Fi Thriller' 'eXistenZ' 'Release Date: April 23, 1999'
 'Composer:']"
408,"['Genre: Animation' 'Princess Mononoke' 'Release Date: October 29, 1999'
 '\xa0$159,375,308']"
409,"['Genre: Fantasy' 'Tale of Tales' 'Release Date: April 22, 2016'
 '\xa0$118,925']"
410,"['Genre: Family' 'A Dog of Flanders' 'Release Date: August 27, 1999'
 'Producer:']"
413,"['Genre: Period Horror' 'Ravenous' 'Release Date: March 19, 1999' 'Actor:']"
420,"['Genre: Fantasy Drama' 'Titus' 'Release Date: December 25, 1999'
 '\xa0$2,007,290']"
421,"['Genre: Comedy / Drama' 'Crazy in Alabama'
 'Release Date: October 22, 1999' 'Cinematographer:']"
424,"['Genre: Crime Thriller' 'Goodbye Lover' 'Release Date: April 16, 1999'
 'Actor:']"
